subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
Affinity (Law)--Early works to 1800.,a--v,0,"","",""
Albums--Italy.,a--z,0,"","",""
Antiphonaries--Manuscripts.,a--x,0,"","",""
Apologetics--Early works to 1800.,a--v,0,"","",""
Arithmetic--Study and teaching--Early works to 1800.,a--x--v,0,"","",""
Asceticism--Early works to 1800.,a--v,0,"",Asceticism;Early works,http://id.worldcat.org/fast/818425;http://id.worldcat.org/fast/1411636
Benedictine monasteries--France--Early works to 1800.,a--z--v,0,"","",""
Biography--Early works to 1800.,a--v,0,"","",""
Bishops--France--Lyon--History--To 1500.,a--z--z--x--y,0,"","",""
Books of hours--France--Early works to 1800.,a--z--v,0,"","",""
Books of hours--Netherlands--Early works to 1800.,a--z--v,0,"","",""
Business ethics--Early works to 1800.,a--v,0,"","",""
Cardinals--Biography--Early works to 1800.,a--x--v,0,"","",""
Cartularies.,a,0,"",Cartularies,http://id.worldcat.org/fast/848097
Categories (Philosophy)--Early works to 1800.,a--v,0,"","",""
Christian hagiography--Early works to 1800.,a--v,0,"",Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636
"Christian life--Quotations, maxims, etc.--Early works to 1800.",a--v--v,0,"","",""
Christian martyrs--Biography--Early works to 1800.,a--v--v,0,"","",""
Christian martyrs--Legends--Early works to 1800.,a--v--v,0,"","",""
Christianity--Early works to 1800.,a--v,0,"","",""
Conduct of life--Early works to 1800.,a--v,0,"",Conduct of life;Early works,http://id.worldcat.org/fast/874563;http://id.worldcat.org/fast/1411636
Confession--Early works to 1800.,a--v,0,"",Confession;Early works,http://id.worldcat.org/fast/874645;http://id.worldcat.org/fast/1411636
Consanguinity--Early works to 1800.,a--v,0,"","",""
Contracts--Early works to 1800.,a--v,0,"","",""
Conveyancing--Early works to 1800.,a--v,0,"","",""
Cosmography--Poetry--Early works to 1800.,a--v--v,0,"","",""
"Crusades--Second, 1147-1149--Veterans.",a--y--x,0,"","",""
Death--Early works to 1800.,a--v,0,"","",""
Death--Religious aspects--Christianity--Early works to 1800.,a--x--x--v,0,"","",""
Despotism--Early works to 1800.,a--v,0,"","",""
Devotional literature.,a,0,"",Devotional literature,http://id.worldcat.org/fast/892015
Dictators as authors--Early works to 1800.,a--v,0,"","",""
Didactic literature--Early works to 1800.,a--v,0,"","",""
Divine office.,a,0,"",Divine office,http://id.worldcat.org/fast/895757
Emperors--Rome--Early works to 1800.,a--z--v,0,"","",""
Epistolaries--Early works to 1800.,a--v,0,"","",""
Ethics--Early works to 1800.,a--v,0,"",Ethics;Early works,http://id.worldcat.org/fast/915833;http://id.worldcat.org/fast/1411636
Formularies (Diplomatics)--Early works to 1800.,a--v,0,"","",""
France--Description and travel--Early works to 1800.,a--x--v,0,"","",""
Future life.,a,0,"","",""
Geography--Early works to 1800.,a--v,0,"",Geography;Early works,http://id.worldcat.org/fast/940469;http://id.worldcat.org/fast/1411636
God--Wrath.,a--x,0,"","",""
Graduals (Liturgical books),a,0,"",Graduals (Liturgical books),http://id.worldcat.org/fast/945809
Great Britain--History--Early works to 1800.,a--x--v,0,"","",""
Great Britain--Kings and rulers--Succession--History--Early works to 1800.,a--x--x--x--v,0,"","",""
Hell in literature.,a,0,"","",""
"History, Ancient--Early works to 1800.",a--v,0,"","",""
Italian language--Composition and exercises--Early works to 1800.,a--x--v,0,"","",""
Italian language--Grammar--Early works to 1800.,a--x--v,0,"","",""
Italy--Description and travel--Early works to 1800.,a--x--v,0,"",Italy;Voyages and travels;Early works,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636
Kingdom of God--Early works to 1800.,a--v,0,"","",""
Land tenure--France--Early works to 1800.,a--z--v,0,"","",""
Language and languages--Philosophy--Early works to 1800.,a--x--v,0,"","",""
"Latin language, Medieval and modern--Grammar--Early works to 1800.",a--x--v,0,"","",""
"Latin language, Medieval and modern--Study and teaching--Early works to 1800.",a--x--v,0,"","",""
Lectionaries--Early works to 1800.,a--v,0,"","",""
"Letter writing, Latin--Early works to 1800.",a--v,0,"","",""
"Letter writing--Handbooks, manuals, etc.--Early works to 1800.",a--v--v,0,"","",""
Letters--Early works to 1800.,a--v,0,"","",""
Logic--Early works to 1800.,a--v,0,"",Logic;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636
Manuscript fragments--Kansas--Lawrence.,a--z--z,0,"","",""
"Manuscripts, Dutch.",a,0,"","",""
"Manuscripts, English.",a,0,"","",""
"Manuscripts, French.",a,0,"","",""
"Manuscripts, German.",a,0,"","",""
"Manuscripts, Greek.",a,0,"","",""
"Manuscripts, Hebrew.",a,0,"","Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360
"Manuscripts, Italian.",a,0,"","",""
"Manuscripts, Latin.",a,0,"","",""
"Manuscripts, Medieval--Kansas--Lawrence.",a--z--z,0,"","",""
"Manuscripts, Medieval.",a,0,"","",""
"Manuscripts, Medieval.--Kansas--Lawrence.",a--z--z,0,"","",""
"Manuscripts, Renaissance--Kansas--Lawrence.",a--z--z,0,"","",""
"Manuscripts, Renaissance.",a,0,"","",""
Materia medica--Early works to 1800.,a--v,0,"",Materia medica;Early works,http://id.worldcat.org/fast/1011707;http://id.worldcat.org/fast/1411636
Mediterranean Region--Description and travel--Early works to 1800.,a--x--v,0,"","",""
Monastic and religious life--Early works to 1800.,a--v,0,"",Monastic and religious life;Early works,http://id.worldcat.org/fast/1025101;http://id.worldcat.org/fast/1411636
Monasticism and religious orders--Rules--Early works to 1800.,a--v--v,0,"",Monasticism and religious orders--Rules;Rules;Early works,http://id.worldcat.org/fast/1025158;http://id.worldcat.org/fast/1423857;http://id.worldcat.org/fast/1411636
Mysticism--Catholic Church--Early works to 1800.,a--x--v,0,"",Mysticism--Catholic Church;Catholic Church;Early works,http://id.worldcat.org/fast/1751754;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636
Nobility--Europe--History--Early works to 1800.,a--z--x--v,0,"","",""
Papacy--History--Early works to 1800.,a--x--v,0,"","",""
Penance--Early works to 1800.,a--v,0,"",Penance;Early works,http://id.worldcat.org/fast/1056817;http://id.worldcat.org/fast/1411636
Political science--Politics and government--Early works to 1800.,a--x--v,0,"","",""
Providence and government of God--Christianity--Early works to 1800.,a--x--v,0,"","",""
"Rhetoric, Ancient.",a,0,"","Rhetoric, Ancient",http://id.worldcat.org/fast/1096982
