subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
"Alfonso II, King of Naples, 1448-1495.",a;b;c;d,0,"","",""
"Augustine, of Hippo, Saint, 354-430. Regula--Commentaries.",a;c;d;t--v,0,"","",""
Bible--Commentaries--Early works to 1800.,a--v--v,0,"",Bible;Commentaries;Early works,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636
Bible--Paraphrases--Early works to 1800.,a--v--v,0,"","",""
Bible. Gospels--Early works to 1800.,a;p--v,0,"",Bible. Gospels;Early works,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1411636
Bible. Gospels--Sermons--Early works to 1800.,a;p--x--v,0,"","",""
Bible. John--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
Bible. John--Early works to 1800.,a;p--v,0,"","",""
Bible. Lamentations.,a;p,0,"","",""
Bible. Matthew--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
Bible. Matthew--Early works to 1800.,a;p--v,0,"","",""
Bible. Matthew.,a;p,0,"",Bible. Matthew,http://id.worldcat.org/fast/1808086
"Bible. Psalms, CXIX--Commentaries--Early works to 1800.",a;p--v--v,0,"","",""
Bible. Song of Solomon--Commentaries--Early works to 1800.,a;p--v--v,0,"","",""
"Bible. Song of Solomon--Criticism, interpretation, etc.",a;p--x,0,"",Bible. Song of Solomon;Criticism and interpretation,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1198648
"Brudenell family,",a,0,"","",""
Catholic Church--Doctrines--Early works to 1800.,a--x--v,0,"",Catholic Church;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636
Catholic Church--France--History--To 1500.,a--z--x--y,0,"","",""
Catholic Church--Liturgy--Calendar--Early works to 1800.,a--x--v--v,0,"",Catholic Church;Liturgics;Calendars;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423764;http://id.worldcat.org/fast/1411636
Catholic Church--Liturgy--Texts--Early works to 1800.,a--x--v--v,0,"",Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
Catholic Church--Liturgy--Texts--Rubrics.,a--x--x--v,0,"","",""
Catholic Church--Liturgy.,a--x,0,"",Catholic Church;Liturgics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579
Catholic Church--Sermons.,a--v,0,"",Catholic Church;Sermons,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423904
Catholic Church. Archdiocese of Lyon (France),a;b,0,"","",""
Dominicans--Sermons--Early works to 1800.,a--x--v,0,"","",""
"Drycthelm, monk of Northumbria, active 7th century.",a;c;d,0,"","",""
"Eusebius, of Alexandria.",a;c,0,"","",""
Franciscans--Sermons--Early works to 1800.,a--x--v,0,"","",""
"Hieron I, Tyrant of Syracuse, -467 B.C. or 466 B.C.--Early works to 1800.",a;b;c;d--v,0,"","",""
Jesus Christ--Biography--Early works to 1800.,a--v--v,0,"","",""
Jesus Christ--Family--Early works to 1800.,a--x--v,0,"","",""
Jesus Christ--Genealogy--Early works to 1800.,a--v--v,0,"",Jesus Christ;Genealogy;Early works,http://id.worldcat.org/fast/40116;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
"Mary, Blessed Virgin, Saint--Sermons--Early works to 1800.",a;c--x--v,0,"","",""
"Maximus, of Turin, Saint, active 4th century-5th century--Selections.--Sermons.",a;c;d--k--v,0,"","",""
Merlin (Legendary character)--Early works to 1800.,a;c--v,0,"","",""
"Phalaris, Tyrant of Agrigentum, active 6th century B.C.",a;c;d,0,"","Phalaris, Tyrant of Agrigentum, active 6th century B.C.",http://id.worldcat.org/fast/1841192
"Severus, Lucius Septimius, Emperor of Rome, 146-211--Early works to 1800.",a;c;d--v,0,"","",""
"Tresham family,",a,0,"","",""
