signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,link,dsItemID
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-14",manuscript containing Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1325,1325,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q126,,,Script: Written in an angular Gothic script in brown ink,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q2140778,DS16478,cc20190605_14,PORTFOLIO BOX 1-14,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~90~2479/manifest,https://catalog.digital-scriptorium.org/entity/Q69127,https://digitalcollections.rit.edu/luna/servlet/s/y1bats,https://catalog.digital-scriptorium.org/entity/Q69126
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-19",manuscript containing Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1275,1275,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q134|https://catalog.digital-scriptorium.org/entity/Q136|https://catalog.digital-scriptorium.org/entity/Q3087,,,Script: Written in a rounded Gothic script in black ink,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q2140778,DS16479,cc20190605_19,PORTFOLIO BOX 1-19,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~95~2485/manifest,https://catalog.digital-scriptorium.org/entity/Q69130,https://digitalcollections.rit.edu/luna/servlet/s/wi42io,https://catalog.digital-scriptorium.org/entity/Q69129
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-44",manuscript containing Bible,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1507,1507,https://catalog.digital-scriptorium.org/entity/Q131|https://catalog.digital-scriptorium.org/entity/Q132|https://catalog.digital-scriptorium.org/entity/Q4997|https://catalog.digital-scriptorium.org/entity/Q7503,,,Script: Written in an angular protogothic script in black ink,Q397,Bible,Bible,https://catalog.digital-scriptorium.org/entity/Q661,,Q7109575,Q2140778,DS16480,cc20190605_44,PORTFOLIO BOX 2-44,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~81~8822/manifest,https://catalog.digital-scriptorium.org/entity/Q69133,https://digitalcollections.rit.edu/luna/servlet/s/5mr776,https://catalog.digital-scriptorium.org/entity/Q69132
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-16",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1425,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Written in an angular Gothic script in brown ink,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q7109575,Q2140778,DS16481,cc20190605_16,PORTFOLIO BOX 1-16,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~92~2481/manifest,https://catalog.digital-scriptorium.org/entity/Q69136,https://digitalcollections.rit.edu/luna/servlet/s/nmdkm4,https://catalog.digital-scriptorium.org/entity/Q69135
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-18",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1275,1300,https://catalog.digital-scriptorium.org/entity/Q126|https://catalog.digital-scriptorium.org/entity/Q16408,,,Script: Written in an angular Gothic script in black ink,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q7109575,Q2140778,DS16482,cc20190605_18,PORTFOLIO BOX 1-18,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~94~2483/manifest,https://catalog.digital-scriptorium.org/entity/Q69139,https://digitalcollections.rit.edu/luna/servlet/s/0qez88,https://catalog.digital-scriptorium.org/entity/Q69138
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-23",manuscript containing Breviary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1350,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in Gothic script in brown ink,Q397,Breviary,Breviary,https://catalog.digital-scriptorium.org/entity/Q657,,Q7109575,Q2140778,DS16483,cc20190605_23,PORTFOLIO BOX 1-23,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~59~2388/manifest,https://catalog.digital-scriptorium.org/entity/Q69142,https://digitalcollections.rit.edu/luna/servlet/s/e630xc,https://catalog.digital-scriptorium.org/entity/Q69141
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO Box 2-37",manuscript containing Epistolary,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1425,1425,https://catalog.digital-scriptorium.org/entity/Q134,,,Script: Written in a Gothic rotunda script in black ink,Q397,Epistolary,Epistolary,https://catalog.digital-scriptorium.org/entity/Q19936,,Q7109575,Q2140778,DS16486,cc20190605_37,PORTFOLIO Box 2-37,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~73~8820/manifest,https://catalog.digital-scriptorium.org/entity/Q69151,https://digitalcollections.rit.edu/luna/servlet/s/q8kz45,https://catalog.digital-scriptorium.org/entity/Q69150
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-8",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q95,1275,1275,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Written in a media-grade Gothic script in black ink with Gregorian notation,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q7109575,Q2140778,DS16487,cc20190605_08,PORTFOLIO BOX 1-8,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~53~1936/manifest,https://catalog.digital-scriptorium.org/entity/Q69154,https://digitalcollections.rit.edu/luna/servlet/s/p80vc7,https://catalog.digital-scriptorium.org/entity/Q69153
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 2-32",manuscript containing Gradual,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1450,1475,https://catalog.digital-scriptorium.org/entity/Q42084,,,Script: Written in a Gothic rotunda script in black ink with Gregorian notation,Q397,Gradual,Gradual,https://catalog.digital-scriptorium.org/entity/Q1121,,Q7109575,Q2140778,DS16488,cc20190605_32,PORTFOLIO BOX 2-32,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~68~2441/manifest,https://catalog.digital-scriptorium.org/entity/Q69157,https://digitalcollections.rit.edu/luna/servlet/s/pcwa98,https://catalog.digital-scriptorium.org/entity/Q69156
"Rochester, New York, Rochester Institute of Technology, PORTFOLIO BOX 1-24",manuscript containing Book of hours,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1350,https://catalog.digital-scriptorium.org/entity/Q122,,,Script: Written in an angular Gothic script in brown ink,Q397,Book of hours,Book of hours,https://catalog.digital-scriptorium.org/entity/Q795,,Q7109575,Q2140778,DS16489,cc20190605_24,PORTFOLIO BOX 1-24,https://digitalcollections.rit.edu/luna/servlet/iiif/m/RIT~1~1~60~2389/manifest,https://catalog.digital-scriptorium.org/entity/Q69160,https://digitalcollections.rit.edu/luna/servlet/s/523hgi,https://catalog.digital-scriptorium.org/entity/Q69159
