signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 71520","manuscript containing Breviary, use of Sarum",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1415,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Gothic.,Q397,"Breviary, use of Sarum",Breviary,https://catalog.digital-scriptorium.org/entity/Q657,Q9592,,Q1400558,DS9643,.b18618686,mssHM 71520,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53347/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42933,https://search.digital-scriptorium.org/catalog/DS9643,https://catalog.huntington.org/record=b1861868,Q42932
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 71719",manuscript containing Compendium theologicae veritatis,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1350,1399,https://catalog.digital-scriptorium.org/entity/Q133,,,Script: Cursive book hand.,Q397,Compendium theologicae veritatis,Compendium theologicae veritatis,https://catalog.digital-scriptorium.org/entity/Q1426,Q1635599,,Q1400558,DS9644,.b18618698,mssHM 71719,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53322/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42936,https://search.digital-scriptorium.org/catalog/DS9644,https://catalog.huntington.org/record=b1861869,Q42935
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssBA 30",manuscript containing Cartulary of the office of sacristan of Battle Abbey,Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97,1400,1415,,Q124380446,,,Q397,Cartulary of the office of sacristan of Battle Abbey,Cartulary,https://catalog.digital-scriptorium.org/entity/Q3686,,,Q1400558,DS9646,.b18618716,mssBA 30,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52883/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42942,https://search.digital-scriptorium.org/catalog/DS9646,https://catalog.huntington.org/record=b1861871,Q42941
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssEL 7 H 9","manuscript containing Roman law, fragments",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q96,1300,1399,https://catalog.digital-scriptorium.org/entity/Q122|https://catalog.digital-scriptorium.org/entity/Q133|https://catalog.digital-scriptorium.org/entity/Q134,,,"Part 2. Span folios: ff. 50-54. Layout: 14(+1). 2 columns of 92 lines, ruled in lead. Script: Gothic. Assigned Date: s. XIV. Other Decoration: Space reserved for an 8-line opening initial. Paragraph marks and underscoring in red.|Part 4. Span folios: ff. 65-67v. Layout: 3 columns on f. 65, and long lines on ff. 65v-67v, unruled. Assigned Date: s. XIV. Script: Anglicana.",Q397,"Roman law, fragments",Roman law,https://catalog.digital-scriptorium.org/entity/Q1329,,,Q1400558,DS9647,.b18618728,mssEL 7 H 9,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52049/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42945,https://search.digital-scriptorium.org/catalog/DS9647,https://catalog.huntington.org/record=b1861872,Q42944
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 19918","manuscript containing Missal, Sarum use, and selections from votive masses and sequences",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96,1300,1499,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Missal, Sarum use, and selections from votive masses and sequences",Missal,https://catalog.digital-scriptorium.org/entity/Q662,,,Q1400558,DS9653,.b18618789,mssHM 19918,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:52389/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42963,https://search.digital-scriptorium.org/catalog/DS9653,https://catalog.huntington.org/record=b1861878,Q42962
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 27187","manuscript containing Collection of theological works by Robert Holcot, William Woodford, Franciscus de Mayronis and others",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96,1340,1415,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Collection of theological works by Robert Holcot, William Woodford, Franciscus de Mayronis and others",Theological texts,https://catalog.digital-scriptorium.org/entity/Q822,,,Q1400558,DS9654,.b18618790,mssHM 27187,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51779/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42966,https://search.digital-scriptorium.org/catalog/DS9654,https://catalog.huntington.org/record=b1861879,Q42965
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 35300","manuscript containing Selections by Bede, including his Historia ecclesiastica",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q97|https://catalog.digital-scriptorium.org/entity/Q96|https://catalog.digital-scriptorium.org/entity/Q95,1285,1460,https://catalog.digital-scriptorium.org/entity/Q133,,,,Q397,"Selections by Bede, including his Historia ecclesiastica",Works of Bede,https://catalog.digital-scriptorium.org/entity/Q39763,Q154938,,Q1400558,DS9655,.b18618807,mssHM 35300,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:51580/manifest.json,https://catalog.digital-scriptorium.org/entity/Q42969,https://search.digital-scriptorium.org/catalog/DS9655,https://catalog.huntington.org/record=b1861880,Q42968
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 28","manuscript containing Portolan atlas, Italian; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q98,1550,1599,https://catalog.digital-scriptorium.org/entity/Q7800,,,,Q397,"Portolan atlas, Italian; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q68716752,,Q1400558,DS9773,.b18620036,mssHM 28,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46064/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43323,https://search.digital-scriptorium.org/catalog/DS9773,https://catalog.huntington.org/record=b1862003,Q43322
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 30","manuscript containing Portolan atlas, engraved, with manuscript additions; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1679,1679,https://catalog.digital-scriptorium.org/entity/Q2823,,,,Q652,"Portolan atlas, engraved, with manuscript additions; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q124380410,,Q1400558,DS9774,.b18620048,mssHM 30,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46247/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43326,https://search.digital-scriptorium.org/catalog/DS9774,https://catalog.huntington.org/record=b1862004,Q43325
"San Marino, California, The Huntington Library, Art Museum, and Botanical Gardens, mssHM 31","manuscript containing Portolan atlas, French; cartographic material",Q87167,https://catalog.digital-scriptorium.org/entity/Q33,https://catalog.digital-scriptorium.org/entity/Q99,1640,1660,https://catalog.digital-scriptorium.org/entity/Q38244,,,,Q397,"Portolan atlas, French; cartographic material",Portolan atlas,https://catalog.digital-scriptorium.org/entity/Q2828,Q124380399,,Q1400558,DS9775,.b1862005x,mssHM 31,https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:46341/manifest.json,https://catalog.digital-scriptorium.org/entity/Q43329,https://search.digital-scriptorium.org/catalog/DS9775,https://catalog.huntington.org/record=b1862005,Q43328
