signature,description,instanceOf,materialDS,centuryDS,earliestDate,latestDate,placeDS,scribeWikidata,artistWikidata,scriptNotes,languageWikidata,titleRecord,titleStandard,titleDS,authorWikidata,ownerWikidata,holderWikidata,DSID,institutionalID,shelfmark,iiifURL,record,search,link,dsItemID
"Cambridge, Massachusetts, Harvard University, MS Arab 296",manuscript containing Kitāb al-Tawḍīḥ sharḥ Muqaddimat Abī al-Layth / taʼlīf al-Shaykh al-Imām al-ʻĀlim al-Allāmah Muṣṭafá ibn Zakarīyā ibn Aydughmush al-Qaramānī,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1444,1444,,,,,Q13955,Kitāb al-Tawḍīḥ sharḥ Muqaddimat Abī al-Layth / taʼlīf al-Shaykh al-Imām al-ʻĀlim al-Allāmah Muṣṭafá ibn Zakarīyā ibn Aydughmush al-Qaramānī,Tawḍīḥ sharḥ Muqaddimat Abī al-Layth,https://catalog.digital-scriptorium.org/entity/Q39480,Q124566922,,Q13371,DS11295,990073454270203941,MS Arab 296,https://iiif.lib.harvard.edu/manifests/drs:13626882,https://catalog.digital-scriptorium.org/entity/Q47987,https://search.digital-scriptorium.org/catalog/DS11295,https://id.lib.harvard.edu/alma/990073454270203941/catalog,https://catalog.digital-scriptorium.org/entity/Q47986
"Cambridge, Massachusetts, Harvard University, MS Arab 78",manuscript containing Hādhā al-kitāb yabḥathu fī al-lughah al-ʻArabīyah /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q90,726,726,,,,,Q13955,Hādhā al-kitāb yabḥathu fī al-lughah al-ʻArabīyah /,Hādhā al-kitāb yabḥathu fī al-lughah al-ʻArabīyah,https://catalog.digital-scriptorium.org/entity/Q39415,Q6407970,,Q13371,DS11296,990073438920203941,MS Arab 78,,https://catalog.digital-scriptorium.org/entity/Q47990,https://search.digital-scriptorium.org/catalog/DS11296,https://id.lib.harvard.edu/alma/990073438920203941/catalog,https://catalog.digital-scriptorium.org/entity/Q47989
"Cambridge, Massachusetts, Harvard University, MS Arab 368",manuscript containing Sharḥ al-qism al-thālith min Miftāḥ al-ʻulūm / lil-ʻAllāmah al-Taftāzānī,Q87167,,https://catalog.digital-scriptorium.org/entity/Q97,1426,1426,,,,,Q13955,Sharḥ al-qism al-thālith min Miftāḥ al-ʻulūm / lil-ʻAllāmah al-Taftāzānī,Sharḥ Miftāḥ al-ʻulūm,https://catalog.digital-scriptorium.org/entity/Q39781,Q764947,,Q13371,DS11297,990073453990203941,MS Arab 368,https://iiif.lib.harvard.edu/manifests/drs:11608525,https://catalog.digital-scriptorium.org/entity/Q47993,https://search.digital-scriptorium.org/catalog/DS11297,https://id.lib.harvard.edu/alma/990073453990203941/catalog,https://catalog.digital-scriptorium.org/entity/Q47992
"Cambridge, Massachusetts, Harvard University, MS Arab 181",manuscript containing Kitāb tadhkirat al-fuqahāʾ /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q96,1315,1315,,,,,Q13955,Kitāb tadhkirat al-fuqahāʾ /,Tadhkirat al-fuqahaʼ,https://catalog.digital-scriptorium.org/entity/Q39515,Q290506,,Q13371,DS11298,990073444740203941,MS Arab 181,,https://catalog.digital-scriptorium.org/entity/Q47996,https://search.digital-scriptorium.org/catalog/DS11298,https://id.lib.harvard.edu/alma/990073444740203941/catalog,https://catalog.digital-scriptorium.org/entity/Q47995
"Cambridge, Massachusetts, Harvard University, MS Arab 278",manuscript containing Kitāb al-ʻuqūd wa-al-ijārah,Q87167,,https://catalog.digital-scriptorium.org/entity/Q90,739,741,,,,,Q13955,Kitāb al-ʻuqūd wa-al-ijārah,ʻUqūd wa-al-ijārah,https://catalog.digital-scriptorium.org/entity/Q39483,Q124566896,,Q13371,DS11299,990073444120203941,MS Arab 278,,https://catalog.digital-scriptorium.org/entity/Q47999,https://search.digital-scriptorium.org/catalog/DS11299,https://id.lib.harvard.edu/alma/990073444120203941/catalog,https://catalog.digital-scriptorium.org/entity/Q47998
"Cambridge, Massachusetts, Harvard University, MS Arab 164",manuscript containing Kitāb ḥalīyat al-muʻāshirīn /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q92,938,938,,,,,Q13955,Kitāb ḥalīyat al-muʻāshirīn /,Ḥalīyat al-muʻāshirīn,https://catalog.digital-scriptorium.org/entity/Q39494,Q124566998,,Q13371,DS11300,990073437810203941,MS Arab 164,,https://catalog.digital-scriptorium.org/entity/Q48002,https://search.digital-scriptorium.org/catalog/DS11300,https://id.lib.harvard.edu/alma/990073437810203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48001
"Cambridge, Massachusetts, Harvard University, MS Arab 347",manuscript containing Kitāb fann al-bayān /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q95,1216,1216,,,,,Q13955,Kitāb fann al-bayān /,Fann al-bayān,https://catalog.digital-scriptorium.org/entity/Q39489,Q2743660,,Q13371,DS11301,990073437880203941,MS Arab 347,,https://catalog.digital-scriptorium.org/entity/Q48005,https://search.digital-scriptorium.org/catalog/DS11301,https://id.lib.harvard.edu/alma/990073437880203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48004
"Cambridge, Massachusetts, Harvard University, MS Arab 180",manuscript containing Kitāb qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1585,1585,,,,,Q13955,Kitāb qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām /,Qawāʻid al-aḥkām fī masāʾil al-ḥalāl wa-al-ḥarām,https://catalog.digital-scriptorium.org/entity/Q39507,Q290506,,Q13371,DS11302,990073443590203941,MS Arab 180,,https://catalog.digital-scriptorium.org/entity/Q48008,https://search.digital-scriptorium.org/catalog/DS11302,https://id.lib.harvard.edu/alma/990073443590203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48007
"Cambridge, Massachusetts, Harvard University, MS Arab 318",manuscript containing Kitāb dhikrá al-Shīʻah fī aḥkām al-sharīʻah /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q96,1382,1382,,,,,Q13955,Kitāb dhikrá al-Shīʻah fī aḥkām al-sharīʻah /,Dhikrá al-Shīʻah fī aḥkām al-sharīʻah,https://catalog.digital-scriptorium.org/entity/Q39486,Q124566944,,Q13371,DS11303,990073443640203941,MS Arab 318,,https://catalog.digital-scriptorium.org/entity/Q48011,https://search.digital-scriptorium.org/catalog/DS11303,https://id.lib.harvard.edu/alma/990073443640203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48010
"Cambridge, Massachusetts, Harvard University, MS Arab 274",manuscript containing Kitāb al-Riyāḍ fī al-sharāʾiʻ al-Islāmīyah /,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1505,1505,,,,,Q13955,Kitāb al-Riyāḍ fī al-sharāʾiʻ al-Islāmīyah /,Riyāḍ,https://catalog.digital-scriptorium.org/entity/Q39478,Q84032227,,Q13371,DS11304,990073443220203941,MS Arab 274,,https://catalog.digital-scriptorium.org/entity/Q48014,https://search.digital-scriptorium.org/catalog/DS11304,https://id.lib.harvard.edu/alma/990073443220203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48013
"Cambridge, Massachusetts, Harvard University, MS Arab 304",manuscript containing Manārāt al-sāʼirīn ilá Allāh wa-maqāmāt al-ṭāʼirīn bi-Allāh / taʼlīf al-Imām al-ʻĀrif al-Ustādh Najm al-Dīn Muḥammad al-Asadī al-Rāzī al-shahīr bi-Ibn Shāhāwar,Q87167,,https://catalog.digital-scriptorium.org/entity/Q98,1593,1593,,,,,Q13955,Manārāt al-sāʼirīn ilá Allāh wa-maqāmāt al-ṭāʼirīn bi-Allāh / taʼlīf al-Imām al-ʻĀrif al-Ustādh Najm al-Dīn Muḥammad al-Asadī al-Rāzī al-shahīr bi-Ibn Shāhāwar,Manārāt al-sāʼirīn wa-maqāmāt al-ṭāʼirīn,https://catalog.digital-scriptorium.org/entity/Q39588,Q1963396,,Q13371,DS11305,990073452630203941,MS Arab 304,,https://catalog.digital-scriptorium.org/entity/Q48017,https://search.digital-scriptorium.org/catalog/DS11305,https://id.lib.harvard.edu/alma/990073452630203941/catalog,https://catalog.digital-scriptorium.org/entity/Q48016
