name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Theophanes, Bishop of Nicaea, -1381",author,,,human,Theophanes of Nicaea,Q16327569,DSNAME9256,Q110832,,,,
"Adrian IV, Pope, -1159",author,,,human,Adrian IV,Q132845,DSNAME9257,Q110833,,,,
Basil of Ohrid,author,,,,,,,,,,,
"Nicholas III, Patriarch of Constantinople, -approximately 1111",author,,,human,Nicholas III of Constantinople,Q588068,DSNAME9258,Q110834,,,,
"Innocent I, Pope, -417",author,,,human,Innocent I,Q134694,DSNAME9259,Q110835,,,,
"Honorius, Flavius, Emperor of Rome, 384-423",author,,,human,Honorius,Q159798,DSNAME9260,Q110836,,,,
"Cyril, Saint, Patriarch of Alexandria, approximately 370-444",author,,,human,Cyril of Alexandria,Q44079,DSNAME4047,Q40492,,,,
Manuele Baclas,scribe,Μανουὴλ Βάκλας,,,,,,,,,,
José Esteve,former owner,,,human,José Esteve Juan,Q23770513,DSNAME9261,Q110837,,,,
Bernard Rosenthal,former owner,,,human,Bernard M. Rosenthal,Q94805275,DSNAME313,Q1130,,,,
"John Chrysostom, Saint, -407",author,,http://id.loc.gov/authorities/names/n80001460,,,,,,human,John Chrysostom,Q43706,Q6124
"Severian, of Gabala, active 398-408",author,,,human,Severian of Gabala,Q722953,DSNAME9262,Q110838,,,,
"Basil, Saint, Bishop of Caesarea, approximately 329-379",author,,,,,,,,human,Basil of Caesarea,Q44258,Q20081
Iōannēs Morezēnos,former owner,Ἰωάννης Μορεζῆνος,,human,Ioannes Morezenos,Q125490911,DSNAME9263,Q110839,,,,
Orthodox Eastern Church,author,,http://id.loc.gov/authorities/names/n50000556,,,,,,organization,Eastern Orthodox Church,Q35032,Q4406
"Symeon, Metaphrastes, active 10th century",author,,,human,Symeon the Metaphrast,Q439491,DSNAME9264,Q110840,,,,
"John, of Damascus, Saint",author,,,human,John of Damascus,Q51884,DSNAME446,Q1610,,,,
"Amphilochius, Saint, Bishop of Iconium, active 373-394",author,,,human,Amphilochius of Iconium,Q474872,DSNAME9265,Q110841,,,,
"Leontius, Presbyter of Constantinople, active 5th century-6th century",author,,,human,Leontius of Costantinople,Q11931360,DSNAME9266,Q110842,,,,
Dionusios hieromonachos Zakunthinos,scribe,Διονύσιος ἱερομόναχος Ζακυνθινός,,,,,,,,,,
"Nemesius, Bishop of Emesa",author,,,human,Nemesius,Q960345,DSNAME9267,Q110843,,,,
"Gregory, of Nyssa, Saint, approximately 335-approximately 394",author,,http://id.loc.gov/authorities/names/n79021401.html,,,,,,human,Gregory of Nyssa,Q191734,Q20083
"Neilos, Patriarch of Constantinople, -1388",author,,,human,Nilus of Constantinople,Q762961,DSNAME9268,Q110844,,,,
"Koukouzelēs, Iōannēs",author,,,human,John Koukouzeles,Q246818,DSNAME9269,Q110845,,,,
"Veni︠u︡kov, Nikifor Danilovich, -1695",author,,,human,Nikifor Venyukov,Q125842857,DSNAME9270,Q110846,,,,
"Palladius, Bishop of Aspuna, -approximately 430",author,,,human,Palladius of Galatia,Q2047944,DSNAME9192,Q110770,,,,
"Palladius, Bishop of Aspuna, -approximately 431",author,,,human,Palladius of Galatia,Q2047944,DSNAME9192,Q110770,,,,
