language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
In Latin,,,,,Latin,Q397,Q113
In Latin with a few words of Middle English,,Latin;Middle English,Q397;Q36395,Q113;Q119,,,
Latin,,,,,Latin,Q397,Q113
Arabic,,,,,Arabic,Q13955,Q118
In Sanskrit,,,,,Sanskrit,Q11059,Q27494
Coptic with headings and explanations in Arabic,,Coptic;Arabic,Q36155;Q13955,Q4335;Q118,,,
"Ottoman Turkish, with notes in German",,Ottoman Turkish;German,Q36730;Q188,Q3104;Q112,,,
Arabic and Coptic,,,,,Arabic;Coptic,Q13955;Q36155,Q118;Q4335
In Italian,,,,,Italian,Q652,Q116
Hebrew,,,,,Hebrew,Q9288,Q117
Samaritan with Arabic headings,,Samaritan Aramaic;Arabic,Q56612;Q13955,Q6995;Q118,,,
Middle French,,,,,Middle French,Q1473289,Q110
Spanish and Pokonchi,,Spanish;Poqomchi',Q1321;Q36414,Q114;Q110648,,,
In Hebrew; the communal prayer is in Aramaic (f. 1r-v),,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
In Hebrew; some Seliḥot in Aramaic,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
gez,,,,,Ge'ez,Q35667,Q3664
In Hebrew; instructions mostly in Judeo-Arabic,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
Persian,,,,,Persian,Q9168,Q120
san,,,,,Sanskrit,Q11059,Q27494
In Hebrew,,,,,Hebrew,Q9288,Q117
In Hebrew; central portion in Judeo-Arabic,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
Text in Judeo-Arabic,,Judeo-Arabic,Q37733,Q38106,,,
In Dutch and Hebrew,,Dutch;Hebrew,Q7411;Q9288,Q793;Q117,,,
In Arabic,,,,,Arabic,Q13955,Q118
Ottoman Turkish,,,,,Ottoman Turkish,Q36730,Q3104
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
