title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Manuscript Torah scroll,,Sefer ha-Torah,,Torah,Q42434,,
"Text of the Gregorian chant, Spain, 1442",,,,Chant book,Q7862,,
Valencia gradual single leaf,,,,Gradual,Q1121,,
Miniature manuscript Bible leaf,,,,Bible,Q661,,
Armenian manuscript Bible leaf,,,,Bible,Q661,,
Paris manuscript Bible leaf,,,,Bible,Q661,,
"The Genealogie Royall and lineall discent of all the Kinges and Queenes of England since the Conquest together with their issue, unto the most happie and blessed raigne of Queene Elizabeth of ever blessed memorie; truly collected out of the best, and most authentique authors whatsoever",,,,Genealogies,Q4350,,
"Untitled Franciscan antiphonal, 1572, with additions from 1662 and 1798] /",,,,Antiphonary,Q654,,
"Matutinal breviary from Easter to Pentecost for Dominican use, 1475-1500",,,,Breviary,Q657,,
Manuscript copy of part of the Shahnama [the Book of Kings] /,,Shahnama,,Shahnameh,Q18627,,
Scroll of the Book of Esther,,Bible,,Book of Esther,Q39133,,
"Official papal brief, 1554",,,,Papal brief,Q8179,,
Book of hours; use of Rome,,Book of hours (use of Rome),,Book of Hours,Q795,,
Gradual single leaf no.1,,,,Gradual,Q1121,,
Gradual single leaf no.2,,,,Gradual,Q1121,,
Gradual single leaf no.3,,,,Gradual,Q1121,,
Gradual leaves no.4,,,,Gradual,Q1121,,
