title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Gargeto da Cesena copy of verdict,,,,,,,
Copies of trial proceedings,,,,Court proceedings,Q7224,,
Copies of three legal actions,,,,,,,
Declaration of dowry payment,,,,,,,
Dowry receipt,,,,,,Receipt,Q5981
Snaith inquest record,,,,,,,
Leonardo di Ligio deed of sale,,,,Deed of sale,Q12738,,
Biagio Cattani deed,,,,Deed,Q1319,,
Giovanni Tancredini dowry receipt,,,,Receipt,Q5981,,
Dowry agreement,,,,Dowry arrangement,Q8186,,
Epistola de lapide philosophorum,,,,,,,
In universam Aristotelis Stagiritae L[o]g[i]cam ... [etc.,,,,,,,
Kitāb al-salāmāt,كتاب السلامات,,,,,,
al-Muṣḥaf al-Muqaddas,المصحف المقدس,Bible,,Bible,Q661,,
Vyatīpātavrata,व्यतीपातव्रत,Puranas,,,,Puranas,Q27588
al-Kitāb al-musammá bi-al-Durr al-muntakhab li-Yūḥannā al-Dhahabī,الكتاب المسمى بالدر المنتخب ليوحنا الذهبي,Works,,,,,
al-Ibṣalmūdīyah,الابصلمودية,Psalmodia,الإبصلمودية,Psalms,Q5972,,
Four Gospels,,Bible,,,,Bible,Q661
Kitab Fiqh al-lughah wa-asrar al-`Arabiyah,,Fiqh al-lughah wa-sirr al-ʻArabīyah,فقه اللغة وسر العربية,,,,
Kitâb-i Cihan-nüma,كتاب جهان نما,Cihannüma,,Cihannüma,Q100846,,
Kitāb al-Muntazaʻ min kalām mawlānā,كتاب المنتزع من كلام مولانا,Nahj al-balāghah,نهج البلاغة,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية,Sharḥ al-Shamsīyah,شرح الشمسية,,,,
Theological manuscript fragments,,,,Theological texts,Q822,,
Muqaddimat al-sullam al-maʻrūf. Kitāb Sullam al-muqaffá wa-al-dhahab al-muṣaffá,مقدمة السلم المعروف. كتاب سلم المقفى والذهب المصفى,,,,,,
