name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Reginold von Eichstätt ca. um 966/91,author,,,human,Reginold of Eichstätt,Q104229,DSNAME9235,Q110812,,,,
"Honeyman, Robert B.",former owner,,,,,,,,human,Robert Brodhead Honeyman,Q113864827,Q412
"Augustine, of Hippo, Saint, 354-430",author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
"Holkot, Robertus, -1349",author,,,human,Robert Holkot,Q7345564,DSNAME5142,Q41587,,,,
"Fulgentius, Saint, Bishop of Ruspa, 468-533",author,,,human,Fulgentius of Ruspe,Q380089,DSNAME4250,Q40695,,,,
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",author,,http://viaf.org/viaf/90637919,,,,,,human,Seneca,Q2054,Q6126
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,,,,,,human,Albertus Magnus,Q60059,Q410
Carthusians of Treviso,former owner,,,,,,,,,,,
"Cassian, John, approximately 360-approximately 435",author,,,,,,,,human,John Cassian,Q313795,Q20337
"Convent of Saint Cecilia (""bynnen Hoern"")",former owner,,,organization,Ceciliaklooster,Q20760577,DSNAME9272,Q110848,,,,
"Black, A. Bruce (Alfred Bruce), 1873-1931",former owner,,,human,Alfred Bruce Black,Q138772277,DSNAME9237,Q110813,,,,
"Sacrobosco, Giovanni di",author,,,human,Johannes de Sacrobosco,Q433841,DSNAME118,Q391,,,,
"Over, Watson",former owner,,,,,,,,,,,
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,,,,,,human,Albertus Magnus,Q60059,Q410
"Hermes, Trismegistus",author,,,human,Hermes Trismegistus,Q192358,DSNAME9238,Q110814,,,,
Jābir ibn Ḥayyān,author,,,,,,,,human,Jabir ibn Hayyan,Q167852,Q40964
"Rāzī, Abū Bakr Muḥammad ibn Zakarīyā, 865?-925?",author,,,,,,,,human,Abu Bakr al-Razi,Q169234,Q3193
"Llull, Ramon, 1232?-1316",author,,http://id.loc.gov/authorities/names/n79142616,,,,,,human,Ramon Llull,Q193660,Q7892
"Arnaldus, de Villanova, -1311",author,,http://id.loc.gov/authorities/names/n50001534,,,,,,human,Arnaldus de Villa Nova,Q356568,Q459
"Johannes, de Rupescissa, approximately 1300-approximately 1365",author,,,,,,,,human,Jean de Roquetaillade,Q2273936,Q41000
"ʻAlī ibn Riḍwān, -approximately 1068",author,,,,,,,,human,Ali ibn Ridwan,Q287492,Q108562
"Philip, Duke of Burgundy, 1342-1404",author,,,human,Philip the Bold,Q298892,DSNAME9239,Q110815,,,,
Hortulanus Alchemist,author,,,human,Ortolanus,Q18122964,DSNAME9240,Q110816,,,,
"Morienus, Romanus",author,,,human,Morienus,Q17493693,DSNAME5151,Q41596,,,,
"Pliny, the Elder",author,,,,,,,,human,Pliny the Elder,Q82778,Q41496
"Elia, da Cortona, frate, -1253",author,,,human,Elias of Cortona,Q1329212,DSNAME4135,Q40580,,,,
"Arnaldus, of Brussels",author,,,,,,,,,,,
"Whitman, W.E.",former owner,,,human,William E. S. (William Edward Seaver) Whitman,Q125400943,DSNAME9241,Q110817,,,,
"Guainerio, Antonio, -1440",author,,,human,Antonio Guaineri,Q110217312,DSNAME9242,Q110818,,,,
"Honeyman, Robert B.",former owner,,,,,,,,human,Robert Brodhead Honeyman,Q113864827,Q412
Virgil,author,,http://id.loc.gov/authorities/names/n79014062,,,,,,human,Virgil,Q1398,Q6128
"Honeyman, Robert B.",former owner,,,,,,,,human,Robert Brodhead Honeyman,Q113864827,Q412
"Bone, Michael",former owner,,,,,,,,,,,
"Ruel, Jean, 1474-1537",author,,,human,Jean Ruel,Q1592626,DSNAME9243,Q110819,,,,
Baillieu 18..-188. libraire,former owner,,,,,,,,,,,
"Duprès, Marguerite",former owner,,,,,,,,,,,
Master of the Entry of François I into Lyons (French illuminator act. early 16th century),artist,,,human,Master of the Entry of François I into Lyons,Q138772281,DSNAME9244,Q110820,,,,
"Belin, Th. (Théophile), Mme.",former owner,,,human,Madame Théophile Belin,Q109376045,DSNAME9245,Q110821,,,,
"Hudnut, Alexander M. (Alexander Malew)",former owner,,,human,Alexander M. Hudnut,Q120752912,DSNAME9246,Q110822,,,,
"Chasles, M. (Michel), 1793-1880",former owner,,,human,Michel Chasles,Q318067,DSNAME1567,Q7929,,,,
Venice (Republic : To 1797). Doge (1501-1521 : Loredan),author,,http://id.loc.gov/authorities/names/no2013091846,,,,,,human,Leonardo Loredan,Q250210,Q3768
Spain. Sovereign (1556-1598 : Philip II),author,,,,,,,,organization;human,Spain;Philip II of Spain,Q29;Q34417,Q392;Q17780
"Didot, Ambrose Firmin",former owner,,,human,Ambrose Firmin Didot,Q138772350,DSNAME9247,Q110823,,,,
"Traini, Francesco, active 14th century",artist,,,human,Francesco Traini,Q673516,DSNAME9248,Q110824,,,,
Marianne F. ???,former owner,,,,,,,,,,,
Dr. Harvey Bassler,former owner,,,human,Harvey Bassler,Q94645523,DSNAME9249,Q110825,,,,
Rogerus Albanus -1450,author,,,human,Roger Alban,Q18811217,DSNAME5146,Q41591,,,,
