row_index,workflow_history,place_as_recorded,authorized_label,structured_value
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Bologna?, Italy",Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Bruges?, Belgium",Bruges;Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Byzantium,Istanbul,http://vocab.getty.edu/tgn/7002473
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",China,China,http://vocab.getty.edu/tgn/1000111
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z",Cologne?,Cologne,http://vocab.getty.edu/tgn/7004446
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Deccan, India",Deccan;India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:57:00.784Z | PLACE RECON, STEP 3: START RECON 2022-07-16T13:57:29.453Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-07-16T13:58:39.480Z | PLACE RECON, STEP 6: FINALIZED 2022-07-16T13:58:57.186Z","Dijon, Burgundy, France",Dijon;Burgundy;France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
