row_index,workflow_history,material_as_recorded,authorized_label,structured_value
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",,,
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",Mixed,mixed media,http://vocab.getty.edu/aat/300163347
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",Paper,paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",Parchment,parchment,http://vocab.getty.edu/aat/300011851
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",col. ill,,
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",fine vellum,parchment,http://vocab.getty.edu/aat/300011851
11,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",ill,,
12,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",illustrations,,
13,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",laid paper,paper,http://vocab.getty.edu/aat/300014109
14,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109
15,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
16,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109
17,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
18,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
19,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",paper,paper,http://vocab.getty.edu/aat/300014109
20,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",paper (2 leaves parchment),paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
21,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z",paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
22,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper reinforced by card, color illustrations",paper,http://vocab.getty.edu/aat/300014109
23,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, col. ill",paper,http://vocab.getty.edu/aat/300014109
24,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
25,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, diagrams",paper,http://vocab.getty.edu/aat/300014109
26,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, ill",paper,http://vocab.getty.edu/aat/300014109
27,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
28,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T15:42:47.197Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-11T15:43:57.859Z","paper, illustration",paper,http://vocab.getty.edu/aat/300014109
