row_index,workflow_history,material_as_recorded,authorized_label,structured_value
26,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","paper, ill",paper,http://vocab.getty.edu/aat/300014109
27,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
28,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
29,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
30,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",paper|parchment,paper|parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
31,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",parchment,parchment,http://vocab.getty.edu/aat/300011851
32,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",parchment and paper,parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
33,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, col. ill",parchment,http://vocab.getty.edu/aat/300011851
34,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, ill",parchment,http://vocab.getty.edu/aat/300011851
35,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, illuminations, tables",parchment,http://vocab.getty.edu/aat/300011851
36,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
37,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z","parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
39,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",parchment|paper,parchment|paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
40,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",rag paper,paper,http://vocab.getty.edu/aat/300014109
41,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",stone,stone,http://vocab.getty.edu/aat/300011176
42,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
43,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
44,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",vellulm,parchment,http://vocab.getty.edu/aat/300011851
45,"MATERIAL RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T00:37:35.014Z | MATERIAL RECON STEP 3: FINALIZED 2022-06-06T00:48:11.503Z",vellum,parchment,http://vocab.getty.edu/aat/300011851
