name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Copied for Sion Abby in Switzerland; the see was originally located in Octodurum, now called Marigny/Martinach, and later moved to Sion (or Sitten in the German spelling of the name). On f. 247v, in the lower margin, in pencil, ""Joannes Aloysius Brochman acceptus anno 1749, mansit usque ad 1757"" (below feast of Agatha; perhaps that being the date of him having been accepted or having left).",former owner,,,organization,Mount Zion Abbey,Q819287
"On the front pastedown, as sticker reading, ""Purchased from the fund bequeathed to the Seminary by Eugene Augustus Hoffman, D.D., Dean, 1879-1902.""",former owner,,,human,Joannes Aloysius Brochman,Q116734411
Written in Flanders in the second quarter of the fifteenth century. A clipping accompanying the book from the GTS(?) Bulletin June 1968 says that Dr. John Plummer of the Pierpont Morgan Library identified the book,former owner,,,,,
"as being from the School of the Master of the Golden Scrolls, active in Belgium, probably Bruges in the decade 1420-30, and suggests the addition of Saint Rupert in the calendar connects the book to Salzburg. Purchased by General Theological Seminary in 1968. Inhouse call number: LIT 1200 1420-1430.",former owner,,,,,
"Written in Flanders in the third quarter of the fifteenth century for use in England. Early ownership by the family whose coat of arms appears on f. 23v, possibly the Barons Lovell as reported by the HMC and De Ricci; owned later by the Bowntyene family, possibly specifically Johane Bowntyene in the early sixteenth century, as reported by De Ricci",former owner,,,organization;human,"Baron Lovel;Johane Bowntyene
",Q4862578;Q116958831
"owned later (at least 1540-1568) by Anthony Bustard of Adderbury, near Oxford; the HMC report of 1885 records it among the manuscripts of Captain Josceline F. Bagot of Levens Hall; source and date of acquisition by General Theological Seminary unknown.",former owner,,,human;human,Anthony Bustard;Josceline Bagot,Q116958836;Q6279191
