row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.593Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Abbots--Early works to 1800,,Abbots,http://id.worldcat.org/fast/794221
2,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Accounting--France--14th century,,Accounting|France|Fourteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/933420
3,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Adriatic Sea,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
4,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Advaita,,Advaita,http://id.worldcat.org/fast/797410
5,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Advaita--Early works to 1800,,Advaita,http://id.worldcat.org/fast/797410
6,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Agriculture--Early works to 1800,,Agriculture,http://id.worldcat.org/fast/801355
7,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
8,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Alchemy--Early works to 1800,,Alchemy,http://id.worldcat.org/fast/804245
9,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134
10,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-30T22:51:29.512Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-30T23:06:13.594Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:18:28.200Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-30T23:23:16.118Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:24:10.736Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-30T23:35:29.360Z | KNOWN SUBJECT RECON APPLIED 2022-05-30T23:38:24.994Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-31T00:15:32.032Z",Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
