row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.167757400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Annals and chronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Annals and chronicles,fast,,Annals and chronicles,http://id.worldcat.org/fast/1919892
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Annotations (Provenance),rbprov,,,
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Art,lcgft,,Art,http://id.worldcat.org/fast/815177
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.911195100Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Art,fast,,Art,http://id.worldcat.org/fast/815177
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Chronicles,aat,,chronicles,http://vocab.getty.edu/aat/300026361
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-21T03:35:25.359754100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-12-21T03:36:47.168757900Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-12-21T03:44:17.133278900Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-12-21T03:50:31.410338600Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-12-21T03:50:52.912193900Z | GENRE RECON, STEP 7: FINALIZED 2022-12-21T03:51:07.652119Z",Codices,aat,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
