row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.881Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",", Low Countries",Low Countries,http://vocab.getty.edu/tgn/7029439
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.881Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",?,,
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z","Amberg, Bavaria, Germany",Amberg|Bavaria|Germany,http://vocab.getty.edu/tgn/7012357|http://vocab.getty.edu/tgn/7003669|http://vocab.getty.edu/tgn/7000084
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Austria; Germany?,Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Austria? Hungary?,Austria|Hungary,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7006278
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z","Barga,",Barga,http://vocab.getty.edu/tgn/7006242
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.439Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.440Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z","Belgium, Hainault","Belgium|Hainaut, Province de",http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007877
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T03:00:34.493Z | PLACE RECON, STEP 3: START RECON 2022-05-24T03:02:09.440Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-24T03:02:29.882Z | PLACE RECON, STEP 6: FINALIZED 2022-05-24T03:02:45.372Z","Bologna?, Italy",Bologna|Italy,http://vocab.getty.edu/tgn/7004847|http://vocab.getty.edu/tgn/1000080
