row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
11,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Animal culture--Early works to 1800,,Animal culture|Early works,http://id.worldcat.org/fast/809131|http://id.worldcat.org/fast/1411636
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Antiquities,,Antiquities,http://id.worldcat.org/fast/810745
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Aqueducts--Italy--Rome--Early works to 1800,,Aqueducts|Italy|Italy--Rome|Early works,http://id.worldcat.org/fast/812149|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411636
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arab countries,,Arab countries,http://id.worldcat.org/fast/1240128
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arab logic--Early works to 1800,,Arab logic|Early works,http://id.worldcat.org/fast/1748003|http://id.worldcat.org/fast/1411636
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arabic language--Dictionaries--Turkish,,Arabic language|Dictionaries|Turkish language,http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423826|http://id.worldcat.org/fast/1159411
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z","Arabic language--Glossaries, vocabularies, etc.--Early works to 1800",,"Arabic language|Glossaries, vocabularies, etc.|Early works",http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423786|http://id.worldcat.org/fast/1411636
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arabic language--Grammar,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arabic language--Grammar--Early works to 1800,,Arabic language--Grammar|Early works,http://id.worldcat.org/fast/812341|http://id.worldcat.org/fast/1411636
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T03:17:57.223Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-06-06T03:20:20.241Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:20:42.199Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-06-06T03:22:07.808Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:23:29.913Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-06-06T03:31:58.218Z | SUBJECT RECON, STEP 4: KNOWN SUBJECT RECON APPLIED 2022-06-06T03:32:08.911Z | SUBJECT RECON, STEP 12: FINALIZED 2022-06-06T03:33:53.741Z",Arabic language--Versification--Early works to 1800,,Arabic language--Versification|Early works,http://id.worldcat.org/fast/812458|http://id.worldcat.org/fast/1411636
