row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.293Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.876Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.841Z",Abridgements,aat,,abridgements,http://vocab.getty.edu/aat/300202489
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Account books,rbgenr,,,
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Accounts,aat,,accounts,http://vocab.getty.edu/aat/300145802
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Addresses,rbgenr,,,
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Amulets,aat,,amulets,http://vocab.getty.edu/aat/300266585
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Annals and chronicles,lcgft,,Annals and chronicles,http://id.worldcat.org/fast/1919892
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Annotations (Provenance),rbprov,,,
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T01:30:54.295Z | GENRE AAT RECON, STEP 3: START AAT RECON 2022-06-06T01:31:26.231Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2022-06-06T01:31:54.449Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2022-06-06T01:32:07.877Z | GENRE FAST RECON, STEP 3: START FAST RECON 2022-06-06T01:32:48.547Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2022-06-06T01:33:10.192Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2022-06-06T01:33:25.145Z | GENRE RECON, STEP 7: FINALIZED 2022-06-06T01:47:17.842Z",Art,fast,,Art,http://id.worldcat.org/fast/815177
