row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.448Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Anglo-Norman,xno,Anglo-Norman,Q35214
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.448Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic,ara,Arabic,Q13955
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.448Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic and Persian.,ara;per,Persian|Arabic,Q9168|Q13955
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.448Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z","Arabic headwords, Ottoman definitions.",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.448Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic text with Persian marginalia.,ara;per,Persian|Arabic,Q9168|Q13955
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.449Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic with 13 pages in Ottoman Turkish.,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.449Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic with a few statements in Persian.,ara;per,Persian|Arabic,Q9168|Q13955
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.449Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic with some Ottoman Turkish.,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.449Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic with some Persian marginalia.,ara;per,Persian|Arabic,Q9168|Q13955
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:02:14.529Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-11T16:02:58.915Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-11T16:05:54.449Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-11T16:06:46.122Z",Arabic with some marginalia in Persian.,ara;per,Persian|Arabic,Q9168|Q13955
