row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
98,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342832Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317587Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024911Z",Persian with two pages in Arabic (f. 23r/v),per,Persian|Arabic,Q9168|Q13955
99,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342845Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317599Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024918Z",Spanish,spa,Spanish,Q1321
100,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342887Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317607Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024931Z",Spanish,,Spanish,Q1321
101,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342904Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317615Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024938Z",Tashelhit / Shilha,ber,Shilha,Q34152
102,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342918Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317626Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024949Z",Text in Latin,lat,Latin,Q397
103,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342941Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317634Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024961Z",Text in Old French,fro,Old French,Q35222
104,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342956Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317644Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024968Z",[English],,English,Q1860
105,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342969Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317654Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024974Z",[Latin],,Latin,Q397
106,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.342989Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317662Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024984Z",ara,ara,Arabic,Q13955
107,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343003Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317678Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024991Z",ber,ber,Berber,Q25448
108,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343017Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317696Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.024997Z",chi,chi,Chinese,Q7850
109,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343036Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317705Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025012Z",dan,dan,Danish,Q9035
110,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343049Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317731Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025018Z",dut,dut,Dutch,Q7411
111,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343067Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317741Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025025Z",eng,eng,English,Q1860
112,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343082Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317749Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025038Z",eng;dut;gre;lat,eng;dut;gre;lat,English|Dutch|Greek|Latin,Q1860|Q7411|Q9129|Q397
113,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343095Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317762Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025045Z",eng;fre,eng;fre,English|French,Q1860|Q150
114,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343124Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317770Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025051Z",eng;fre;ger;lat,eng;fre;ger;lat,English|French|German|Latin,Q1860|Q150|Q188|Q397
115,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343139Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317779Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025064Z",eng;fre;gre;heb;lat,eng;fre;gre;heb;lat,English|French|Greek|Hebrew|Latin,Q1860|Q150|Q9129|Q9288|Q397
116,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T15:18:28.343153Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-10-07T15:18:45.317790Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-10-07T15:19:12.025071Z",eng;gre;lat,eng;gre;lat,English|Greek|Latin,Q1860|Q9129|Q397
