row_index,workflow_history,material_as_recorded,authorized_label,structured_value
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.461172600Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z",,undetermined,http://vocab.getty.edu/aat/300379012
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z",illustrations,,
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z",paper,paper,http://vocab.getty.edu/aat/300014109
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z",paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper and parchment, color illustrations",paper|parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z",paper illustrations,paper,http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, color illustrations, coats of arms",paper,http://vocab.getty.edu/aat/300014109
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, color illustrations, music",paper,http://vocab.getty.edu/aat/300014109
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, color, illustrations",paper,http://vocab.getty.edu/aat/300014109
11,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, colored illustrations",paper,http://vocab.getty.edu/aat/300014109
12,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:29:03.462845200Z | MATERIAL RECON, STEP 3: FINALIZED 2023-01-03T21:29:20.310554700Z","paper, illumination",paper,http://vocab.getty.edu/aat/300014109
