row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Abbots--Early works to 1800,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Accounting--France--14th century,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Advaita,,Advaita,http://id.worldcat.org/fast/797410
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Advaita--Early works to 1800,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Agriculture--Early works to 1800,,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Alchemy--Early works to 1800,,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire|Early works,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134|http://id.worldcat.org/fast/1411636
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T16:51:49.121Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-07-16T16:52:15.596Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:53:00.295Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-07-16T16:55:23.307Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:56:14.952Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-07-16T16:58:39.771Z | KNOWN SUBJECT RECON APPLIED 2022-07-16T16:59:44.319Z | SUBJECT RECON, STEP 12: FINALIZED 2022-07-16T17:00:04.716Z",Animal culture--Early works to 1800,,Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636
