row_index,workflow_history,place_as_recorded,authorized_label,structured_value
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Augsburg,Augsburg,http://vocab.getty.edu/tgn/7004324
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Austria or Germany,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Austria or Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Austria or Southern Germany,Austria;South Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/4004316
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Avignon,Avignon,http://vocab.getty.edu/tgn/7008799
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Avignon?, France",Avignon;France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/1000070
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Baghdād,Baghdad,http://vocab.getty.edu/tgn/7002482
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Bamberg?, Germany",Bamberg;Germany,http://vocab.getty.edu/tgn/7004325;http://vocab.getty.edu/tgn/7000084
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Barga,Barga,http://vocab.getty.edu/tgn/7006242
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Basel-Landschaft?, Switzerland",Basle-Country|Switzerland,http://vocab.getty.edu/tgn/7003740|http://vocab.getty.edu/tgn/7011731
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Bavaria or Austria,Bavaria|Austria,http://vocab.getty.edu/tgn/7003669|http://vocab.getty.edu/tgn/1000062
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z",Benelux countries,Low Countries,http://vocab.getty.edu/tgn/7029439
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-07-31T18:44:31.633332500Z | PLACE RECON, STEP 3: START RECON 2023-07-31T18:44:48.584261100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-07-31T18:45:14.339830400Z | PLACE RECON, STEP 6: FINALIZED 2023-07-31T18:45:27.147632300Z","Berat, Albania",Berat;Albania,http://vocab.getty.edu/tgn/7006419;http://vocab.getty.edu/tgn/7006417
