row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.522Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.375Z",Anglo-Norman,xno,Anglo-Norman,Q35214
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.522Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.375Z",Anglo-Saxon,,Old English,Q42365
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.522Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Anglo-Saxon; Latin,,Old English|Latin,Q42365|Q397
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic,ara,Arabic,Q13955
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic and Persian.,ara;per,Persian|Arabic,Q9168|Q13955
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z","Arabic headwords, Ottoman definitions.",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic text with Persian marginalia.,ara;per,Persian|Arabic,Q9168|Q13955
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic with 13 pages in Ottoman Turkish.,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic with a few statements in Persian.,ara;per,Persian|Arabic,Q9168|Q13955
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:27:08.317Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-16T13:27:54.809Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-16T13:29:36.523Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-16T13:33:05.376Z",Arabic with some Ottoman Turkish.,ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
