title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
A Myrour to lewde men and wymmen,,,,A Myrour to Lewde Men and Wymmen,A Myrour to Lewde Men and Wymmen
A dream of bounden dutie,,,,A Dream of Bounden Dutie,A Dream of Bounden Dutie
A geometricall extraction for all affected to the mathematickes,,,,,
Abbadia San Salvatore property lien,,,,,
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,,
Abscondita naturae,,,,Abscondita naturae,Abscondita naturae
Acciaiuoli family correspondence,,,,Family documents,Family documents
Account book,,,,Account book,Account book
Account book and record of transactions,,,,Account book,Account book
Account book of Vincenzo Spada,,,,Account book,Account book
Account of payments,,,,Account book,Account book
Acknowledgment of loan,,,,,
Act concerning the monastery of San Spirito,,,,,
Act of exchange of property,,,,,
Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,,
"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,,
Ad statutum positum sub rubrica de contractibus cum minoribus,,,,,
Adam Luce Dominici deed of sale,,,,Deed,Deed
"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,,
Addresses and letters,,,,,
Admission letter to the Third Order Secular of St. Francis,,,,,
Agreement,,,,,
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,,
Alamanno Taviani power of attorney,,,,Power of attorney,Power of attorney
Alchemical compendium,,,,"Alchemical miscellany
","Alchemical miscellany
"
Alchemical miscellany,,,,Alchemical miscellany,Alchemical miscellany
Aldobrando Delci power of attorney,,,,Power of attorney,Power of attorney
Alessandri family power of attorney,,,,Power of attorney,Power of attorney
Alessandro Piccolomini nomination,,,,,
Alexander ...etc,,,,,
Alfonso Petrucci property instructions,,,,,
Alfonso Petrucci public instrument,,,,,
Algorismus,,,,Algorismus,Algorismus
Algorismus ... etc,,,,Algorismus,Algorismus
Alphabetical index to Medici (?) account book,,,,Account book,Account book
Alphabetum malarum mulierum ... etc,,,,Alphabetum malarum mulierum,Alphabetum malarum mulierum
"Altera apologia pro rege christianissimo contra caesarianos, in qua de causis belli inter regem et caesarem recens orti brevissime et verissime agitur",,,,,
Alvise Mocenigo I notice,,,,,
"An inventary of all and singular the goodes and chattells and debtes of John Ffox, late of Chacumbe in the countie of Northampton, gentleman deceased",,,,,
Andrea Amadio botanical illustrations,,,,Illustrations,Illustrations
Andrea di Nanni Todeschini Piccolomini legal document,,,,Legal documents,Legal documents
Andrea di Sommariva power of attorney,,,,Power of attorney,Power of attorney
André Blondet agreement,,,,,
Angiola Pagani power of attorney,,,,Power of attorney,Power of attorney
Anglezarke indenture,,,,,
Anne de Montmorency nomination,,,,,
Annotata in libellos Aristotelis Parva naturalia appellatos,,,,Parva naturalia; Commentary on Parva naturalia,Parva naturalia; Commentary on Parva naturalia
Annotated copy of Tacitus' Germania,,,,Germania,Germania
Annotated copy of Terence's works,,,,Commentary on Terence,Commentary on Terence
Annotations,,,,,
Antiphonary,,,,Antiphonary,Antiphonary
Antiphonary and lectionary,,,,Antiphonary; Lectionary,Antiphonary; Lectionary
Antiphonary fragment,,,,Antiphonary,Antiphonary
Antiphonary fragments,,,,Antiphonary,Antiphonary
Antonio Acciaioli will,,,,Will,Will
Antonio Cilli deed,,,,Deed,Deed
Antonio Cocchi Donati will,,,,Will,Will
Antonio Mannucci power of attorney,,,,Power of attorney,Power of attorney
Antonio Maria d'Enea di Giacomo Todeschini Piccolomini transcript of emancipation,,,,,
Antonio de' Grifoni power of attorney,,,,Power of attorney,Power of attorney
Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi,Apologia cuiusdam regiae famae studiosi
Apparatus domini Bernardi Raymundi in sexto libro decretalium,,,,Decretales Gregorii IX,Decretales Gregorii IX
Apparatus super constitutionibus Concilii Viennensis,,,,,
Appointment of attorney-at-law,,,,,
Appointment of executor,,,,,
Appointment of legal representatives,,,,,
Appointment of mediator,,,,,
Appointment of mediators,,,,,
Arcangelo Paffiere will,,,,Will,Will
Archdiocese of Siena nomination,,,,,
Arrigucci family papers,,,,Family documents,Family documents
Ars epistolandi ... etc,,,,,
Arte della lana legal decision,,,,,
Ascanio Maria Sforza notarial document,,,,Notarial documents,Notarial documents
Ascetic miscellany,,,,Ascetic miscellany,Ascetic miscellany
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese m'lingua italiana, de ordine dela serenissimo ducal signoria de Venetia /",,Livre des assises,,Livre des assises,Livre des assises
Assizes of Romania,,Liber consuetudinum Imperii Romaniae.,,Liber consuetudinum Imperii Romaniae,Liber consuetudinum Imperii Romaniae
Astronomical and astrological tables,,,,Astronomy,Astronomy
Astronomical anthology,,,,Astronomy,Astronomy
Astronomical compendium,,,,Astronomy,Astronomy
Astronomical fragments,,,,Astronomy,Astronomy
Astronomical treatises and tables,,,,Astronomy,Astronomy
Astronomy lecture notes,,,,Astronomy,Astronomy
Aurora,,,,Aurora,Aurora
Baldinus Ceccharini legal claim,,,,,
Balia grant,,,,,
Balia of Siena grant,,,,,
Balia of Siena privilege,,,,,
Bartolomea Villani deed,,,,Deed,Deed
Bartolomeo Chellini and Giovanfrancesco de' Carli act of exchange,,,,,
Bartolomeo di Piero power of attorney,,,,Power of attorney,Power of attorney
Batista Piccolomini petition,,,,,
Bellum Catilinae,,,,De coniuratione Catilinae,De coniuratione Catilinae
Benedetto degli Armaleoni power of attorney,,,,Power of attorney,Power of attorney
Benedictiones episcopales ... etc,,,,Benedictiones episcopales,Benedictiones episcopales
Bernardo Carnesecchi legal decision,,,,,
Bernardo di San Miniato petition for tax adjustment,,,,,
Bernardo di Ventura power of attorney,,,,Power of attorney,Power of attorney
Bertin family documents,,,,Family documents,Family documents
