title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Letter to Aurelius,,,,Letter to Aurelius
Letter to Bassula,,,,Letter to Bassula
Letter to Eusebius,,,,Letter to Eusebius
"Letter to Hugh of St. Victor, refuting Arnulph",,,,Letter to Hugh of St. Victor
Letter to Master William the monk on baptism,,,,Letter to Master William
Letter to all Christians on the mystery of the incarnation,,,,
Letters of introduction,,,,
Liber gestorum barlaam et Josaphat,,,,Barlaam et Josaphat
Life of Saint Martin,,,,Life of St. Martin
List of noble families of Rome,,,,
Litany,,,,Litany
Liturgical Office,,,,Liturgy
Lives of the Caesars,,,,Lives of the Caesars
Lives of the Saints,,,,Lives of the Saints
Lives of the fathers,,,,Lives of the fathers
Magna Glossatura in Epistolas Pauli,,,,Magna glossatura
Magna Glossatura in Psalmost,,,,Magna glossatura
Massbook,,,,Massbook
Media Glossatura in Epistolas Pauli,,,,Media Glossatura in Epistolas Pauli
Missal,,,,Missal
Missale,,,,Missal
Missale estivalis quem comparavit Johannes laicus de rastorf quondam mrg’ coq’ne felicis memorie qui obit in vigilia s. margarethe ac cuius anniversarium datur dominis xxx solidi annuatim ad caritatem.,,,,Missal
Nobilis et discretus vir dominus marcuspaulo de veneciis cum xxvi annis continuis,,,,Milione
Office de la Virège Marie,,,,Book of hours
Office of Saint Emmeram,,,,
Office of the Virgin Mary,,,,Book of hours
Pattern-book,,,,Pattern-book
Penitential Psalms and fifteen Gradula Psalms,,,,Psalter
Pontifical and Missal,,,,Pontifical;Missal
Psalms and Canticles,,,,Psalter
Psalter,,,,Psalter
Psalter of the Virgin,,,,Psalter
Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.,,,,Unigenitus Dei Filius
Quod visa impiorum pena non minuiit beatorum gloriam.,,,,
Quotations,,,,
Rabanus de origine rerum,,,,De rerum naturis
Ratification,,,,
Registrum Alphabeticum super octo libros Ptolomei Incipit feliciter,,,,Registrum Alphabeticum
Registrum aplphabeticum super octo libros Ptolomei,,,,Registrum Alphabeticum
Rhyming verse,,,,Poems
Royal Writ,,,,Writ
Rule of Living,,,,Rule of Living
Saint's Life,,,,Lives of the Saints
Saints Lives,,,,Lives of the Saints
Saints lives,,,,Lives of the Saints
Satires,,,,Satires
Sayings,,,,Sayings
Secundum consuetudinem ecclesie yspalensis,,,,Book of hours
Sententia ex Augustino delibitae,,,,Sententiae
Sententiae,,,,Sententiae
Sidonius Apollinaris to Agricola,,,,
Statutes of a confraternity,,,,Statutes
Summer Missale,,,,Missal
Table of Contents,,,,Table of contents
Tabula Moderna,,,,
The romance of Troilus and Criseida,,,,Troilus and Criseida
Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino,,,,Sylloge epigraphica Turonensis de S. Martino
Tractatus Ricardi Heremite de emendacione Vite sive Regula vivendi,,,,Emendatio Vitae
Tractatus Ricardi Heremite de hoc nomine Ihesus,,,,De nomine Ihesu
Travelog,,,,
Tusculanae disputationes,,,,Tusculanae disputationes
Verses about Saint Martin,,,,Poems on St Martin
Vitae sanctorum,,,,Lives of the Saints
Väterbuch,,,,Apophthegmata Patrum
Wedding poem,,,,
de memoria et reminiscentia,,,,De memoria et reminiscentia
de somno et vigilia,,,,De somno et vigilia
hugonis canonici sancti victoris parisiensis de archa noe pro archa sapientiae cum archa ecclesiae de arch matris gratiae liber primus incipit,,,,De arca Noe
