row_index,workflow_history,place_as_recorded,authorized_label,structured_value
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Bologna?, Italy",Bologna|Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Bruges?, Belgium",Bruges|Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Byzantium,Istanbul,http://vocab.getty.edu/tgn/7002473
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",China,China,http://vocab.getty.edu/tgn/1000111
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Cologne?,Cologne,http://vocab.getty.edu/tgn/7004446
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Deccan, India",Deccan|India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Dijon, Burgundy, France",Dijon|Burgundy|France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z","Diocese of Treviso, Montello, Italy",Treviso|Volpago del Montello|Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",Engalnd,England,http://vocab.getty.edu/tgn/7002445
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",England,England,http://vocab.getty.edu/tgn/7002445
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-27T04:46:32.624Z | PLACE RECON, STEP 3: START RECON 2022-05-27T04:49:09.099Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-05-27T04:49:34.427Z | PLACE RECON, STEP 6: FINALIZED 2022-05-27T04:51:02.994Z",England and Spain,England|Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
