row_index,ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_tgn,production_place,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_wikidata,author_instance_of,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language_iso_639-3,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified,source_file
1,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 01,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. IX/X, 890-910",890^910,9;10,http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502,false,,,,"Bible, O.T.",,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 212 x 142 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132322.xml
2,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 02,,,Germany?,http://vocab.getty.edu/tgn/7000084,,"s. X, 900-999",900^999,10,http://vocab.getty.edu/aat/300404502,false,,,,Sacramentary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 180 x 138 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132323.xml
3,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 19,,,?,,,Undetermined,"",,,false,,,,"Decretals of Gregory IX, commentary on",,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 162 x 152 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132324.xml
4,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 35,,,France?,http://vocab.getty.edu/tgn/1000070,,"s. XIV, 1300-1399",1300^1399,14,http://vocab.getty.edu/aat/300404506,false,,,,Meteorologica,,,,,,,,,,,,,,,,,Latin,lat,,"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",,,,parchment,Extent: ff. 1-2v; 270 x 215 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132325.xml
5,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 12,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Missal,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: ff. 1-2v; 337 x 223 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132326.xml
6,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 13,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 285 x 195 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132327.xml
7,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 14,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 288 x 195 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132328.xml
8,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 15,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 285 x 188 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132329.xml
9,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 16,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 291 x 181 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132330.xml
10,,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 17,,,Switzerland?,http://vocab.getty.edu/tgn/7011731,,"s. XII, 1100-1199",1100^1199,12,http://vocab.getty.edu/aat/300404504,false,,,,Breviary,,,,,,,,,,,,,,,,,Latin,lat,,Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,,,,parchment,Extent: f. 1r-v; 290 x 170 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01,/Users/emeryr/code/GIT/ds-scripts/scripts/../data/digitalassets.lib.berkeley.edu/ds/conception/mets/ds_50_15_00132331.xml
