row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.760195200Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.721159700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.547815900Z",Persian,,,,,Persian,Q9168,Q120
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.772171300Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.547815900Z",Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.547815900Z",Persian and Urdu,,Persian;Urdu,Q9168;Q1617,Q120;Q27496,,,
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.547815900Z","Persian, Arabic, and Chagatai in Arabic script",,Persian;Arabic;Chagatai,Q9168;Q13955;Q36831,Q120;Q118;Q42445,,,
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.548825100Z","Persian, Arabic, and Turkish in Arabic script",,Persian;Arabic;Turkish,Q9168;Q13955;Q256,Q120;Q118;Q4337,,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.548825100Z",Arabic,,,,,Arabic,Q13955,Q118
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.583443100Z",Persian and Turkish in Arabic script,,Persian;Turkish;Arabic,Q9168;Q256;Q13955,Q120;Q4337;Q118,,,
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.584455800Z",In Persian and Ottoman Turkish,,Persian;Ottoman Turkish,Q9168;Q36730,Q120;Q3104,,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.777928700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.584455800Z","Persian, Arabic and Ottoman Turkish",,Persian;Arabic;Ottoman Turkish,Q9168;Q13955;Q36730,Q120;Q118;Q3104,,,
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.584455800Z",Persian and Azerbaijani,,Persian;Azerbaijani,Q9168;Q9292,Q120;Q48678,,,
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.584455800Z","Persian, Arabic, and Urdu",,Persian;Arabic;Urdu,Q9168;Q13955;Q1617,Q120;Q118;Q27496,,,
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z",per,,,,,Persian,Q9168,Q120
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z",ara,,,,,Arabic,Q13955,Q118
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z",ota,,,,,Ottoman Turkish,Q36730,Q3104
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z","Persian, Ottoman Turkish, and Arabic",,Persian;Ottoman Turkish;Arabic,Q9168;Q36730;Q13955,Q120;Q3104;Q118,,,
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z",Persian and Ottoman Turkish,,,,,Persian;Ottoman Turkish,Q9168;Q36730,Q120;Q3104
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.585456Z",Persian and Sanskrit,,Persian;Sanskrit,Q9168;Q11059,Q120;Q27494,,,
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.586454900Z",Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.586454900Z",In Pushto (Afghānī),,Pashto,Q58680,Q48679,,,
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.586454900Z",Persian and Dakhini,,Persian;Daknī,Q9168;Q669431,Q120;Q48680,,,
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.586454900Z","Persian, Panjabi, and Arabic",,Persian;Punjabi;Arabic,Q9168;Q58635;Q13955,Q120;Q27505;Q118,,,
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-01T14:22:02.776145500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-08-01T14:30:48.778932600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-08-01T14:31:26.586454900Z","Persian, Ottoman Turkish, Arabic",,Persian;Ottoman Turkish;Arabic,Q9168;Q36730;Q13955,Q120;Q3104;Q118,,,
