language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
ara,,,,,Arabic,Q13955,Q118
Arabic,,,,,Arabic,Q13955,Q118
may,,Malay,Q9237,Q39962,,,
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
"Arabic, Persian and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
Arabic and Javanese in Arabic script,,Arabic;Javanese,Q13955;Q33549,Q118;Q38105,,,
"Arabic, Persian, and Ottoman Turkish",,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104,,,
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
ota,,,,,Ottoman Turkish,Q36730,Q3104
Ottoman Turkish and Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
per,,,,,Persian,Q9168,Q120
Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
In Arabic,,,,,Arabic,Q13955,Q118
In Arabic with commentary in Ottoman Turkish,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104,,,
