subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Linguistic analysis,0,a,,Linguistic analysis (Linguistics),http://id.worldcat.org/fast/999166,Q48283,,,
1400 - 1499,fast,a,,,,,,,
French poetry,fast,a,(OCoLC)fst00934799,,,,French poetry,http://id.worldcat.org/fast/934799,Q7495
Latin poetry,0,a,,,,,Latin poetry,http://id.worldcat.org/fast/993373,Q6969
Philosophy--Poetry,0,a--v,,Philosophy;Poetry,http://id.worldcat.org/fast/1060777;http://id.worldcat.org/fast/1423828,Q5883;Q247,,,
"Philosophy, Medieval",0,a,,,,,"Philosophy, Medieval",http://id.worldcat.org/fast/1061057,Q4847
Happiness--Early works to 1800,0,a--x,,,,,Happiness;Early works,http://id.worldcat.org/fast/951160;http://id.worldcat.org/fast/1411636,Q2816;Q300
Happiness,fast,a,(OCoLC)fst00951160,,,,Happiness,http://id.worldcat.org/fast/951160,Q2816
Latin poetry,fast,a,(OCoLC)fst00993373,,,,Latin poetry,http://id.worldcat.org/fast/993373,Q6969
"Philosophy, Medieval",fast,a,(OCoLC)fst01061057,,,,"Philosophy, Medieval",http://id.worldcat.org/fast/1061057,Q4847
"Devotional poetry, French",0,a,,"Devotional poetry, French",http://id.worldcat.org/fast/2007327,Q27420,,,
"Devotional poetry, French",fast,a,(OCoLC)fst02007327,"Devotional poetry, French",http://id.worldcat.org/fast/2007327,Q27420,,,
Miracles--Early works to 1800,0,a--x,,Miracles;Early works,http://id.worldcat.org/fast/1023535;http://id.worldcat.org/fast/1411636,Q48126;Q300,,,
Saints--Biography,0,a--x,,,,,Saints;Biographies,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/1919896,Q5891;Q3051
Immortality--Early works to 1800,0,a--x,,,,,Immortality;Early works,http://id.worldcat.org/fast/967853;http://id.worldcat.org/fast/1411636,Q10825;Q300
Immortality,fast,a,(OCoLC)fst00967853,,,,Immortality,http://id.worldcat.org/fast/967853,Q10825
Miracles,fast,a,(OCoLC)fst01023535,,,,Miracles,http://id.worldcat.org/fast/1023535,Q48126
Saints,fast,a,(OCoLC)fst01103658,,,,Saints,http://id.worldcat.org/fast/1103658,Q5891
God--Art,0,a--v,,God;Art,http://id.worldcat.org/fast/944037;http://id.worldcat.org/fast/944037,Q4897;Q38573,,,
Italy--Description and travel--Early works to 1800,0,a--x--v,,,,,Italy;Voyages and travels;Early works,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q249;Q3600;Q300
Egypt--Description and travel--Early works to 1800,0,a--x--v,,,,,Egypt;Voyages and travels;Early works,http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11259;Q3600;Q300
Palestine--Description and travel--Early works to 1800,0,a--x--v,,,,,Middle East--Palestine;Voyages and travels;Early works,http://id.worldcat.org/fast/1207534;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q7204;Q3600;Q300
Santiago de Compostela (Spain)--Description and travel--Early works to 1800,0,a--x--v,,Spain--Santiago de Compostela;Voyages and travels;Early works,http://id.worldcat.org/fast/1205050;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q48446;Q3600:Q300;Q300,,,
Égypte--Descriptions et voyages--Ouvrages avant 1800,6,a--x--v,,Egypt;Voyages and travels;Early works,http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q11259;Q3600;Q300,,,
Travel,fast,a,(OCoLC)fst01155558,,,,Travel,http://id.worldcat.org/fast/1155558,Q11139
Egypt,fast,a,(OCoLC)fst01208755,,,,Egypt,http://id.worldcat.org/fast/1208755,Q11259
Middle East--Palestine,fast,a--z,(OCoLC)fst01207534,Middle East--Palestine,http://id.worldcat.org/fast/1207534,Q7204,,,
Fever--Early works to 1800,0,a--v,,,,,Fever;Early works,http://id.worldcat.org/fast/923528;http://id.worldcat.org/fast/1411636,Q286;Q300
Fever,fast,a,(OCoLC)fst00923528,,,,Fever,http://id.worldcat.org/fast/923528,Q286
Encyclopedias and dictionaries--Early works to 1800,0,a--v,,,,,Encyclopedias and dictionaries;Early works,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636,Q175;Q300
Encyclopedias and dictionaries,fast,a,(OCoLC)fst00909533,,,,Encyclopedias and dictionaries,http://id.worldcat.org/fast/909533,Q175
books of hours,aat,a,,books of hours,http://vocab.getty.edu/aat/300026457,Q3618,,,
Benedictionals,0,a,,Benedictionals,http://id.worldcat.org/fast/830322,Q18314,,,
Benediction of the Blessed Sacrament (Music),0,a,,Benediction of the Blessed Sacrament (Music),http://id.worldcat.org/fast/830321,Q20494,,,
Benediction of the Blessed Sacrament (Music),fast,a,(OCoLC)fst00830321,Benediction of the Blessed Sacrament (Music),http://id.worldcat.org/fast/830321,Q20494,,,
Benedictionals,fast,a,(OCoLC)fst00830322,Benedictionals,http://id.worldcat.org/fast/830322,Q18314,,,
Canon law--Early works to 1800,0,a--v,,,,,Canon law;Early works,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/1411636,Q204;Q300
Coptic language--Texts,0,a--v,,,,,Coptic language;Texts,http://id.worldcat.org/fast/878617;http://id.worldcat.org/fast/1423705,Q27005;Q3066
Latin language--Grammar--Early works to 1500,0,a--x--v,,,,,Latin language--Grammar;Early works,http://id.worldcat.org/fast/993167;http://id.worldcat.org/fast/1411636,Q263;Q300
Latin language--Grammar,fast,a--x,(OCoLC)fst00993167,,,,Latin language--Grammar,http://id.worldcat.org/fast/993167,Q263
Arabic language--Dictionaries--Persian.--Early works to 1800,0,a--v--x--v,,Arabic language;Dictionaries;Persian language;Early works,http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423826;http://id.worldcat.org/fast/1058466;http://id.worldcat.org/fast/1411636,Q2953;Q3041;Q11515;Q300,,,
Persian language--Synonyms and antonyms--Early works to 1800,0,a--x--v,,Persian language--Synonyms and antonyms;Early works,http://id.worldcat.org/fast/1058512;http://id.worldcat.org/fast/1411636,Q48427;Q300,,,
Arabic language,fast,a,(OCoLC)fst00812287,,,,Arabic language,http://id.worldcat.org/fast/812287,Q2953
Persian language--Synonyms and antonyms,fast,a--x,(OCoLC)fst01058512,Persian language--Synonyms and antonyms,http://id.worldcat.org/fast/1058512,Q48427,,,
Oratory,0,a,,,,,Oratory,http://id.worldcat.org/fast/1047214,Q4985
Oratory,fast,a,(OCoLC)fst01047214,,,,Oratory,http://id.worldcat.org/fast/1047214,Q4985
Health--Early works to 1800,0,a--v,,Health;Early works,http://id.worldcat.org/fast/952743;http://id.worldcat.org/fast/1411636,Q48234;Q300,,,
Health,fast,a,(OCoLC)fst00952743,Health,http://id.worldcat.org/fast/952743,Q48234,,,
