title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Rubāʻīyāt-i Khayyām,رباعيات خيام,Rubāʻīyāt,رباعيات,,,Rubāʻīyāt,
Dīvān-i Kalīm,دىوان کلىم,,,,,Dīwān,Q11912
Vāqiʻāt-i Bāburī,واقعات بابرى,Bāburnāmah,بابرنامه,,,Bāburnāmah,
Qiṣṣah-i Laylá va Majnūn,قصه لىلى و مجنون,Laylá va Majnūn,لىلى و مجنون,,,Laylá va Majnūn,
Savāniḥ-i Ḥaydarī /,سوانح حىدرى /,,,,,Savāniḥ-i Ḥaydarī,
Sulṭān al-tavārīkh,سلطان التوارىخ,Sulṭān al-tavārīkh,سلطان التوارىخ,,,Sulṭān al-tavārīkh,
Dīvān-i Ḥāfiẓ,دىوان حافظ,Dīvān,دىوان,Dīvān-i Ḥāfiẓ,Q18593,,
Hāz̲ā al-majmūʻ al-laṭīf al-sharīf al-munīf naẓm /,هذا المجموع اللطىف الشرىف المنىف نظم /,,,,,Hāz̲ā al-majmūʻ al-laṭīf al-sharīf al-munīf naẓm,
Hāz̲ā Silsilat al-z̲ahab ... [etc.,هذا سلسلة الذهب,,,,,Hāz̲ā Silsilat al-z̲ahab,
Daryā-yi laṭāfat /,درىاى لطافت /,Daryā-yi laṭāfat,درىاى لطافت,,,Daryā-yi laṭāfat,
Kitāb Tarshīḥ al-bayān fī tawz̤īḥ āyāt al-Qurʾān,کتاب ترشىح البىان فى توضىح آىات القرآن,Tertib-i zîbâ,ترتىب زىبا,,,Tertib-i zîbâ,
Persian calendar calculations for the year 1253/1838,,,,,,Persian calendar calculations,
Bahāristān,بهارستان,,,,,Bahāristān,Q39215
Inshāʾ,انشاء,Correspondence,,,,Correspondence,Q38385
Collection of questions and answers on religious subjects,,,,,,Religious texts,Q5037
al-Khirqah al-Ṣūfīyah] ... [etc,الخرقة الصوفية ... الخ,,,,,al-Khirqah al-Ṣūfīyah,
Risālah-i siyūm az Kitāb-i Kashf al-ḥaqāyiq,رساله سىوم از کتاب کشف الحقاىق,Kashf al-ḥaqāyiq,کشف الحقاىق,,,Kashf al-ḥaqāyiq,
Collection of Sufi texts,,,,,,Sufi texts,
Sharḥ-i Niyāzʹnāmah-i ʻarz̤-i ḥāl va aḥvāl ... [etc.,شرح نياز‌نامه عرض حال و احوال,,,,,Sharḥ-i Niyāzʹnāmah-i ʻarz̤-i ḥāl va aḥvāl,
Risālah-i Kashf-i asrār ... [etc.,رساله کشف اسرار ... الخ,,,,,Risālah-i Kashf-i asrār,
Kitāb-i Nuzhat al-arvāḥ,کتاب نزهت الارواح,Nuzhat al-arwāḥ,نزهة الارواح,,,Nuzʹhat al-arvāḥ,Q18495
Baḥr al-maʻānī,بحر المعانى,,,,,Baḥr al-maʻānī,
al-Maktūbāt /,المکتوبات /,,,,,al-Maktūbāt,
Dīvān /,دىوان /,Poems,,,,Poems,Q1455
Risālah-i Lavāyiḥ /,رساله لواىح /,,,,,Risālah-i Lavāyiḥ,
Kifāyat al-muʾminīn ... [etc.,کفاىت المؤمنىن,,,,,Kifāyat al-muʾminīn,
Akhlāq-i Humāyūn. Risālah-i Ḥasanāt al-ʻārifīn /,اخلاق همايون. رساله حسنات العارفين /,,,,,Akhlāq-i Humāyūn,
Sharḥ-i Gulistān,شرح گلستان,,,,,Sharḥ-i Gulistān,
Majmūʻah-i panjkutub; avval risālah dar faz̤āʼil-i Banī ʻAbbās,مجموعه پنجکتب,,,,,Majmūʻah,Q18453
