subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Bible.--Latin--Versions--Vulgate--Dictionaries--Latin,0,a--l--x--x--v--x,,,,,Bible;Latin language;Dictionaries,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/1423826,Q4267;Q4170;Q3041
"Petrarca, Francesco, 1304-1374",0,a;d,,"Petrarca, Francesco, 1304-1374",http://id.worldcat.org/fast/41151,Q39933,,,
"Petrarca, Francesco, 1304-1374",fast,a;d,(OCoLC)fst00041151,"Petrarca, Francesco, 1304-1374",http://id.worldcat.org/fast/41151,Q39933,,,
Bible,0,a,,,,,Bible,http://id.worldcat.org/fast/1356024,Q4267
"Bible. Acts, III, 9-10",0,a;p,,Bible. Acts,http://id.worldcat.org/fast/1892885,Q16304,,,
"Thomas, Aquinas, Saint, 1225?-1274. De ente et essentia",0,a;c;d;t,,"De ente et essentia (Thomas, Aquinas, Saint)",http://id.worldcat.org/fast/1356795,Q27813,,,
"Zonzeto, Caterina de, -1419",0,a;d,,,,,,,
Bible. Epistles of Paul--Commentaries,0,a;p--v,,Bible. Epistles of Paul;Commentaries,http://id.worldcat.org/fast/1808029;http://id.worldcat.org/fast/1423723,Q38594;Q2812,,,
Bible. Epistles of Paul,fast,a;p,(OCoLC)fst01808029,,,,Bible. Epistles of Paul,http://id.worldcat.org/fast/1808029,Q38594
"Bible. Luke,--VII, 36",0,a;p--n,,Bible. Luke,http://id.worldcat.org/fast/1892926,Q38604,,,
Bible. Luke,fast,a;p,(OCoLC)fst01892926,,,,Bible. Luke,http://id.worldcat.org/fast/1892926,Q38604
"Digesta--Criticism, Textual",0,a--x,,"Digesta;Criticism, Textual",http://id.worldcat.org/fast/1357225;http://id.worldcat.org/fast/883762,Q39991;Q4282,,,
Catholic Church--Prayers and devotions--French,0,a--v--x,,,,,Catholic Church;Prayers and devotions;French language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/934333,Q310;Q3052;Q4305
Catholic Church--Prayers and devotions--Latin,0,a--v--x,,,,,Catholic Church;Prayers and devotions;Latin language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/993125,Q310;Q3052;Q4170
"Dante Alighieri, 1265-1321",0,a;d,,,,,"Dante Alighieri, 1265-1321",http://id.worldcat.org/fast/29097,Q38639
"Fiske, Willard, 1831-1904",0,a;d,,"Fiske, Willard, 1831-1904",http://id.worldcat.org/fast/1531682,Q39916,,,
Cornell University,0,a,,Cornell University,http://id.worldcat.org/fast/530369,Q39936,,,
"Dante Alighieri, 1265-1321",fast,a;d,(OCoLC)fst00029097,"Dante Alighieri, 1265-1321",http://id.worldcat.org/fast/29097,Q38639,,,
"Fiske, Willard, 1831-1904",fast,a;d,(OCoLC)fst01531682,"Fiske, Willard, 1831-1904",http://id.worldcat.org/fast/1531682,Q39916,,,
Cornell University,fast,a,(OCoLC)fst00530369,Cornell University,http://id.worldcat.org/fast/530369,Q39936,,,
Franciscans,0,a,,,,,Franciscans,http://id.worldcat.org/fast/530004,Q5840
Franciscans,fast,a,(OCoLC)fst00530004,,,,Franciscans,http://id.worldcat.org/fast/530004,Q5840
Aristotle. Metaphysics,0,a;t,,,,,Metaphysics (Aristotle),http://id.worldcat.org/fast/1357149,Q4283
"Bible. John--Criticism, interpretation, etc",0,a;p--x,,"Bible. John;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1696638;http://id.worldcat.org/fast/1411635,Q4214;Q177,,,
Jesus Christ--Passion,0,a--x,,,,,Passion of Jesus Christ,http://id.worldcat.org/fast/1353950,Q4958
"John Chrysostom, Saint, -407",fast,a;c;d,(OCoLC)fst01827247,"John Chrysostom, Saint, -407",http://id.worldcat.org/fast/1827247,Q39919,,,
