title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Risālat al-istiʻārah ... [etc,رسالة الاستعارة ... الخ,,,Risālat al-istiʻārah,Q54333,,
Arabic miscellany,,,,,,Arabic texts,Q12258
Farāʼiḍ al-Sirājīyah ... [etc,فرائض السراجية ... الخ,,,Farāʼiḍ al-Sirājīyah,Q54334,,
Kitāb Pākihī,كتاب باكهى,,,Kitāb Pākihī,Q54335,,
ʻUnwān al-sharaf /,عنوان الشرف /,,,ʻUnwān al-sharaf,Q54336,,
Kitāb ʻUnwān al-sharaf,كتاب عنوان الشرف,ʻUnwān al-sharaf,عنوان الشرف,ʻUnwān al-sharaf,Q54336,,
Arabic and Turkish miscellany,,,,Arabic texts;Turkish texts,Q12258;Q20402,,
al-Durrah al-naḥwīyah fī sharḥ al-Jurrūmīyah ... [etc,الدرة النحوية في شرح الجرومية ... الخ,,,Arabic grammatical text,Q27591,,
Mirʼāt al-muḥaṣṣilīn ... [etc,مرآه المحصلين ... الخ,,,Mirʼāt al-muḥaṣṣilīn,Q54337,,
Bāḥah fī faḍl al-sibāḥah ... [etc,باحة في فضل السباحة ... الخ,Works,اعمال,Works,Q5989,,
Khamsūn nuktah ... [etc,خمسون نكتة ... الخ,,,Khamsūn nuktah,Q54338,,
Hādhihi Ḥāshiyah ʻalá sharḥ al-Mullawī ʻalá matn al-Samarqandīyah ... [etc,هذه حاشية علي شرح الملوي علي متن السمرقندية ... الخ,,,Commentary on the Samarqandīyah,Q54339,,
Matn fī al-fiqh ... [etc,متن في الفقه ... الخ,,,Fiqh,Q48658,,
Collection of Arabic texts,,,,,,Arabic texts,Q12258
Kāfiyah ... [etc,كافية ... الخ,,,Kāfiyah,Q27563,,
Fawāʼid al-Fanārīyah ... [etc,فوائد الفنارية ... الخ,,,Fawāʼid al-Fanārīyah,Q54340,,
Jawhar al-munaḍḍad fī ʻilm al-Khalīl ibn Aḥmad ... [etc,جوهر المنضد في علم الخليل بن احمد ... الخ,,,Jawhar al-munaḍḍad fī ʻilm al-Khalīl ibn Aḥmad,Q54341,,
Maqāmah ... [etc,مقامة ... الخ,,,Maqāmah,Q54342,,
Feraiz] ... [etc,,,,Feraiz,Q54343,,
Risālah fī bayān al-nisab al-muʻtabar bayna al-manāṭiqah ... [etc,رسالة في بيان النسب المعتبر بين المناطقة ... الخ,,,Risālah fī bayān al-nisab al-muʻtabar bayna al-manāṭiqah,Q54344,,
Nayl al-saʻādāt fī ʻilm al-maqūlāt ... [etc,نيل السعادات في علم المقولات ... الخ,,,Nayl al-saʻādāt fī ʻilm al-maqūlāt,Q11904,,
al-Mughrib fī tartīb al-Muʻrib,المغرب في ترتيب المعرب,Mughrib fī tartīb al-Muʻrib,مغرب في ترتيب المعرب,Mughrib fī tartīb al-Muʻrib,Q54345,,
Zubdat al-maʻānī. Khulāṣat al-Zubdah wa-zubdat al-ʻumdah ... [etc.,زبدة المعاني. خلاصة الزبدة وزبدة العمدة,,,Zubdat al-maʻānī,Q54346,,
Majāmiʻ al-ḥaqāʼiq wa-al-qawāʻid wa-jawāmiʻ al-raqāʼiq wa-al-fawāʼid ... [etc,مجامع الحقائق والقواعد وجوامع الرقائق والفوائد ... الخ,,,Majāmiʻ al-ḥaqāʼiq wa-al-qawāʻid wa-jawāmiʻ al-raqāʼiq wa-al-fawāʼid,Q54347,,
Mufarriḥāt ʻalá tafrīḥ al-dhāt ... [etc,مفرحات على تفريح الذات ... الخ,,,Mufarriḥāt ʻalá tafrīḥ al-dhāt,Q54348,,
Sharḥ abyāt al-dawāʼir ... [etc,شرح ابيات الدوائر ... الخ,,,Sharḥ abyāt al-dawāʼir,Q54349,,
"Collection of Arabic texts on law, Arabic, and other topics",,,,Arabic texts,Q12258,,
"Collection of Arabic texts on logic, inflection, and Islamic law",,,,Texts on Islamic law;Logic;Text on inflection,Q12197;Q20450;Q54350,,
"Collection of Arabic texts on grammar, Islamic law, and other topics",,,,Arabic grammatical text;Texts on Islamic law,Q25791;Q12197,,
Dawr al-aʻlá ... [etc,دور الاعلى ... الخ,,,Dawr al-aʻlá,Q54351,,
Commentary on a text on Arabic grammar,,,,Arabic grammatical text,Q25791,,
al-Shāfiyah,,,,Shāfiyah,Q11634,,
Sharḥ al-Shāfiyah,,,,,,Sharḥ al-Shāfiyah,Q11997
Sharḥ Mughnī al-Akrād,,,,Sharḥ Mughnī al-Akrād,Q54352,,
Sharḥ Shudhūr al-dhahab,,,,Sharḥ Shudhūr al-dhahab,Q54353,,
Ṣiḥāḥ al-lughah,,,,Ṣiḥāḥ al-lughah,Q54354,,
Sharḥ Marāḥ al-arwāḥ,,,,Sharḥ Marāḥ al-arwāḥ,Q11639,,
al-Iṣbāḥ ʻalá al-Marāḥ,,,,al-Iṣbāḥ ʻalá al-Marāḥ,Q54355,,
Manaṣṣat al-ʻadhārá fī sharḥ Quṣārá,,,,Manaṣṣat al-ʻadhārá fī sharḥ Quṣārá,Q54356,,
Unqūd al-zawāhir,,,,Unqūd al-zawāhir,Q11978,,
Sharḥ al-Bināʼ,,,,Sharḥ al-Bināʼ,Q54357,,
al-Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,,,,Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,Q12164,,
Hamʻ al-hawāmiʻ fī sharḥ Jamʻ al-jawāmiʻ,,,,Hamʻ al-hawāmiʻ fī sharḥ Jamʻ al-jawāmiʻ,Q54358,,
al-Iqtirāḥ fī ʻilm uṣūl al-naḥw,,,,al-Iqtirāḥ fī ʻilm uṣūl al-naḥw,Q54359,,
Dāʻī al-falāḥ li-mukhabbaʼāt al-Iqtirāḥ,,,,Dāʻī al-falāḥ li-mukhabbaʼāt al-Iqtirāḥ,Q54360,,
al-Ashbāh wa-al-naẓāʼir al-naḥwīyah,,,,al-Ashbāh wa-al-naẓāʼir al-naḥwīyah,Q54361,,
Sharḥ Nihāyat al-bahjah,,,,Sharḥ Nihāyat al-bahjah,Q54362,,
Mīzān al-adab fī lisān al-ʻArab,,,,Mīzān al-adab fī lisān al-ʻArab,Q54363,,
ʻUjālat al-bayān fī sharḥ al-Mīzān,,,,ʻUjālat al-bayān fī sharḥ al-Mīzān,Q54364,,
Natāʼij al-afkār,,,,Natāʼij al-afkār,Q54365,,
Ghāyat al-anẓār sharḥ Natāʼij al-afkār,,,,Ghāyat al-anẓār sharḥ Natāʼij al-afkār,Q54366,,
Sharḥ al-ʻAwāmil al-jadīdah,,,,Sharḥ al-ʻAwāmil al-jadīd,Q11667,,
Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,,,,,,Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,Q11728
Lumaḥ al-masāʼil al-naḥwīyah fī sharḥ al-ʻAwāmil al-Birkawīyah,,,,Lumaḥ al-masāʼil al-naḥwīyah fī sharḥ al-ʻAwāmil al-Birkawīyah,Q54367,,
Iʻrāb al-ʻAwāmil al-jadīdah,,,,Iʻrāb al-ʻAwāmil al-jadīdah,Q54368,,
Kifāyat al-mubtadiʼ fī al-ṣarf,,,,Kifāyat al-mubtadiʼ fī al-ṣarf,Q54369,,
al-Tuḥfah al-ḥamawīyah li-ṭullāb ʻilm al-ʻArabīyah,,,,al-Tuḥfah al-ḥamawīyah li-ṭullāb ʻilm al-ʻArabīyah,Q54370,,
al-Fawāʼid al-bahīyah fī sharḥ al-Fawāʼid al-Ṣamadīyah,,,,al-Fawāʼid al-bahīyah fī sharḥ al-Fawāʼid al-Ṣamadīyah,Q54371,,
Hadīyat al-ṣibyān,,,,Hadīyat al-ṣibyān,Q54372,,
al-Laṭāʼif fī al-naḥw,,,,al-Laṭāʼif fī al-naḥw,Q54373,,
al-Farāʼid al-sanīyah fī al-fawāʼid al-naḥwīyah,,,,al-Farāʼid al-sanīyah fī al-fawāʼid al-naḥwīyah,Q54374,,
Jāmiʻ al-fawāʼid,,,,Jāmiʻ al-favāyid,Q51861,,
Sharḥ al-Manẓūmah al-naḥwīyah,,,,Sharḥ al-Manẓūmah al-naḥwīyah,Q54375,,
Urjūzat al-Āthārī fī ṣināʻat al-kitābah /,ارجوزة الاثاري في صناعة الكتابة /,,,Urjūzat al-Āthārī fī ṣināʻat al-kitābah,Q54376,,
Kitāb Alif bāʼ,کتاب الف با,,,Kitāb Alif bāʼ,Q54377,,
Sharḥ Naẓm Muthallath Quṭrub,,,,Sharḥ Naẓm Muthallath Quṭrub,Q12137,,
Mahāt al-killatayn wa-jalāʼ dhāt al-ḥillatayn,,,,Mahāt al-killatayn wa-jalāʼ dhāt al-ḥillatayn,Q54378,,
Jany al-jannatayn fī tamyīz al-muthannayayn,,,,Jany al-jannatayn fī tamyīz al-muthannayayn,Q54379,,
al-ʻArūḍ al-Andalusī,,,,ʻArūḍ al-Andalusī,Q54380,,
Sharḥ al-ʻArūḍ al-Andalusī,,,,Sharḥ Andalusī fī al-ʻarūḍ,Q11956,,
Kashf al-niqāb,,,,Kashf al-niqāb,Q54381,,
al-Rāmizah al-shāfiyah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah,,,,al-Rāmizah al-shāfiyah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah,Q54382,,
al-ʻUyūn al-ghāmizah ʻalá khabāyā al-Rāmizah,,,,al-ʻUyūn al-ghāmizah ʻalá khabāyā al-Rāmizah,Q54383,,
Sharḥ al-Rāmizah,,,,Sharḥ al-Rāmizah,Q54384,,
Ifṣāḥ al-ʻarūḍ wa-īḍāḥ al-ghumūd,,,,Ifṣāḥ al-ʻarūḍ wa-īḍāḥ al-ghumūd,Q54385,,
al-Taysīr al-dāfiʻ lil-dāhiyah fī taḥṣīl ʻilm al-ʻarūḍ wa-al-qāfiyah,,,,al-Taysīr al-dāfiʻ lil-dāhiyah fī taḥṣīl ʻilm al-ʻarūḍ wa-al-qāfiyah,Q54386,,
Fatḥ al-ghafūr bi-sharḥ Naẓm al-buḥūr,,,,Fatḥ al-ghafūr bi-sharḥ Naẓm al-buḥūr,Q54387,,
al-ḥullah al-ṣāfiyah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah,,,,al-Ḥullah al-ṣāfiyah fī ʻilmay al-ʻarūḍ wa-al-qāfiyah,Q54388,,
al-Maḥāsin al-maqṣūrah ʻalá al-Kharīdah al-maqṣūrah,,,,al-Maḥāsin al-maqṣūrah ʻalá al-Kharīdah al-maqṣūrah,Q54389,,
Mabsūṭ al-kāfī fī al-ʻarūḍ wa-al-qawāfī,,,,Mabsūṭ al-kāfī fī al-ʻarūḍ wa-al-qawāfī,Q54390,,
Muqaddimah fī al-ʻarūḍ wa-al-qawāfī,,,,Muqaddimah fī al-ʻarūḍ wa-al-qawāfī,Q54391,,
Risālah fī al-ʻarūḍ wa-al-qawāfī,,,,Risālah fī al-ʻarūḍ wa-al-qawāfī,Q54392,,
Miftāḥ al-ʻulūm,,,,Sharḥ Miftāḥ al-ʻulūm,Q39781,,
Sharḥ al-qism al-thālith min Miftāḥ al-ʻulūm,,,,Sharḥ al-qism al-thālith min Miftāḥ al-ʻulūm,Q54393,,
al-Miṣbāḥ fī sharḥ al-Miftāḥ,,,,al-Miṣbāḥ fī sharḥ al-Miftāḥ,Q54394,,
ḥāshiyah ʻalá sharḥ al-Jurjānī,,,,Ḥāshiyah ʻalá sharḥ al-Jurjānī,Q54395,,
Sharḥ Miftāḥ al-ʻulūm,,,,Sharḥ Miftāḥ al-ʻulūm,Q39781,,
Talkhīṣ al-Miftāḥ,,,,,,Talkhīṣ al-Miftāḥ,Q12067
al-Īḍāḥ li-Talkhīṣ al-Miftāḥ,,,,al-Īḍāḥ li-Talkhīṣ al-Miftāḥ,Q54396,,
al-Īḍāḥ fī sharḥ al-Īḍāḥ,,,,al-Īḍāḥ fī sharḥ al-Īḍāḥ,Q54397,,
Sharḥ shawāhid al-Īḍāḥ,,,,Sharḥ shawāhid al-Īḍāḥ,Q54398,,
al-Muṭawwal,,,,,,Muṭawwal,Q11858
Ḥāshiyah ʻalá al-Muṭawwal,,,,Ḥāshiyah ʻalá al-Muṭawwal,Q11681,,
Ḥāshiyah ʻalá ḥāshiyat al-Jurjānī,,,,Ḥāshiyah ʻalá ḥāshiyat al-Jurjānī,Q54399,,
Kashf al-rumūz wa-fatḥ bāb al-kunūz,,,,Kashf al-rumūz wa-fatḥ bāb al-kunūz,Q54400,,
