title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Şerh-i Baharistân-i Mevlana Camî,شرح بهارستان مولانا جامي,,,Commentary on Jami,Q54976,,
Şerh-i sübhet ül-ebrâr,شرح سبحة الابرار,,,Şerh-i sübhet ül-ebrâr,Q54977,,
Haza Şerh-i Şemi-yi Divan-i Şahî,هذا شرح شمعي ديوان شاهي,,,Şerh-i Şemi-yi Divan-i Şahî,Q54978,,
Şerh-i Bustan-i Sadi,شرح بستان سعدي,,,Commentary on Saadi,Q54979,,
Şerh-i Hafız /,شرح حافظ /,,,Commentary on Hafez,Q27590,,
Şerh-i Sudi ber Divan-i Hoca Hafız Şirazî,شرح سودي بر ديوان خواجة حافظ شيرازي,,,Commentary on Hafez,Q27590,,
Kitab-i Şerh-i Hafız /,كتباب شرح حافظ /,,,Commentary on Hafez,Q27590,,
Tercüme-yi bab ül-vasâyâ min al-Futuhât,ترجمهء باب الوصايا من الفتوحات,Futūḥāt al-Makkīyah,فتوحات المكية,Al-Futuhat al-Makkiyya,Q54980,,
Divan-i Fuzulî ...,ديوان فضولي ...,,,Divan of Fuzuli,Q18614,,
Hādhā kitāb Fuḍūlī,هذا كتاب فضولي,Divan-i Fuzulî,ديوان فضولي,Divan of Fuzuli,Q18614,,
Divan-i Fuzulî,ديوان فضولي,,,Divan of Fuzuli,Q18614,,
Divan-i Fuzulî-yi Baǧdadî ...,ديوان فضولي بغدادي ...,Divan-i Fuzulî,ديوان فضولي,Divan of Fuzuli,Q18614,,
Gazeliyât-i Fuzulî-yi Baǧdadî,غزليات فضولي بغدادي,,,Diwan,"Q11912",,
Dürret üt-taç,درة التاج,Siyer-i Veysî,سير ويسي,Siyer-i Veysî,Q54981,,
Siyar al-Waysī,سير الويسي,Siyer-i Veysî,سير ويسي,Siyer-i Veysî,Q54981,,
Siyeri-i Veysî,سير ويسي,Siyer-i Veysî,سير ويسي,Siyer-i Veysî,Q54981,,
Dürret üt-taç /,درة التاج / حضرت ويسي,Siyer-i Veysî,سير ويسي,Siyer-i Veysî,Q54981,,
Zeyl-i Siyer-i Veysî,ذيل سير ويسي,,,Zeyl-i Siyer-i Veysî,Q54982,,
Haza'l-kitap Siyer-i Nabi Efendi ...,هذالكتاب سير نابي افندي ...,Zeyl-i Siyer-i Veysî,ذيل سير ويسي,Zeyl-i Siyer-i Veysî,Q54982,,
Zeyl-i Siyer-i Nebevî,ذيل سير نبوي,Zeyl-i Siyer-i Veysî,ذيل سير ويسي,Zeyl-i Siyer-i Veysî,Q54982,,
Tezkiret üş-şuarâ /,تذكرة الشعرا /,,,Tezkiret üş-şuara,Q54983,,
Tezkiret üş-şuarâ,تذكرة الشعرا,,,Tezkiret üş-şuara,Q54983,,
Ahlak-i alâî,اخلاق علائي,,,Ahlak-i alâî,Q54984,,
Fetava-yi Ataiye,فتاوى عطائيه,,,Fatāwá,Q12221,,
al-Fatāwá al-ʻAṭāʼīyah,الفتاوى العطائية,Fetava-yi Ataiye,فتاوى عطائيه,Fetava-yi Ataiye,Q54985,,
