row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032205Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613188Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698254Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145899Z","Āqshihrī, ʻAbd Allāh ibn Walī al-Dīn, 18th cent",author,,,ʻAbd Allāh ibn Walī al-Dīn Āqshihrī,human,Q129951474,DSNAME6504,Q54135,,,,
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032211Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613195Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698257Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145906Z","Manīnī, Aḥmad ibn ʻAlī, 1678 or 1679-1758 or 1759",author,,,Aḥmad Ibn-ʿAlī al-Manīnī,human,Q105277177,DSNAME6505,Q54136,,,,
35,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032215Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613202Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698263Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145911Z","Nithārī, Muḥammad ibn ʻAbd Allāh, -1774 or 1775",author,,,Muḥammad ibn ʻAbd Allāh Nithārī,human,Q129951475,DSNAME6506,Q54137,,,,
36,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032223Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613212Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698267Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145915Z","Kayyālī, Muḥammad Ṭāhir ibn ʻAbd al-Qādir, 19th cent",author,,,Muḥammad Ṭāhir ibn ʻAbd al-Qādir Kayyālī,human,Q129951477,DSNAME6507,Q54138,,,,
37,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032227Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613218Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698270Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145923Z","Āthārī, Shaʻbān ibn Muḥammad, 1364-1425",author,آثاري، شعبان بن محمد، 1364-1425,,Shaʻbān al-āthārī,human,Q117089825,DSNAME6508,Q54139,,,,
38,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032232Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613224Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698275Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145928Z","Abū al-Ḥajjāj al-Balawī, Yūsuf ibn Muḥammad, 1134 or 1135-1207 or 1208",author,ابو الحجاج البلوي، يوسف بن محمد، 1134 or 1135-1207 or 1208,,Abu al-Hajjaj al-Balawi,human,Q107344255,DSNAME6509,Q54140,,,,
39,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032241Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613241Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698279Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145932Z","Lakhmī, Ibrāhīm ibn Hibat Allāh, d. 1321",author,,,Ibrāhīm ibn Hibat Allāh Lakhmī,human,Q129951479,DSNAME6510,Q54141,,,,
40,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032246Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613248Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698282Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145946Z","Ibn al-Naḥḥās, Muḥammad ibn Ibrāhīm, 1230-1299",author,,,Muḥammad ibn Ibrāhīm Ibn al-Naḥḥās,human,Q129951481,DSNAME6511,Q54142,,,,
41,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032250Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613254Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698289Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145952Z","Muḥibbī, Muḥammad Amīn ibn Faḍl Allāh, 1651-1699",author,,,Muhammad al-Muhibbi,human,Q12240239,DSNAME6512,Q54143,,,,
42,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032259Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613266Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698293Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145956Z","Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229",author,,,Muḥammad ibn Ḥusayn Abū al-Jaysh,human,Q129951483,DSNAME6513,Q54144,,,,
43,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032263Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613273Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698296Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145967Z","Qayṣarī, ʻAbd al-Muḥsin",author,,,ʻAbd al-Muḥsin Qayṣarī,human,Q129951486,DSNAME6514,Q54145,,,,
44,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032377Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613279Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698302Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145971Z","Mūstārī, Maḥmūd ibn Khalīl, d. 1688",author,,,Maḥmūd ibn Khalīl Mūstārī,human,Q129951488,DSNAME6515,Q54146,,,,
45,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032387Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613291Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698306Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145975Z","Rāshid, ʻAbd al-Qādir",author,,,Abd al-Qadir Rashid al-Nasiri,human,Q22934577,DSNAME6516,Q54147,,,,
46,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032392Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613297Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698309Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145983Z","Khazrajī, ʻAbd Allāh ibn ʻUthmān, active 12th century-13th century",author,,,Ḍiyāʾ al-Dīn al-Khazrajī,human,Q126897880,DSNAME6517,Q54148,,,,
47,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032396Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613303Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698314Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145988Z","Damāmīnī, Muḥammad ibn Abī Bakr, 1361 or 1362-1424",author,,,Muḥammad ibn Abī Bakr Damāmīnī,human,Q27263305,DSNAME6518,Q54149,,,,
48,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032404Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613314Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698318Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145992Z","Shaykh al-Bukhārī, Muḥammad ibn Muḥammad, 15th cent",author,,,Muḥammad ibn Muḥammad Shaykh al-Bukhārī,human,Q129951490,DSNAME6519,Q54150,,,,
49,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032409Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613319Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698321Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146Z","Khalīl al-Buṣrawī, Muḥammad ibn Ghars al-Dīn, d. 1484",author,,,Muḥammad ibn Ghars al-Dīn Khalīl al-Buṣrawī,human,Q129951492,DSNAME6520,Q54151,,,,
50,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032417Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613326Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698328Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146019Z","Shāmī, Muḥammad ibn ʻAlī, 13th cent",author,,,Muḥammad ibn ʻAlī Shāmī,human,Q129951494,DSNAME6521,Q54152,,,,
51,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032421Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613339Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698331Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146024Z","Ibn Ibrāhīm, ʻAbd al-Laṭīf ibn ʻAlī",author,,,Muhammad ibn Ibrahim Al ash-Sheikh,human,Q552342,DSNAME6522,Q54153,,,,
52,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032427Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613346Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698335Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146035Z","Sandūbī, Aḥmad ibn ʻAlī, -1686",author,,,Aḥmad ibn ʻAlī Sandūbī,human,Q129951496,DSNAME6523,Q54154,,,,
53,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032438Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613352Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698342Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146039Z","Ḥalabī, Ibrāhīm ibn Muṣṭafá, -1776",author,,,Ibrāhīm ibn Muṣṭafá Ḥalabī,human,Q129951497,DSNAME6524,Q54155,,,,
54,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032443Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613362Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698346Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146044Z","Tāzī, Muḥammad ibn Aḥmad, 18th/19th cent",author,,,Muḥammad ibn Aḥmad Tāzī,human,Q129951499,DSNAME6525,Q54156,,,,
55,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032447Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.613369Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698349Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.146058Z","Dahhān, Aḥmad ibn Asʻad, 19th cent",author,,,Aḥmad ibn Asʻad Dahhān,human,Q129951501,DSNAME6526,Q54157,,,,
