row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
214,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414628Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090092Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124240Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593519Z","Bahārī, Hidāyat Allāh ibn Muḥibb Allāh",author,بهاري، هداية الله بن محب الله,,Hidāyat Allāh ibn Muḥibb Allāh Bahārī,human,Q129453218,,,,
215,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414636Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090100Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124243Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593526Z","Dihlawī, ʻAbd al-ʻAzīz ibn Aḥmad, 1746 or 1747-1823 or 1824",author,,http://id.loc.gov/authorities/names/nr90021765,,,,human,Shah Abdul Aziz,Q7461226,Q12463
216,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414644Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090111Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124247Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593538Z","Sām Mīrzā, 1517-1576 or 1577",author,سام مىرزا,,Sam Mirza,human,Q6410269,,,,
217,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414654Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090130Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124249Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593545Z","Abū al-Ḥusayn Uzjandī, ʻAlī ibn Abī Naṣr",author,ابو الحسين اوزجندي، علي بن ابي نصر,,ʻAlī ibn Abī Naṣr Abū al-Ḥusayn Uzjandī,human,Q129453221,,,,
218,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414669Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090139Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124252Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593552Z","Dihlawī, ʻAbd al-ʻAzīz ibn Aḥmad, 1746 or 1747-1823 or 1824",author,دهلوى، عبد العزىز بن احمد، 1746 or 7-1823 or 4,http://id.loc.gov/authorities/names/nr90021765,,,,human,Shah Abdul Aziz,Q7461226,Q12463
219,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414677Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090154Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124255Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593563Z","Hoe, Robert, 1839-1909",former owner,,,,,,human,Robert Hoe III,Q3663034,Q438
220,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414687Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090167Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124257Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593571Z","Jones, Herschel V. 1861-1928",former owner,,,,,,human,Herschel V. Jones,Q15485383,Q876
221,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414695Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090175Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124264Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593579Z","Kane, Grenville, 1854-1943",former owner,,http://id.loc.gov/authorities/names/no2001073978(uri) http://id.loc.gov/authorities/names/no2001073978(uri) http://viaf.org/viaf/sourceID/LC%7cno2001073978,,,,human,Grenville Kane,Q94356741,Q12820
222,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414703Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090192Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124267Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593594Z","Ḥamd Allāh Mustawfī Qazvīnī, active 1330-1340",author,حمد الله مصطوفى قزوىنى,,Hamdallah Mustawfi,human,Q738649,,,,
223,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414716Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090205Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124269Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593601Z","Falakī, Muḥammad al-Zinātī",author,فلکى، محمد الزناتى,,Muḥammad al-Zinātī Falakī,human,Q129453223,,,,
