row_index,workflow_history,name_as_recorded,recon-name,name,role,authorized_label_add,instance_of_add,structured_value_add,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184624Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694329Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146975Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939958Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317977Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658859Z","Allard, Joseph-Félix",,,former owner,Joseph-Félix Allard,human,Q116785090,,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184631Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694336Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851808Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147038Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939970Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317987Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658862Z","Ambrose, Saint, Bishop of Milan, -397",,,author,,,,,,human,Ambrose,Q43689
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184696Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694343Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851818Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147050Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939975Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318015Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658867Z","Andrea S., active 17th century","Andrea S., active 17th century",Andrea S.,former owner,"Andrea S., active 17th century",human,Q123274724,,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184705Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694359Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851824Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147056Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939982Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318036Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658870Z","Andrews, William Loring, 1837-1920",,,former owner,William Loring Andrews,human,Q56000453,,,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184712Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694365Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851827Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147069Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939994Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318046Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658873Z",Antiquarian Books of Boston,,Antiquarian Books of Boston,former owner,Antiquarian Books of Boston,organization,Q123285050,,,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184732Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694373Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851833Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147075Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939999Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318062Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658879Z","Antonio, di Niccolò di Lorenzo di Domenico, 1445-1527",,,illuminator,Antonio di Niccolò di Lorenzo di Domenico,human,Q104804731,,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184738Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694394Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851841Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147084Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940006Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318078Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658887Z",Art ancien S.A,,,former owner,Art ancien S.A.,organization,Q120869216,,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184747Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694401Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851846Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147094Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940018Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318089Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658890Z","Ascherson, C. S. 1877-1945","Ascherson, C. S. 1877-1945",Charles Stephen Ascherson,former owner,Charles Stephen Ascherson,human,Q51376234,,,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184751Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694408Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851850Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147099Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940026Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318103Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658894Z","Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",,,former owner,,,,,,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184756Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694419Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851860Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.147104Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.940031Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.318118Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658897Z","Augustine, Saint, Bishop of Hippo",,,author,,,,,,human,Augustine of Hippo,Q8018
