row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In French,fre,,,French,Q150
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Italian,ita,,,Italian,Q652
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Italian with some Latin,ita;it;lat,Italian;Latin,Q652;Q397,,
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Latin,lat,,,Latin,Q397
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Latin,|||;lat,,,Latin,Q397
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Latin and French,lat;fre,Latin;French,Q397;Q150,,
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Latin and Italian,lat;ita,,,Latin;Italian,Q397;Q652
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z","In Latin, with some French",lat,Latin;French,Q397;Q150,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z",In Middle English,enm,,,Middle English,Q36395
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:27:23.347817400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:28:01.262020400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:29:22.828592100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:29:39.841936700Z","Language: Latin, English, and Anglo-Norman",mul;lat;eng;fre,Latin;English;Anglo-Norman,Q397;Q1860;Q35214,,
