subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
France. Marine,a;b,0,,France. Marine,http://id.worldcat.org/fast/572933,,
"Lamoignon de Basville, M. de (Nicolas), 1648-1724.",a;c;q;d,0,,"Lamoignon de Basville, M. de (Nicolas), 1648-1724",http://id.worldcat.org/fast/195069,,
