row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Armenia,,,Armenia,http://vocab.getty.edu/tgn/7006651
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z","Astorga, Spain",Astorga;Spain,http://vocab.getty.edu/tgn/7007313;http://vocab.getty.edu/tgn/1000095,,
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Austria,,,Austria,http://vocab.getty.edu/tgn/1000062
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Bamberg,Bamberg,http://vocab.getty.edu/tgn/7004325,,
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Barcelona,Barcelona,http://vocab.getty.edu/tgn/7007426,,
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Belgium,,,Belgium,http://vocab.getty.edu/tgn/1000063
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Bobbio,Bobbio,http://vocab.getty.edu/tgn/77004992,,
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Bologna,,,Bologna,http://vocab.getty.edu/tgn/7004847
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z","Bologna, Italy",,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Bruges,Bruges,http://vocab.getty.edu/tgn/7007867,,
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Carpi,Carpi,http://vocab.getty.edu/tgn/7004950,,
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Catalonia,,,Catalonia,http://vocab.getty.edu/tgn/7030216
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Delft,Delft,http://vocab.getty.edu/tgn/7006804,,
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",England,,,England,http://vocab.getty.edu/tgn/7002445
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z","England, ca. 1330",England,http://vocab.getty.edu/tgn/7002445,,
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Ferrara,,,Ferrara,http://vocab.getty.edu/tgn/7004264
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Flanders,,,Flanders,http://vocab.getty.edu/tgn/7024097
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Florence,,,Florence,http://vocab.getty.edu/tgn/7000457
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",France,,,France,http://vocab.getty.edu/tgn/1000070
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",France or Belgium,,,France;Belgium,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000063
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",France or Flanders,,,France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",France or Germany,,,France;Germany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7000084
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Germany,,,Germany,http://vocab.getty.edu/tgn/7000084
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Germany or Austria,,,Germany;Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/1000062
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Germany or England,Germany;England,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7002445,,
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Ghent,Ghent,http://vocab.getty.edu/tgn/7007887,,
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Granada,,,Granada,http://vocab.getty.edu/tgn/7007703
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Greece,,,Greece,http://vocab.getty.edu/tgn/1000074
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Iran,,,Iran,http://vocab.getty.edu/tgn/7000231
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-03T15:59:12.953775600Z | PLACE RECON, STEP 3: START RECON 2023-11-03T15:59:44.994906800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-03T16:00:47.412799400Z | PLACE RECON, STEP 6: FINALIZED 2023-11-03T16:01:19.067907300Z",Italy,,,Italy,http://vocab.getty.edu/tgn/1000080
