row_index,workflow_history,name_as_recorded,role,name_agr,authorized_label_add,instance_of_add,structured_value_add,source_authority_uri,org,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901416Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894676Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316229Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662727Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156517Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802359Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366188Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253296Z","Bingley, Wil",former owner,,William Bingley,human,Q110226271,,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901419Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894684Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316234Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662733Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156526Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802362Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366195Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253301Z","Blacking, W. H. R",former owner,,"Blacking, W. H. R",human,Q123378459,,,human,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901423Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894688Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316237Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662736Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156529Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802366Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366198Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253308Z","Blomefield, Francis",former owner,,Francis Blomefield,human,Q5480266,,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901425Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894691Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316253Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662745Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156537Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802369Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366205Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253312Z","Bonfils, Immanuel ben Jacob, active 14th century",author,,,,,,,human,Immanuel Bonfils,Q354517
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901428Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894705Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316258Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662752Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156556Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802372Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366211Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253317Z","Boswel, a",former owner,,"Boswel, a",human,Q123378460,,,human,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901434Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894709Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316263Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662756Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156559Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802376Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366217Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253329Z","Bowden, A.J",former owner,,"Bowden, A.J",human,Q123378461,,,human,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901436Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894713Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316269Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662762Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156572Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802379Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366222Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253334Z","Bromley, William",former owner,,"Bromley, William",human,Q123378462,,,human,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901439Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894721Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316273Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662772Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156580Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802382Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366231Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253338Z","Brooks, Dr",former owner,,"Brooks, Dr",human,Q123378463,,,human,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901443Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894726Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316280Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662781Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156583Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802389Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366240Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253349Z",Brudenell family,former owner,,,,,,,human,Brudenell family,Q121464921
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901445Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894729Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316291Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662784Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156587Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802392Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366248Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253354Z","Brudenell, G. L. T",former owner,,"George Brudenell, 3rd Earl of Cardigan",human,Q5537353,,,,,
