row_index,workflow_history,subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
11,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Kings and rulers.,a,0,,,,Kings and rulers,http://id.worldcat.org/fast/987694
12,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Law.,a,0,,,,Law,http://id.worldcat.org/fast/993678
13,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Mathematics.,a,0,,,,Mathematics,http://id.worldcat.org/fast/1012163
14,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Medicine.,a,0,,,,Medicine,http://id.worldcat.org/fast/1014893
15,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Mediterranean Sea.,a,0,,,,Mediterranean Sea,http://id.worldcat.org/fast/1239753
16,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Military weapons.,a,0,,Military weapons,http://id.worldcat.org/fast/1021577,,
17,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Monasticism and religious orders.,a,0,,,,Monasticism and religious orders,http://id.worldcat.org/fast/1025128
18,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Predestination.,a,0,,Predestination,http://id.worldcat.org/fast/1075012,,
19,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Saints.,a,0,,,,Saints,http://id.worldcat.org/fast/1103658
20,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-16T15:59:05.005399500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-11-16T15:59:18.381594400Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:01:10.744585400Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-11-16T16:02:33.444064300Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:02:54.610335200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-11-16T16:03:24.872947Z | KNOWN SUBJECT RECON APPLIED 2023-11-16T16:03:45.719003600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-11-16T16:04:14.907297700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-11-16T16:04:44.485295800Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-11-16T16:05:10.604964100Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-11-16T16:07:52.778786900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-11-16T16:08:28.485702200Z",Trials (Witchcraft)--Early works to 1800.,a--v,0,,Trials (Witchcraft);Early works,http://id.worldcat.org/fast/1156425;http://id.worldcat.org/fast/1411636,,
