row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;ger;lat,eng;ger;lat,English;German;Latin,Q1860;Q188;Q397,,
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre,eng;gre,English;Greek,Q1860;Q9129,,
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre;heb;lat,eng;gre;heb;lat,English;Greek;Hebrew;Latin,Q1860;Q9129;Q9288;Q397,,
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre;lat,eng;gre;lat,,,English;Greek;Latin,Q1860;Q9129;Q397
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;heb,eng;heb,English;Hebrew,Q1860;Q9288,,
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;ita,eng;ita,,,English;Italian,Q1860;Q652
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;ita;lat,eng;ita;lat,,,English;Italian;Latin,Q1860;Q652;Q397
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;lat,eng;lat,,,English;Latin,Q1860;Q397
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;lat;spa,eng;lat;spa,,,English;Latin;Spanish,Q1860;Q397;Q1321
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;spa,eng;spa,,,English;Spanish,Q1860;Q1321
