name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Catholic Church.,author,,,organization,Catholic Church,Q9592
"Leo III, Pope 816 (attr.",author,,,human,Leo III,Q132086
Maximus of Turin,author,,,human,Maximus of Turin,Q1230495
Thomas of Celano,author,,,human,Thomas of Celano,Q354523
