row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.789733500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.566876900Z",Anglo-Norman,,Anglo-Norman,Q35214
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.566876900Z",Anglo-Norman French; Middle English,,Anglo-Norman|Middle English,Q35214|Q36395
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.566876900Z",Anglo-Norman; English; Latin,,Anglo-Norman|English|Latin,Q35214|Q1860|Q397
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.566876900Z",Anglo-Norman; Latin,,Anglo-Norman|Latin,Q35214|Q397
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Anglo-Saxon,,Old English,Q42365
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Anglo-Saxon; Latin,,Old English|Latin,Q42365|Q397
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Arabic,,Arabic,Q13955
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Arabic; Persian,,Arabic|Persian,Q13955|Q9168
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.678387800Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Armenian,,Armenian,Q8785
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-05T16:00:39.790737400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-12-05T16:01:54.679389300Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-12-05T17:12:42.780361200Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-12-05T17:14:25.567873800Z",Catalan,,Catalan,Q7026
