title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_titles,standard_title
Book of Hours for Sarum Use,,,,Book of hours,Book of hours
Book of Hours or Psalter,,,,Book of hours; Psalter,Book of hours; Psalter
"Book of Hours, Psalms from Hours of the Virgin",,,,Book of hours; Psalter,Book of hours; Psalter
Book of hours,,,,Book of hours,Book of hours
"Book of Hours, Use of Rome, Heures Mixtes",,,,Book of hours,Book of hours
"Book of Hours, excerpt Hours of the Cross",,,,Book of hours,Book of hours
"Book of Hours, use of Dol",,,,Book of hours,Book of hours
"Book of Hours, use of Evreux",,,,Book of hours,Book of hours
"Book of Hours, use of Paris",,,,Book of hours,Book of hours
"Book of Hours, use of Poitiers",,,,Book of hours,Book of hours
"Book of Hours, use of Rome",,,,Book of hours,Book of hours
Book of Hours; Miniature,,,,Book of hours,Book of hours
Book of hours,,,,Book of hours,Book of hours
Book of hours calendar leaf,,,,Book of hours,Book of hours
Book of hours fragment,,,,Book of hours,Book of hours
"Book of hours, use of Paris",,,,Book of hours,Book of hours
"Book of hours, use of Rome",,,,Book of hours,Book of hours
"Book of hours, use of Rouen",,,,Book of hours,Book of hours
Breviary,,,,Breviary,Breviary
Breviary for Augustinian use,,,,Breviary,Breviary
Breviary of Elisabeth von Walmden,,,,Breviary,Breviary
Breviary or Sequentiary,,,,Breviary; Sequentiary,Breviary; Sequentiary
"Breviary, Psalter",,,,Breviary; Psalter,Breviary; Psalter
"Breviary, Use of Ghent",,,,Breviary,Breviary
"Breviary, noted",,,,Breviary,Breviary
Britton,,,,Britton,Britton
Bucolica,,,,Bucolics,Bucolics
Bucolics,,,,Bucolics,Bucolics
"Bull of Innocent VIII, 1405",,,,Bull,Bull
Caius Plinius secundus de Morte Valerii M.,,,,De morte Valerii Martialis,De morte Valerii Martialis
Calendar,,,,Calendar,Calendar
Calendar for year 1064 AH,,,,Calendar,Calendar
Calendar leaf from a book of hours or breviary,,,,Calendar,Calendar
Calendar table,,,,Calendar,Calendar
