name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Aristotle,author,,,human,Aristotle,Q868
"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",former owner,,,human,Charles D. Humberd,Q116379117
Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,former owner,,,organization,Engelberg Abbey,Q667880
"Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.",former owner,,,organization,Engelberg Abbey,Q667880
Julianus Pomerius,author,,,human,Julianus Pomerius,Q3189618
"Price in English pounds on the recto, suggesting that the leaf may have been a gift to Conception Abbey from Dr. Charles D. Humberd (1876-1966) of Bernard, Missouri (buried in West Union, Indiana).",former owner,,,human,Charles D. Humberd,Q116379117
