name_as_recorded,role,instance_of,authorized_label,structured_value
"Francis, of Assisi, Saint, 1182-1226.",author,human,Francis of Assisi,Q676555
"Gallo, Paolo, active 16th century-17th century",former owner,human,Paolo Gallo,Q120442561
"Gallus, Abbot of Königssaal, active approximately 1370.",author,human,Gallus,Q55936638
"Gentilis Fulginas, -1348",associated name,human,Gentile da Foligno,Q524048
"Geoffrey, of Monmouth, Bishop of St. Asaph, 1100?-1154",author,human,Geoffrey of Monmouth,Q188344
"Geoffrey, of Monmouth, Bishop of St. Asaph, 1100?-1154.",associated name,human,Geoffrey of Monmouth,Q188344
"Gerson, Jean, 1363-1429.",associated name,human,Jean Gerson,Q281179
"Getz, Milton E., Mrs.",former owner,human,Estelle Getz,Q113015599
"Gibson-Carmichael, Thomas David, Baron Carmichael, 1859-1926",former owner,human,"Thomas Gibson-Carmichael, 1st Baron Carmichael",Q2424246
"Gilbert, de La Porrée, approximately 1075-1154.",associated name,human,Gilbert de La Porrée,Q583119
"Gilbertus, Romanus, active 13th century.",associated name,human,Romanus Gilbertus,Q120442562
"Giles, of Assisi, -1262.",associated name,human,Giles of Assisi,Q981951
"Giovanni d'Andrea, approximately 1270-1348.",associated name,human,Giovanni d'Andrea,Q920858
"Godefridus Viterbiensis, 1125-1202.",author,human,Godfrey of Viterbo,Q614256
"Gregory I, Pope, approximately 540-604",author,human,Gregory I,Q42827
"Gregory I, Pope, approximately 540-604.",associated name,human,Gregory I,Q42827
"Gregory IX, Pope, approximately 1170-1241.",author,human,Gregory IX,Q124831
"Griffolini, Francesco, 1418-1483",associated name,human,Francesco Griffolini,Q33110113
"Grosseteste, Robert, 1175?-1253.",author,human,Robert Grosseteste,Q256541
