row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.882081400Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.415203600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.677051700Z",Added notes in Italian (Volume 1),zxx;ita,Italian,Q652
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.415203600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z",Ancient Greek,grc,Ancient Greek,Q35497
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.415203600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z",Arabic,ara,Arabic,Q13955
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z","Arabic, with commentary in Ottoman Turkish",ara;ota,Arabic|Ottoman Turkish,Q13955|Q36730
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z","Arabic, with some Persian",ara;per,Arabic|Persian,Q13955|Q9168
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z",Aramaic,heb,Aramaic,Q28602
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z",Armenian,arm,Armenian,Q8785
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z","Catalan, with prologue in Latin",cat;lat,Catalan|Latin,Q7026|Q397
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106999900Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z","Condition in Middle English, obligation in Latin, and later summary in English",enm;lat;eng,Middle English|Latin|English,Q36395|Q397|Q1860
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-01-03T21:43:28.883082900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-01-03T21:46:57.997694400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:14.416201500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-01-03T21:48:39.106999900Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-01-03T22:32:17.679050500Z",Dutch,dut,Dutch,Q7411
