row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of_2,authorized_label_2,structured_value_2,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194760Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258420Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514408Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393375Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155718Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149756Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559876Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955908Z",Abtei Himmerod,former owner,,,Himmerod Abbey,organization,Q314998,,,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194763Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258427Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514417Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393385Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155720Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149759Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559881Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955913Z",Abū Ḥātim,author,,,Abu Hatim Muhammad ibn Idris al-Razi,human,Q4670207,,,,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194766Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258454Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514422Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393387Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155725Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149761Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559883Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955943Z","Abūṣīrī, Muḥammad al-Azharī",scribe,ابوصيري، محمد الأزهري،,,"Abūṣīrī, Muḥammad al-Azharī",human,Q124566702,,,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194773Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258463Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514425Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393394Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155727Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150337Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559891Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955948Z","Accademia degli Humoristi (Rome, Italy)",author,,,Accademia degli Umoristi,organization,Q3603986,,,,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194775Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258475Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514432Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393396Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155729Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150364Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559902Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955953Z","Acciaioli, Donato, fra",former owner,,,Donato Acciaioli,human,Q1240697,,,,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194778Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258488Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514435Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393398Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155731Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150367Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559904Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955966Z","Acciaiuoli, Donato, 1429-1478",author,,,Donato Acciaioli,human,Q1240697,,,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194782Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258496Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514438Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393403Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155733Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150372Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559907Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955971Z","Achelley, Thomas",author,,,Thomas Achelley,human,Q18752831,,,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194792Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258508Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514448Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393407Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155735Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150374Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559913Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955975Z","Adams, J. C.",former owner,,,John Couch Adams,human,Q20015,,,,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194795Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258520Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514451Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393409Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155736Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150376Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559915Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955983Z","Addington, Samuel",former owner,,,,,,,,,human,Samuel Addington,Q122949061
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194799Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258529Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514454Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393416Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155738Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150380Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559918Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955987Z","Adye, Willett L",former owner,,,"Adye, Willett L",human,Q124566703,,,,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194801Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258540Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514461Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393420Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155740Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150382Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559929Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955991Z","Aelianus, Tacticus, active 2nd century",author,,,Aelianus Tacticus,human,Q380793,,,,,,
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194804Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258552Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514464Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393423Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155742Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150384Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559931Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955999Z","Aillon, Juan de",former owner,,,"Aillon, Juan de",human,Q124566704,,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194808Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258560Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514472Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393427Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155744Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150388Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559934Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956004Z","Ainhorn, Eusebius",scribe,,,"Ainhorn, Eusebius",human,Q124566705,,,,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194810Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258576Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514476Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393429Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155746Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150390Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559938Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956009Z","Akhī Chalabī, Yūsuf ibn Junayd, -approximately 1497",author,,,"Akhī Chalabī, Yūsuf ibn Junayd, -approximately 1497",human,Q124566706,,,,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194813Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258595Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514479Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393431Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155751Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150392Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559941Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956016Z","Albergati, Nicolò, 1375-1443",former owner,,,Niccolò Albergati,human,QQ717720,,,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194820Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258604Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514485Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393435Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155753Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150397Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559943Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956020Z","Alberti, Leon Battista, 1404-1472",author,,,Leon Battista Alberti,human,Q182046,,,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194822Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258619Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514488Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393448Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155755Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150399Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559955Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956025Z","Albertus, Magnus, Saint, 1193?-1280",author,,,,,,,,,human,Albertus Magnus,Q60059
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194825Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258633Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514491Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393455Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155757Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150402Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559957Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956036Z","Albicans, Juliuscaesar",scribe,,,Antonio Carafa,human,Q601248,,,,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194830Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258641Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514499Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393461Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155760Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150405Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559960Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956041Z","Alciati, Andrea, 1492-1550",author,,,,,,,,,human,Andrea Alciato,Q464471
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194832Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258653Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514503Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393464Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155762Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150407Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559972Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956047Z","Aleotti, Giambattista, 1546-1636",author,,,Giovan Battista Aleotti,human,Q1525800,,,,,,
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194835Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258666Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514506Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393466Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155764Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150409Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559974Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956055Z","Allard, Joseph-Félix",former owner,,,,,,,,,human,Joseph-Félix Allard,Q116785090
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194839Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258675Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514513Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393472Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155767Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150413Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559977Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956059Z","Allen, Henry Ellis",former owner,,,Henry Ellis Allen,human,Q20978682,,,,,,
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194841Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258711Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514516Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393478Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155769Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150415Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559982Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956064Z","Allen, Samuel",former owner,,,Samuel Allen,human,Q75633505,,,,,,
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194844Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258724Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514519Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393480Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155771Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.150417Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559984Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.956070Z","Amboise, George d', cardinal, 1460-1510",former owner,,,Georges d'Amboise,human,Q729743,,,,,,
