row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Dutch,dut,,,Dutch,Q7411
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Dutch and Middle Dutch,dut,Dutch;Middle Dutch,Q7411;Q178806,,
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z","Dutch, with fragment of breviary in Latin",dut,Dutch;Latin,Q7411;Q397,,
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",English,eng,,,English,Q1860
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",English and Latin,eng;lat,English;Latin,Q1860;Q397,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Flemish,dut,,,Flemish,Q34147
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",French,fre,,,French,Q150
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",French (Middle French) and Latin,frm,Middle French;Latin,Q1473289;Q397,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",French and English,fre,French;English,Q150;Q1860,,
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",French and Latin,fre,,,French;Latin,Q150;Q397
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",French with some Latin,fre,French;Latin,Q150;Q397,,
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",German,ger,,,German,Q188
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",German and Latin,ger,German;Latin,Q188;Q397,,
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Gothic,lat,Gothic,Q35722,,
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-10T16:04:16.876300900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-01-10T16:05:52.857653200Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-01-10T16:06:15.865063200Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-01-10T16:06:28.560157900Z",Greek,gre,,,Greek,Q9129
