title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_value_add
Prisciani grammatici viri disertissimi apocrisarii cesariensis urbis Rome constantinopolitane liber primus de arte grammatica incipit,,Institutio de arte grammatica,,,Institutio de arte grammatica
Processional,,,,Processional,
"Processional, Sarum use",,Processional (Salisbury),,,Processional
Prose and poetry,,,,,Prose and poetry
Prose and poetry in English,,,,,Prose and poetry
Psalms in English,,Bible,,,Psalter
Psalter,,,,Psalter,
Psalter,,Bible,,Psalter,
Psalter ; English Psalter Commentary ; Holy Boke Gracia Dei ; and other works,,,,,Psalter
Psalter and prayers,,,,,Psalter
"Psalter, with collects",,,,,Psalter
"Psalter-Hours, use of Sarum",,,,,Psalter-Hours
"Ptolemy, Geographia; cartographic material",,Geographia,,,Geographia
Rationale divinorum officiorum,,,,Rationale divinorum officiorum,
Regiment of princes,,De regimine principum,,,De regimine principum
Regiment of princes,,,,,De regimine principum
Register Brevium,,,,,Register Brevium
Register of writs,,,,Writs,
"Registrum brevium, in Latin and French",,,,,Register Brevium
Regla de la Cofradia de Santa Ana,,,,,Regla de la Cofradia de Santa Ana
"Regularium scilicet communium sententiarum Index ex utroque Iure Canonico ac Civili selectus ordine alphabetico digestus, 1596",,,,,Regularium
Relacion del comercio de las Indias,,,,,Relacion del comercio de las Indias
Relación del descubrimiento y conquista Delos Reinos del Piru...,,,,,Relación del descubrimiento y conquista Delos Reinos
Relatione del stato di Milano,,,,,Relatione del stato di Milano
Religious prose and verse,,,,,Religious prose and verse
Report on Switzerland,,,,,Report on Switzerland
Report on the conclave electing Alexander VII,,,,,Report on the conclave electing Alexander VII
"Ripley (?), alchemical scroll",,,,,Alchemical work
Ritual,,,,,Ritual
Roman de la Rose,,,,Roman de la rose,
"Roman law, fragments",,,,,Roman law
Rosarium,,,,,Rosarium
"Rule and testament of St. Clare of Assisi, in Dutch",,,,,Rule of St. Clare
Sarum manual,,,,,Sarum manual
Satires by Persius and Juvenal,,,,,Satires
Satires of Juvenal and Persius,,,,,Satires
Scale of perfection,,,,,Scale of perfection
Scale of perfection,,Scale of perfection,,,Scale of perfection
Selection from the Chroniques d'Engleterre,,,,,Chroniques d'Engleterre
"Selections by Bede, including his Historia ecclesiastica",,,,,Bede works
"Selections from Cicero, Scriptores historiae Augustae and Petrarch",,,,,Latin miscellany
Selections from De re rustica,,De re rustica,,,De re rustica
Selections from Opera medicinalia,,Opera medicinalia,,,Opera medicinalia
Selections of works against heresy,,,,,Selections of works against heresy
Sermones,,,,Sermons,
Sermons,,,,Sermons,
Sermons and selections from Meditationes de passione Christi,,,,,Meditationes de passione Christi
"Sermons by Ephraem, Syrus, Paulinus Aquileiensis' Liber exhortationis and De vita christiana",,,,,Sermons
"Sermons by Johann Herolt and Peregrinus, de Opole",,,,,Sermons
Speculum Christiani,,,,,Speculum Christiani
Speculum iudiciale,,,,,Speculum iudiciale
Statutes,,,,Statutes,
Statutes and other legal writings,,,,,Statutes
Statutes dating from the reign of Edward III to the reign of Edward IV,,,,,Statutes
Statutes of the Archdeaconry of London,,,,,Statutes
Statutes primarily from the reigns of Henry III and Edward I,,"Laws, etc",,,Laws
"Statutes, roll",,,,,Statutes
Student notebook,,,,,Student notebook
Summa de poenitentia et matrimonio,,Summa de poenitentia et matrimonio,,,Summa de poenitentia et matrimonio
Summa summarum,,,,,Summa summarum
Tenures,,,,,Tenures
The Psalmes of David done into English verse by the most noble & vertuous gent. Sr. Phillipp Sidney Knt.,,Bible,,,Psalms
"The Psalmes of David metaphrased into verse by the noble, learnead & famous gent. Sr. Philip Sidney Knight",,Bible,,,Psalms
The clergy may not hold property,,,,,Miscellany
The nativite of oure lady,,Life of our Lady,,,Life of our Lady
Theological miscellany,,,,Theological miscellany,
"Theotokarion, in Greek",,,,,Theotokarion
Towneley cycle,,Towneley plays,,,Towneley plays
Traicté de peyne,,,,,Traicté de peyne
"Translation of Higden's Polychronicon, along with other translations of works into Middle English",,,,,Polychronicon
Treatise on the government of France under Henry IV,,,,,Treatise on the government of France under Henry IV
"Treatises on civil and canon law, etc.",,,,,Legal treatises
Verbum abbreviatum,,,,,Verbum abbreviatum
Vita Bruti,,Brutus,,,Life of Brutus
Vox clamantis and other Latin poems,,,,,Vox clamantis
Works,,,,,Works
"Works by Aegidius Romanus [i.e. Giles of Rome, Archbishop of Bourges] and Nicholas Trevet",,,,,Works
Works by Augustine and Julianus Pomerius,,,,,Works
Works by Ephraem and othe church fathers,,,,,Works
"Works by Gautier de Metz, Jean de Meun, Geoffroi de Paris and Jacobus de Cessolis",,,,,Works
Works by Thomas Claxton; Robert Cowton; etc.,,,,,Works
Works by and attributed to Ovid,,,,,Works
Wycliffe materials,,,,,Wycliffite miscellany
Wycliffite New Testament,,Bible,,,Wycliffite Bible
