title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Antiphonal,,,,Antiphonary,
Bible,,,,Bible,
"Bible, N.T. Gospels",,,,,Bible;Gospels
"Bible, N.T., Gospels",,,,,Bible;Gospels
Biography of Petrarch,,,,,Biography of Petrarch
"Book of Hours, use of Rome",,,,Book of hours,
Breviary,,,,Breviary,
Civil Law material,,,,,Civil law
Commentary on the Liber Sextusof Boniface VIII,,,,,Commentary on Liber Sextus
Epitaphium Francisci Petrarce,,,,,Epitaphium Francisci Petrarce
Evangeliary,,,,,Evangeliary
Gospel Lectionary,,,,Lectionary,
Gradual,,,,Gradual,
Indenture,,,,Indenture,
Lectionary,,,,Lectionary,
Legendary,,,,,Legendary
"Life of St. Paternianus, Bishop of Fano",,,,,"Life of St. Paternianus, Bishop of Fano"
Liturgical calendar,,,,,Liturgical calendar
Missal,,,,Missal,
Prayer,,,,Prayers,
Prayerbook,,,,Prayerbook,
Processional,,,,Processional,
Psalter,,,,Psalter,
Questo e` il sonnetto ritrovato nel sepulchro di Madonna Laura in questo modo,,,,,Questo e` il sonnetto ritrovato
Saints' lives,,,,Saints' Lives,
Sententiarum libri,,,,,Sententiarum libri
Sermon material,,,,Sermons,
Sermons,,,,Sermons,
Vita Petrarce,,,,,Vita Petrarce
