row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In French and Latin,fre;lat,,,French;Latin,Q150;Q397
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z","In French, Italian, and Latin",fre;ita;lat,,,French;Italian;Latin,Q150;Q652;Q397
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In German,ger,,,German,Q188
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In German and Latin,ger;lat,,,German;Latin,Q188;Q397
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Greek,grc,,,Greek,Q9129
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Hebrew,heb,,,Hebrew,Q9288
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In High German,ger,,,Standard High German,Q279350
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Italian,ita,,,Italian,Q652
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Italian and Latin,ita;lat,,,Italian;Latin,Q652;Q397
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Italian; cover in Latin,ita,,,Italian;Latin,Q652;Q397
