title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
,,Calendarium Romanum generale,,Calendar,
,,Gradual (Pre-Vatican II),,Gradual,
,,Breviary,,Breviary,
,,Gradual,,Gradual,
,,Bible,,Bible,
,,Book of hours,,Book of hours,
,,Missal (Franciscan),,Missal,
,,Breviary (Dominican),,Breviary,
,,Sacramentary,,Sacramentary,
,,Breviary (Franciscan),,Breviary,
,,Missal,,Missal,
16 theological orations,,Orations,,Orations,
"A booke of the coppies; of letters, libells & outher inventions of men",,,,Miscellany,
"A booke of verses made by Sr John Harrington, Knight who dwelt at Bathe",,,,Book of verses,
A breviatt concerning the memorable states and conditions of the Queenes Majesties honorable courts of records; kept in and about the Cittys of London and Westm[inster,,,,Summary of court records,
A caveat for the quene,,,,Discussion of customs abuses,
A choice of emblemes,,,,A choice of emblemes,
"A dialog or conference betwixt the father & childe; trying & sounding the necessitie, utilitie, use and end of afflictions",,,,Treatise on suffering,
A dutifull defence of the lawfull regiment of weomen; devided into three bookes ; the first conteyneth reasons and examples grownded on the lawe of nature ; the second reasons and examples grownded on the ciuile lawes ; the third reasons and examples grownded on the sacred lawes of God with an answer to all false & frivolouse obiections ...,,,,Treatise on women,
"A l[et]tre from a Flemish m[er]chant in England to Don Diego de Mondragon, a Spanish gent; contayning brieflie that which passed betwene the Spanish and English army since the 29 of Julie 1588",,,,Letter about the Spanish Armada,
A learned dialogue of Bernard Palessy concerning waters and fountaines both naturall and artificiall; translated out of French into English / by Thomas Watson,,,,A learned dialogue of Bernard Palessy,
A treatice concerninge the nauie of England; written in anno 1570 by John Mountgomery with an addicion therto made by the said author in an.o 1589,,,,A treatice concerninge the nauie of England,
A treatise concerninge the maintenance of the Nauye,,,,A treatise concerning the maintenance of the Navy,
"A true translation into Englishe of the Litle Office of the blessed Virgine Mary, for the encrease of theire Devotion which understande not the Latine tongue",,Book of hours,,Little Office of the Blessed Virgin Mary,
Abregé cosmographique; divisé en deux livres,,,,Cartographic miscellany,
Actus et consecratio crismatis in cena domini,,Ordo benedicendi oleum catechumenorum et infirmorum et conficiendi chrisma,,Ordo benedicendi oleum catechumenorum et infirmorum et conficiendi chrisma,
Ad illustriss. p. Ven. Paulum Nanum Taruisii Praetorem praefectu[m]que liber,,,,Letters in Latin verse,
Ad praetantissimum patrem et meritissimum Rhavenatem antistitem Philiam Roverellam Angeli Callimachi Siculi; in libellum de oratione,,,,Libellus de oratione dominica,
Address to Süleyman the Magnificent,,,,Address to Suleyman the Magnificent,
Aesop's fables and other secular works in Italian,,Aesop's fables,,Aesop's fables,
Ain Epistel oder ain Sammung die gemacht hat maister Samuel ain Jud oder ain israhelig gepornen von der stat Marrothitan,,Epistola contra Judaeorum errores,,Epistola contra Judaeorum errores,
Ajwibat al-asʼilah al-ithnay ʻashar fī al-ʻulūm al-ithnay ʻashar : wa-hiya al-ṣarf wa-al-naḥw wa-al-fiqh wa-al-ḥadīth wa-al-tafsīr wa-al-kalām wa-al-maʻānī wa-al-bayān wa-ādāb al-baḥth wa-al-manṭiq wa-al-ḥikmah wa-al-hayʼah / li-Ibn Abī Bakr al-Kurdī,أجوبة الأسئلة الإثني عشر في العلوم الإثني عشر : وهي الصرف والنحو والفقه والحديث والتفسير والكلام والمعاني والبيان وآداب البحث والمنطق والحكمة والهيئة / لابن أبي بكر الكردي,,,Ajwibat al-asʼilah al-ithnay ʻashar fī al-ʻulūm al-ithnay ʻashar,
Alciatis Gaietano .s.,,,,Verse,
Alexandreidos libri decem,,Alexandreis,,Alexandreis,
Alfabeto di lettere maiuscole ecclesiastiche /; di Gio. Batista Bini,,,,Calligraphic sample,
"Allusioni, imprese, et emblemi sopra l'arme della Santità Gregorio Papa XIII con i suoi motti, figure, et argomenti in verso distinti in XVII titoli",,,,Miscellany,
"Anicii Severini Boecii, viri consolatorii de philosophica (sic) consolatione",,De consolatione philosophiae,,De consolatione philosophiae,
Aniṭkārikāḥ,,,,Aniṭkārikāḥ,
Anthology of Latin humanistic poetry,,,,Latin humanistic poetry,
Anthology of devotional prose and verse,,,,Devotionals,
Antiphonal,,Antiphonary,,,Antiphonary
Antiphonal,,Antiphonal,,,Antiphonary
Antiphonary,,,,,Antiphonary
Antiphonary,,Antiphonary,,,Antiphonary
Antiphonary (Ambrosian rite),,Antiphonary,,Antiphonary,
"Antiphonary (Ambrosian rite), summer part",,Antiphonary,,Antiphonary,
"Antiphonary, Dominican use",,Antiphonary,,,Antiphonary
