title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Ḥāwī,الحاوي,Ḥāwī al-ṣaghīr,حاوي الصغير,Ḥāwī al-ṣaghīr,Q11631,,
Ḥāshiyah al-mawlá al-ʻallāmah Saʻd al-Dīn ʻalá al-ʻAḍud,حاشية المولى العلامة سعد الدين على العضد,,,Texts on Islamic law,Q12197,,
Kitāb al-Mīzān fī uṣūl al-fiqh,كتاب الميزان في اصول الفقه,,,Text on jurisprudence,Q64062,,
Fatāwá /,فتاوى /,,,,,Fatāwá,Q12221
al-Dībāj al-mudhahhab fī aḥkām al-madhhab,الديباج المذهب في احكام المذهب,Dībāj al-mudhahhab fī aḥkām al-madhhab,ديباج المذهب في احكام المذهب,Texts on Islamic law,Q12197,,
Tawḍīḥ al-maqāl fī al-radd ʻalá man ankara al-akhdh min al-liḥiyah wa-al-iktiḥāl,تضيح المقال في الرد على من انكر الاخذ من اللحية واكتحال,,,Texts on Islamic law,Q12197,,
Risālah fī afḍalīyat Amīr al-Muʼminīn ; Risālah fī rafʻ al-yadayn fī al-qunūt ... [etc.,رسالة في افضلية امير المؤمنين ؛ رسالة في رفع اليدين في القنوت ... الخ,Works,اعمال,Works,Q5989,,
al-Ghāyah al-quṣwá fī dirāyat al-fatwá,الغاية القصوى في دراية الفتوى,,,Texts on Islamic law,Q12197,,
al-Sabʻ al-shidād,السبع الشداد,Sabʻ al-shidād,,Texts on Islamic law,Q12197,,
Extracts on ritual purity,,,,Texts on Islamic law,Q12197,,
Arabic text on fiqh,,,,Text on jurisprudence,Q64062,,
Mukhtār fī al-fiqh,مختار في الفقه,,,Text on jurisprudence,Q64062,,
Two Arabic texts,,,,Arabic texts,Q12258,,
Incomplete Arabic text on Islamic law,,,,Texts on Islamic law,Q12197,,
Section from a manual on the science of household administration,,,,Texts on Islamic law,Q12197,,
Taʻlīqāt al-fāḍil Ḥusayn al-Khalkhālī ʻalá al-Ḥawāshī al-Sharīfīyah ʻalá al-Sharḥ al-ʻAḍudī ʻalá Mukhtaṣar al-Uṣūl,تعليقات الفاضل حسين الخلخالي على الحواشي الشريفية على الشرح العضدي على مختصر الاصول,,,Texts on Islamic law,Q12197,,
al-Juzʾ al-thālith min Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj /,,Tuḥfat al-muḥtāj bi-sharḥ al-Minhāj,,Texts on Islamic law,Q12197,,
Arabic and Ottoman Turkish miscellany,,,,Arabic texts|Ottoman Turkish texts,Q12258|,,
Taqrīrāt ʻalá Qiṣṣat al-isrāʻ wa-al-miʻrāj lil-Madābighī ... [etc,تقريرات على قصة الاسراع والمعراج للمدابغي ... الخ,,,Texts on Islamic law,Q12197,,
Fatāwá ... [etc,فتاوى ... الخ,,,,,Fatāwá,Q12221
Fragment from al-Mukhtaṣar al-kabīr,,Mukhtaṣar al-kabīr fī al-fiqh,مختصر الكبير في الفقه,Text on jurisprudence,Q64062,,
Rasāʼil al-Murtaḍá,رسائل المرتضى,Works,,Works,Q5989,,
Sharḥ Mukhtaṣar Khalīl,شرح مختصر خليل,,,Sharḥ Mukhtaṣar Khalīl,Q103548,,
Kitāb al-Ashbāh wa-al-naẓāʼir fī al-fiqh al-Shāfiʻī /,كتاب الاشباه والنظائر في الفقه الشافعي /,Ashbāh wa-al-naẓāʼir fī al-fiqh al-Shāfiʻī,اشباه والنظائر في الفقه الشافعي,Text on jurisprudence,Q64062,,
Kitāb Kashf al-asrār ʻammā khafiya min al-afkār /,كتاب كشف الاسرار عما خفي من الافكار /,Kashf al-asrār ʻammā khafiya ʻan al-afkār,كشف الاسرار عما خفي عن الافكار,Kashf al-asrār ʻammā khafiya ʻan al-afkār,Q11793,,
Sharḥ al-Raḥbīyah ... [etc,شرح الرحبية ... الخ,,,Texts on Islamic law,Q12197,,
Faṣl fī al-ẓihār ... [etc,فصل في الظهار ... الخ,,,Texts on Islamic law,Q12197,,
Ī̄ḍāḥ al-masālik fī qawāʻid al-Imām Abī ʻAbd Allāh Mālik ... [etc,ايضاح المسالك في قواعد الامام ابي عبد الله مالك ... الخ,,,Texts on Islamic law,Q12197,,
Risālah fī faḍl Ramaḍān ... [etc,رسالة في فضل رمضان ... الخ,,,Texts on Islamic law,Q12197,,
Hādhā al-juzʼ al-awwal min Ḥāshiyat al-Shaykh al-Dasūqī ʻalá Sharḥ al-Shaykh al-Dardīr al-kabīr,هذا الجزء الاول من حاشية الشيخ الدسوقي على شرح الدردير الكبير,Ḥāshiyat al-Shaykh al-Dasūqī ʻalá Sharḥ al-Shaykh al-Dardīr al-kabīr,حاشية الشيخ الدسوقي على شرح الشيخ الدردير الكبير,Texts on Islamic law,Q12197,,
Ḥāshiyah ʻalá Sharḥ al-Mullawī ʻalá al-Sullam,حاشية على شرح الملوى على السلم,,,Texts on Islamic law,Q12197,,
Qawāʻid Shahīd,قواعد شهيد,Qawāʻid wa-al-fawāʼid,قواعد والفوائد,Qawāʻid wa-al-fawāʼid,Q39508,,
