name_as_recorded,role,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Zarāwī, Muḥammad ibn Maḥmūd",author,,,,,,,,,,
"Khalkhālī, Ḥusayn al-Ḥusaynī, -1605",author,,,,,,,human,Ḥusayn al-Ḥusaynī Khalkhālī,Q131398924,Q68411
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,http://id.loc.gov/authorities/names/n82165741,,,,,,human,Ibn Hajar al-Haytami,Q3147445,Q12334
"Ibn ʻAbd al-Ḥakam, ʻAbd Allāh, -829",author,,human,ʻAbd Allāh ibn ʻAbd al-Ḥakam,Q12223514,DSNAME8746,Q103589,,,,
"Sharīf al-Murtaḍá, ʻAlam al-Hudá ʻAlī ibn al-Ḥusayn, 966-1044 or 1045",author,,,,,,,human,Sharif al-Murtadha,Q130169,Q101358
"Suyūṭī, 1445-1505",author,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
"Ibn al-ʻImād al-Aqfahsī, Aḥmad, approximately 1349-1405",author,http://id.loc.gov/authorities/names/nr91043779,,,,,,human,Aḥmad Ibn al-ʻImād al-Aqfahsī,Q6537116,Q12304
"Dasūqī, Muḥammad ibn Aḥmad ibn ʻArafah, -1815",author,http://id.loc.gov/authorities/names/n85219737,,,,,,human,Ad-Desouki,Q16858064,Q12502
"Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792",author,http://id.loc.gov/authorities/names/n85091885,,,,,,human,Muḥammad ibn ʻAlī Ṣabbān,Q122946988,Q12495
"Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 1334-1380",author,,,,,,,human,Muhammad Jamaluddin al-Makki al-Amili,Q4117198,Q41655
"Baʻlī, ʻAbd al-Raḥmān ibn ʻAbd Allāh, 1698 or 1699-1778 or 1779",author,,human,ʻAbd al-Raḥmān ibn ʻAbd Allāh Baʻlī,Q20411198,DSNAME8747,Q103590,,,,
"Ibn al-ʻIrāqī, Aḥmad ibn ʻAbd al-Raḥīm, 1361-1423",author,http://id.loc.gov/authorities/names/nr90017336,,,,,,human,Abū Zurʻah al-ʻIrāqī,Q12251239,Q12491
"Murtaḍá al-Zabīdī, Muḥammad ibn Muḥammad, 1732 or 1733-1791",author,,,,,,,human,Murtaḍá al-Zabīdī,Q4120098,Q12266
"Kuraydī, Aḥmad ibn ḥusayn, 18th cent",author,,,,,,,,,,
"Jabartī, Ḥasan ibn Ibrāhīm, 1698 or 1699-1774?",author,,human,Hassan al-Jabarti,Q5679896,DSNAME1843,Q12373,,,,
"Badawī, Aḥmad, 1200?-1276",author,,human,Ahmad al-Badawi,Q2485411,DSNAME6974,Q55383,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413",author,,,,,,,human,Ali ibn Mohammed al-Jurjani,Q3063378,Q12280
"Jaʻbarī, Ṣāliḥ ibn Thāmir, -1306 or 1307",author,,human,Ṣāliḥ ibn Thāmir Jaʻbarī,Q55903097,DSNAME8748,Q103591,,,,
"Ibn Bābā Jūk, Aḥmad ibn Ibrāhīm, active 13th century",scribe,,,,,,,,,,
"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423-",author,,,,,,,human,Sibt al-Maridini,Q7507290,Q12506
"Simillāwī, ʻAbd al-Muʻṭī ibn Sālim, -1715",author,,,,,,,human,ʻAbd al-Muʻṭī ibn Sālim Simillāwī,Q122947966,Q12324
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,http://id.loc.gov/authorities/names/n82165741,,,,,,human,Ibn Hajar al-Haytami,Q3147445,Q12334
"Bāqīs, Aḥmad ibn Muḥsin, active 18th century",scribe,,,,,,,,,,
"Qaramānī, Muṣṭafá ibn Zakarīyā ibn Aydughmush, -1406",author,,,,,,,human,Muṣṭafá ibn Zakarīyā ibn Aydughmush Qaramānī,Q124566922,Q41545
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,,,,,,human,Abu al-Layth al-Samarqandi,Q938348,Q12470
"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688",author,,,,,,,human,Abd-al-Baqi al-Zurqani,Q4664516,Q41903
"Ibn al-Qāʼānī, Manṣūr ibn Aḥmad, -1373 or 1374",author,,,,,,,,,,
"Ushmūnī, ʻAlī ibn Muḥammad, 1435-1494 or 1495",scribe,,,,,,,human,ʻAli ibn Muhammad Ushmuni,Q27655542,Q54273
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,,,,,,human,Abu al-Layth al-Samarqandi,Q938348,Q12470
"Kākī, Muḥammad ibn Muḥammad, -1348 or 1349",author,,,,,,,human,al-Kākī,Q125099339,Q63941
"Janājī, Jaʻfar ibn Khaḍir, 1743 or 1744-1811 or 1812",author,,human,Jaʻfar ibn Khaḍir Janājī,Q135441842,DSNAME8749,Q103592,,,,
"Qummī, Abū al-Qāsim, -1816",author,,,,,,,human,Abu al-Qasim Qomi,Q6400246,Q42710
"Qummī, Abū al-Qāsim, d. 1816",author,,,,,,,human,Abu al-Qasim Qomi,Q6400246,Q42710
"Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559",author,,,,,,,human,Zayn al-Din al-Juba'i al'Amili,Q4120058,Q40353
"Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559",author,,,,,,,human,Zayn al-Din al-Juba'i al'Amili,Q4120058,Q40353
"Ibn Zayn al-Dīn, ʻAlī ibn Muḥammad, approximately 1604-1691 or 1692",author,,human,ʿAlī ibn Muḥammad ibn al-Ḥasan ibn Zayn al-Dīn al-ʿĀmilī,Q20418561,DSNAME8750,Q103593,,,,
"Ibn Zayn al-Dīn, ʻAlī ibn Muḥammad, approximately 1604-1691 or 1692",author,,human,ʿAlī ibn Muḥammad ibn al-Ḥasan ibn Zayn al-Dīn al-ʿĀmilī,Q20418561,DSNAME8750,Q103593,,,,
"Khvānsārī, Jamāl al-Dīn, -1713?",author,,human,Jamāl al-Dīn Khvānsārī,Q135441843,DSNAME8751,Q103594,,,,
"Khuwānsārī, Muḥammad ibn Ḥusayn, d. 1713",author,,,,,,,,,,
"Kilbāsī, Muḥammad Mahdī ibn Muḥammad Ibrāhīm, -1875 or 1876",author,,human,Muḥammad Mahdī ibn Muḥammad Ibrāhīm Kilbāsī,Q135441844,DSNAME8752,Q103595,,,,
"Ṭabāṭabāʼī, ʻAlī ibn Muḥammad, 1748-approximately 1816",author,,human,ʻAlī ibn Muḥammad ʻAlī al-Ṭabāṭabāʼī,Q129676428,DSNAME8753,Q103596,,,,
"ʻIjlī, Muḥammad ibn Idrīs, -1201?",author,,,,,,,human,Muḥammad ibn Manṣūr al-Ḥillī,Q6419135,Q101378
"Ibn al-Farrāʼ, Abū Yaʻlá Muḥammad ibn al-Ḥusayn, 990-1066",author,,human,Abu Ya'la,Q6534226,DSNAME8754,Q103597,,,,
"Kākī, Muḥammad ibn Muḥammad, -1348 or 1349",author,,,,,,,human,al-Kākī,Q125099339,Q63941
"Ibn al-ʻImād al-Aqfahsī, Aḥmad, approximately 1349-1405",author,http://id.loc.gov/authorities/names/nr91043779,,,,,,human,Aḥmad Ibn al-ʻImād al-Aqfahsī,Q6537116,Q12304
"Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?",author,,human,Shaykh Tusi,Q4116347,DSNAME7510,Q67796,,,,
"Isbījābī, Aḥmad ibn Manṣūr, -approximately 1087",author,,,,,,,human,Aḥmad ibn Manṣūr Isbījābī,Q31301712,Q63991
"Qazwīnī, Khalīl ibn al-Ghāzī, 1592 or 1593-1678 or 1679",author,,,,,,,human,Khalīl ibn al-Ghāzī Qazwīnī,Q129453305,Q49146
"Tūnī, ʻAbd Allāh ibn Muḥammad, -1660 or 1661",author,,human,ʻAbd Allāh ibn Muḥammad Tūnī,Q135441845,DSNAME8755,Q103598,,,,
"Riḍawī, Muḥammad ibn Muḥammad Bāqir",author,,human,Muḥammad ibn Muḥammad Bāqir Riḍawī,Q135441846,DSNAME8756,Q103599,,,,
"Riḍawī, Muḥammad ibn Muḥammad Bāqir",author,,,,,,,,,,
"Maḥallī, Jalāl al-Dīn Muḥammad ibn Aḥmad, 1389-1459",author,,,,,,,human,Jalaluddin al-Mahalli,Q6758211,Q27965
"Qalyūbī, Shihāb al-Dīn Aḥmad ibn Aḥmad, -1659",author,,,,,,,human,Syihabuddin al-Qaliyubi,Q16123954,Q12394
"Mujāhid, Muḥammad ibn ʻAlī, 1766 or 1767-1826 or 1827",author,,human,Muḥammad ibn ʻAlī Mujāhid,Q135441847,DSNAME8757,Q103600,,,,
"Aṣfahānī, Muḥammad Bāqir ibn Muḥammad Taqī, 1761 or 1762-1844",author,,,,,,,human,Muḥammad Bāqir ibn Muḥammad Taqī Aṣfahānī,Q129453247,Q49108
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Māzandarānī, Muḥammad Ṣāliḥ ibn Aḥmad, -1675 or 1676",author,,,,,,,human,Mulla Salih Mazandarani,Q5802395,Q67773
"Sayfī, Muḥammad ibn Muḥammad Mahdī, -1727 or 1728",author,,human,Muḥammad ibn Muḥammad Mahdī Sayfī,Q135441848,DSNAME8758,Q103601,,,,
"Kinānī, Salmūn ibn ʻAlī, -1365 or 1366",author,,human,Salmūn ibn ʻAlī Kinānī,Q135441849,DSNAME8759,Q103602,,,,
"Fayḍ al-Kāshī, Muḥammad ibn Murtaḍá, 1598 or 1599-1680 or 1681",author,,,,,,,human,Mohsen Fayz Kashani,Q4119490,Q49153
"Nawawī, 1233-1277",author,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
"Qarāhī, Muḥammad Ṭāhir, -1882",author,,human,Muḥammad Ṭāhir Qarāhī,Q19911082,DSNAME8760,Q103603,,,,
"Ibn Raslān al-Ramlī, Aḥmad ibn Ḥusayn, approximately 1371-1441",author,,human,Ibn Raslan,Q6532983,DSNAME8761,Q103604,,,,
"Ibn Qāsim al-ʻAbbādī, Aḥmad, -approximately 1585",author,,,,,,,human,Aḥmad Ibn Qāsim al-ʻAbbādī,Q129951517,Q54170
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520",author,http://id.loc.gov/authorities/names/n85197808 http://id.loc.gov/authorities/names/n85197808 http://viaf.org/viaf/sourceID/LC%7cn85197808,,,,,,human,Zakariyya al-Ansari,Q4117458,Q12326
Danii︠a︡l-sultan,collector,,human,Danii︠a︡l-sultan,Q135441850,DSNAME8762,Q103605,,,,
"Shaʻrānī, ʻAbd al-Wahhāb ibn Aḥmad, approximately 1493-1565 or 1566",author,,,,,,,human,Abd Al-Wahhab bin Ahmad Al-Misri Al-Sharani,Q3594808,Q67843
"Shāmil, Imām, 1798?-1871",former owner,,,,,,,human,Imam Shamil,Q244742,Q54324
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,http://id.loc.gov/authorities/names/n82165741,,,,,,human,Ibn Hajar al-Haytami,Q3147445,Q12334
"Ibn Qāʼānī, Manṣūr ibn Aḥmad, d. 1373 or 4",author,,,,,,,,,,
"Rahūnī, Yaḥyá ibn Mūsá, -1371 or 1372",author,,human,Yaḥyá ibn Mūsá Rahūnī,Q135441851,DSNAME8763,Q103606,,,,
"Ṭūfī, Sulaymān ibn ʻAbd al-Qawī, 1259?-1316",author,,human,Najm ad-Din al-Tufi,Q15446588,DSNAME7499,Q67785,,,,
"Ḥaṭṭāb, Muḥammad ibn Muḥammad, 1497-1547",author,,human,Al-Hattab,Q16120965,DSNAME8764,Q103607,,,,
"Ḍarīr, Muḥammad ibn ʻAbd al-Raḥmān, 1339-1404 or 5",author,,human,Muḥammad ibn ʻAbd al-Raḥmān Ḍarīr,Q135441852,DSNAME8765,Q103608,,,,
"Ibn Turkī, Aḥmad, -1571",author,,human,Turki Jandi,Q123346112,DSNAME8766,Q103609,,,,
"Sijilmāsī, Aḥmad ibn ʻAbd al-Wāḥid, d. 1674",author,,,,,,,,,,
"Fīrūzābādī al-Shīrāzī, Abū Isḥāq Ibrāhīm ibn ʻAlī ibn Yūsuf, approximately 1003-1083",author,,,,,,,human,al-Shīrāzī,Q3603848,Q63977
"Nawawī, 1233-1277",author,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
"Irbilī, Aḥmad ibn Mūsá, d. 1225",author,,,,,,,,,,
