name_as_recorded,role,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Aʻraj, ʻAbd al-Muṭṭalib ibn Muḥammad, 1282-1353?",author,,,,,,,,,,
"Suyūṭī, 1445-1505",author,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
"Sabzavārī, Hādī ibn Mahdī, 1797 or 1798-",author,,,,,,,human,Hadi Sabzavari,Q3660738,Q49136
"Ibn al-Muṭahhar al-Ḥillī, al-Ḥasan ibn Yūsuf, 1250-1325",author,,,,,,,human,Al-Hilli,Q290506,Q40924
"Ḥarfūshī, Muḥammad ibn ʻAlī, -1649",author,,,,,,,human,Muḥammad ibn ʻAlī Ḥarfūshī,Q12239673,Q54288
"Ibn Qayyim al-Jawzīyah, Muḥammad ibn Abī Bakr, 1292-1350",author,http://id.loc.gov/authorities/names/n80138230,,,,,,human,Ibn Qayyim Al-Jawziy,Q119679,Q12460
"Ibn Abī Sharīf, Muḥammad ibn Muḥammad, 1419 or 1420-1500 or 1501",author,http://id.loc.gov/authorities/names/nr92023224 http://id.loc.gov/authorities/names/nr92023224 http://viaf.org/viaf/sourceID/LC%7cnr92023224,,,,,,human,Muḥammad ibn Muḥammad Ibn Abī Sharīf,Q25450198,Q12493
"Anṣārī, Zakarīyā ibn Muḥammad, approximately 1423-approximately 1520",author,http://id.loc.gov/authorities/names/n85197808 http://id.loc.gov/authorities/names/n85197808 http://viaf.org/viaf/sourceID/LC%7cn85197808,,,,,,human,Zakariyya al-Ansari,Q4117458,Q12326
"Ṣafawī, ʻĪsá ibn Muḥammad, 1494 or 1495-1546 or 1547",author,,,,,,,human,Qutb al-Din al-Safawi,Q57477040,Q101353
"Najjārī, ʻAlī ibn Aḥmad, d. 1562 or 3",author,,,,,,,,,,
"Ibn al-Ḥanbalī, Muḥammad ibn Ibrāhīm, 1502 or 1503-1563",author,,,,,,,human,Razi al-Din ibn al-Hanbali,Q5728875,Q54317
"Ibn al-Humām, Muḥammad ibn ʻAbd al-Wāḥid, 1388-1456 or 1457",author,,,,,,,human,Kamal al-Din ibn al-Humam,Q20384774,Q27962
"Ibn al-Najjār, Taqī al-Dīn Muḥammad ibn Aḥmad, 1492 or 1493-1564 or 1565",author,http://id.loc.gov/authorities/names/n83066149,,,,,,human,Taqī al-Dīn Muḥammad ibn Aḥmad Ibn al-Najjār,Q25451844,Q3792
"Kirmāstī, Yūsuf ibn Ḥusayn, -1500",author,http://id.loc.gov/authorities/names/n88226582 http://id.loc.gov/authorities/names/n88226582 http://viaf.org/viaf/sourceID/LC%7cn88226582,,,,,,human,Yūsuf ibn Ḥusayn Kirmāstī,Q122946969,Q12479
"Āmidī, ʻUmar ibn ḥusayn, d. 1776",author,,,,,,,,,,
"Khādimī, ʻAbd Allāh ibn Muḥammad, d. 1778",author,,,,,,,,,,
"Qūnawī, Muḥammad, 19th cent",author,,,,,,,,,,
"Zaytūnī, Muḥammad ibn Muḥammad, 1427 or 1428-1518 or 1519",author,,human,Muḥammad ibn Muḥammad Zaytūnī,Q135441860,DSNAME8781,Q103624,,,,
"Raṣṣāṣ, Aḥmad ibn Muḥammad, -1258",author,,human,Aḥmad ibn Muḥammad Raṣṣāṣ,Q135441861,DSNAME8782,Q103625,,,,
"Janājī, Jaʻfar ibn Khaḍir, 1743 or 1744-1811 or 1812",author,,,,,,,,,,
"Rashtī, Ḥabīb Allāh ibn Muḥammad ʻAlī, 1818 or 1819-1894",author,,human,Ḥabīb Allāh ibn Muḥammad ʻAlī Rashtī,Q135441862,DSNAME8783,Q103626,,,,
"Ibn Bābawayh al-Qummī, Muḥammad ibn ʻAlī, 918 or 919-991 or 992",author,,,,,,,human,Shaykh Saduq,Q2743660,Q41657
"Ibn Bābawayh al-Qummī, Muḥammad ibn ʻAlī, 918 or 919-991 or 992",author,,,,,,,human,Shaykh Saduq,Q2743660,Q41657
"Ibn al-Shahīd al-Thānī, al-Ḥasan, 1551 or 1552-1602 or 1603",author,,,,,,,human,al-Ḥasan Ibn al-Shahīd al-Thānī,Q6407249,Q49183
"Zarkashī, Muḥammad ibn Bahādur, 1344 or 1345-1392",author,,,,,,,human,Zarkashi,Q4322459,Q67810
"Ramlī, Aḥmad ibn Aḥmad, -1563 or 1564",author,,,,,,,human,Aḥmad ibn Aḥmad Ramlī,Q124566925,Q41557
"Bulqīnī, Aḥmad",author,,,,,,,,,,
"Ḥiṣnī, Taqī al-Dīn Abū Bakr ibn Muḥammad, 1351 or 1352-1426",author,,human,Taqī al-Dīn Abū Bakr ibn Muḥammad al-Ḥiṣnī,Q16118305,DSNAME8784,Q103627,,,,
"Zamlakānī, Muḥammad ibn ʻAlī, 1268 or 1269-1326 or 1327",author,,human,Muḥammad ibn ʻAlī Zamlakānī,Q135441863,DSNAME8785,Q103628,,,,
"Adhraʻī, Aḥmad ibn ḥamdān, d. 1381",author,,human,Aḥmad ibn Ḥamdān Adhraʻī,Q131398943,DSNAME8786,Q103629,,,,
"Damīrī, Muḥammad ibn Mūsá, 1341?-1405",author,http://id.loc.gov/authorities/names/nr91003385 http://id.loc.gov/authorities/names/nr91003385 http://viaf.org/viaf/sourceID/LC%7cnr91003385,,,,,,human,Al-Damiri,Q330616,Q12283
"ḥalabī, ʻAbd al-Malik ibn ʻAlī, 1364 or 5-1435",author,,,,,,,human,ʻAbd al-Malik ibn ʻAlī Ḥalabī,Q124768076,Q67854
"Ibn Qāḍī Shuhbah, Muḥammad ibn Abī Bakr, 1395 or 1396-1469 or 1470",author,,human,Muḥammad ibn Abī Bakr Ibn Qāḍī Shuhbah,Q135441864,DSNAME8787,Q103630,,,,
"Ramlī, Muḥammad ibn Aḥmad, 1513-1596",author,,human,Muḥammad ibn Aḥmad Ramlī,Q60843105,DSNAME8788,Q103631,,,,
"Ziyādī, ʻAlī ibn Yaḥyá, d. 1615",author,,human,ʻAlī ibn Yaḥyá Ziyādī,Q135441865,DSNAME8789,Q103632,,,,
"Isfarāyīnī, Muḥammad ibn Muḥammad, d. 1346",author,,,,,,,,,,
"Mudlijī, Aḥmad ibn ʻUmar, d. 1355",author,,,,,,,,,,
"ʻAlāʾī, Khalīl ibn Kaykaldī, 1295-1359",author,,human,Ṣalāḥ al-Dīn al-ʻAlāʾī,Q12190370,DSNAME1920,Q12450,,,,
Bāyazīd,author,,,,,,,,,,
"Kurdī, Aḥmad",author,,,,,,,,,,
"Nassābah, al-ḥasan ibn Muḥammad, d. 1461",author,,,,,,,,,,
"Nassābah, ḥasan ibn Muḥammad, d. 1407",author,,,,,,,,,,
"Ghazzī, Aḥmad ibn ʻAbd Allāh, d. 1419",author,,,,,,,,,,
"Fashnī, Aḥmad ibn Ḥijāzī",author,,,,,,,human,Aḥmad ibn Ḥijāzī Fashnī,Q131575236,Q67845
"Muzajjad, Aḥmad ibn ʻUmar, 1443 or 1444-1523 or 1524",author,,human,Almuzajaad,Q125098053,DSNAME8790,Q103633,,,,
"Ḥamawī, ʻAlī ibn ʻAṭīyah, -1530",author,,human,ʻAlī ibn ʻAṭīyah Ḥamawī,Q28714889,DSNAME8791,Q103634,,,,
"ḥijāzī, Muḥammad ibn al-ʻIzz, 16th cent",author,,human,Muḥammad ibn al-ʻIzz ḥijāzī,Q135441866,DSNAME8792,Q103635,,,,
"Ibn Baṭṭah, ʻUbayd Allāh ibn Muḥammad, 917-997",author,,human,Ibn Battah,Q5984193,DSNAME8793,Q103636,,,,
"Baghdādī, ʻAbd al-Raḥīm ibn ʻAbd Allāh, -1341",author,,human,ʻAbd al-Raḥīm ibn ʻAbd Allāh Baghdādī,Q135441867,DSNAME8794,Q103637,,,,
"Ibn Qudāmah, Muwaffaq al-Dīn ʻAbd Allāh ibn Aḥmad, 1147-1223",author,http://id.loc.gov/authorities/names/n83066615,,,,,,human,Ibn Qudamah,Q785506,Q12499
"Baʻlī, Muḥammad ibn Abī al-Fatḥ, 1247 or 1248-1309 or 1310",author,,human,Muḥammad ibn Abī al-Fatḥ al-Baʿlī,Q127327288,DSNAME8795,Q103638,,,,
"Mardāwī, ʻAlī ibn Sulaymān, 1414 or 1415-1480 or 1481",author,,human,ʻAlī ibn Sulaymān Mardāwī,Q28716705,DSNAME8796,Q103639,,,,
"Ḥujāwī, Mūsá ibn Aḥmad, -1560",author,http://id.loc.gov/authorities/names/n83139697 http://id.loc.gov/authorities/names/n83139697 http://viaf.org/viaf/sourceID/LC%7cn83139697,,,,,,human,Al-Hajjawi,Q16120411,Q12500
"Aḥsāʼī, ʻAbd al-Wahhāb ibn Muḥammad, 1759-1791",author,,human,Abd al-Wahhab ibn Muhammad al-Fayrooz,Q100352654,DSNAME8797,Q103640,,,,
"Maqdisī, ʻAbd al-Raḥmān ibn Ibrāhīm, 1160 or 1161-1227",author,,human,Bahauddin Abdurrahman Ibn Ibrahim al-Maqdisi,Q126018956,DSNAME8798,Q103641,,,,
"Mardāwī, Muḥammad ibn ʻAbd al-Qawī, 1232 or 1233-1299",author,,human,Muḥammad ibn ʻAbd al-Qawī Mardāwī,Q110260214,DSNAME8799,Q103642,,,,
"Baghdādī, Naṣr Allāh ibn Aḥmad, d. 1409",author,,,,,,,,,,
"Ibn Mufliḥ al-Maqdisī, Muḥammad, -1362",author,,,,,,,,,,
"Buhūtī, Manṣūr ibn Yūnus, -1641",author,,human,al-Buhūti,Q4702262,DSNAME8800,Q103643,,,,
"Fakhr al-Muḥaqqiqīn, Muḥammad ibn al-Ḥasan, 1283-1369",author,,human,Muḥammad ibn al-Ḥasan Fakhr al-Muḥaqqiqīn,Q135441868,DSNAME8801,Q103644,,,,
"Dajānī, Muḥammad ibn Ṣāliḥ, -1660 or 1661",author,,human,Muḥammad ibn Ṣāliḥ Dajānī,Q135441905,DSNAME8802,Q103645,,,,
"Qalaṣādī, ʻAlī ibn Muḥammad, 1412 or 1413-1486 or 1487",author,,,,,,,human,Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Q2462319,Q12410
"Kirbāsī, Muḥammad ibn Ibrāhīm, 1766 or 1767-1844",author,,,,,,,human,Muḥammad ibn Ibrāhīm Kirbāsī,Q129453390,Q49206
"Muḥaqqiq al-Thānī, ʻAlī ibn al-Ḥusayn, 1463 or 1464-1533 or 1534",author,,human,ʻAlī ibn al-Ḥusayn Muḥaqqiq al-Thānī,Q6402302,DSNAME8739,Q103582,,,,
"Kirmānī, Muḥammad Karīm Khān, -1871 or 1872",author,,human,Karim Khan Kermani,Q6401910,DSNAME8803,Q103646,,,,
"Kirmānī, Muḥammad Karīm Khān, -1871 or 1872",author,,human,Karim Khan Kermani,Q6401910,DSNAME8803,Q103646,,,,
"Najafī, Muḥammad Ḥasan ibn Bāqir, approximately 1788-1850",author,,human,Muhammad-Hassan al-Najafi,Q5946777,DSNAME8804,Q103647,,,,
"Ashkūrī, Abū al-Qāsim ibn Maʻṣūm",author,,human,Abū al-Qāsim ibn Maʻṣūm Ashkūrī,Q135441869,DSNAME8805,Q103648,,,,
"Mīthamī, Maḥmūd ibn Jaʻfar",author,,human,Maḥmūd ibn Jaʻfar Mīthamī,Q135441870,DSNAME8806,Q103649,,,,
"Nasafī, ʻUmar ibn Muḥammad, 1068?-1142",author,,,,,,,human,Abu Hafs Omar al-Nasafi,Q5701959,Q12466
"Būʻaqīlī, ʻAbd al-Raḥmān ibn Aḥmad, -1611 or 1612",author,,human,ʻAbd al-Raḥmān ibn Aḥmad Būʻaqīlī,Q135441871,DSNAME8807,Q103650,,,,
"Sulṭān al-ʻUlamāʼ, Ḥusayn ibn Rafīʻ, -1654?",author,,human,Ḥusayn ibn Rafīʻ Sulṭān al-ʻUlamāʼ,Q135441872,DSNAME8808,Q103651,,,,
"Mutawallī, ʻAbd al-Raḥmān ibn Maʼmūn ibn ʻAlī, 1035-1086",author,,human,Abu Sa'd al-Mutawalli,Q25450594,DSNAME8809,Q103652,,,,
"Sharīf al-Nayrīzī, Naʻīm",author,,human,Naʻīm Sharīf al-Nayrīzī,Q135441873,DSNAME8810,Q103653,,,,
"Amīr al-Kabīr, Muḥammad ibn Muḥammad, 1742-1817",author,,,,,,,human,Muḥammad ibn Muḥammad Amīr al-Kabīr,Q28714934,Q12511
"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423-",author,,,,,,,human,Sibt al-Maridini,Q7507290,Q12506
"Khalīl ibn Isḥāq al-Jundī, -1365?",author,,human,Khalīl ibn Isḥāq al-Jundī,Q5606393,DSNAME8811,Q103654,,,,
"Dardīr, Aḥmad ibn Muḥammad, 1715-1786",author,http://id.loc.gov/authorities/names/n82144362 http://id.loc.gov/authorities/names/n82144362 http://viaf.org/viaf/sourceID/LC%7cn82144362,,,,,,human,Ad-Dardir,Q12178564,Q12454
"Amīr al-Kabīr, Muḥammad ibn Muḥammad, 1742-1817",author,,,,,,,human,Muḥammad ibn Muḥammad Amīr al-Kabīr,Q28714934,Q12511
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,,,,,,human,Abu al-Layth al-Samarqandi,Q938348,Q12470
"Mayyārah, Muḥammad ibn Aḥmad, 1590 or 1591-1661 or 1662",author,,human,Muhammad Mayyarah,Q6732986,DSNAME8812,Q103655,,,,
"Ibn Qayyim al-Jawzīyah, Muḥammad ibn Abī Bakr, 1292-1350",author,http://id.loc.gov/authorities/names/n80138230,,,,,,human,Ibn Qayyim Al-Jawziy,Q119679,Q12460
"Ibn al-Durayhim, ʻAlī ibn Muḥammad, 1312-1361",author,http://id.loc.gov/authorities/names/n89126195,,,,,,human,ʻAlī ibn Muḥammad Ibn al-Durayhim,Q122946958,Q12465
"Fayyūmī, Aḥmad ibn Muḥammad, -approximately 1368",author,,human,Ahmad ibn Muhammad Fayyumi,Q28713201,DSNAME8813,Q103656,,,,
"Munāwī, ʻAbd al-Raʼūf ibn Tāj al-ʻĀrifīn, -1621",author,http://id.loc.gov/authorities/names/n80013467,,,,,,human,Muhammad al-Munawi,Q3594807,Q12413
"Sajāwandī, Sirāj al-Dīn Muḥammad ibn Muḥammad, active 12th century",author,,,,,,,human,Siraj ud-Din Muhammad ibn Abd ur-Rashid Sajawandi,Q52742567,Q41619
"Faraḍī, Maḥmūd ibn Abī Bakr, 1246 or 1247-1300",author,,,,,,,human,Maḥmūd ibn Abī Bakr Faraḍī,Q116326528,Q3229
"Akmal al-Dīn al-Bābartī, Muḥammad ibn Maḥmūd, 1310 or 1311-1384 or 1385",author,http://id.loc.gov/authorities/names/nr91037636 http://id.loc.gov/authorities/names/nr91037636 http://viaf.org/viaf/sourceID/LC%7cnr91037636,,,,,,human,Akmal al-Din al-Babarti,Q12180143,Q12482
"Buhushtī, Muḥammad ibn Aḥmad, -1348 or 1349",author,,human,Muḥammad ibn Aḥmad Buhushtī,Q135441874,DSNAME8814,Q103657,,,,
"Tūqātī, Aḥmad ibn Muḥammad, 14th cent",author,,,,,,,,,,
"Fanārī, Muḥammad Shāh ibn ʻAlī, d. 1522 or 3",author,,,,,,,,,,
"Fanārī, Muḥammad ibn Ḥamzah, 1350 or 1351-1430 or 1431",author,,,,,,,human,Shams ad-Din al-Fanari,Q6896332,Q12402
"Ḥafīd al-Saʻd, Aḥmad ibn Yaḥyá, -1510 or 1511",author,,,,,,,human,Aḥmad ibn Yaḥyá Ḥafīd al-Saʻd,Q129951730,Q54168
"Kemalpaşazade, 1468 or 1469-1534",author,http://id.loc.gov/authorities/names/n85370452 http://id.loc.gov/authorities/names/n85370452 http://viaf.org/viaf/sourceID/LC%7cn85370452,,,,,,human,Ibn Kemal,Q449254,Q12483
"Nakdawī, Qāsim ibn Sulaymān, d. 1562 or 3?",author,,,,,,,,,,
"Ibn ʻArafah al-Warghamī, Muḥammad ibn Muḥammad, 1316-1401",author,,human,Ibn Arafa,Q3147436,DSNAME8815,Q103658,,,,
"Khālidī, Aḥmad ibn Muḥammad, -1475 or 1476",author,,human,Aḥmad ibn Muḥammad Khālidī,Q135441876,DSNAME8816,Q103659,,,,
"Ibn al-Majdī, Aḥmad ibn Rajab, 1366-1447",author,,human,Aḥmad Ibn-Raǧab Ibn-al-Maǧdī,Q55903090,DSNAME8817,Q103660,,,,
"Ushmūnī, ʻAlī ibn Muḥammad, 1435-1494 or 1495",author,,,,,,,human,ʻAli ibn Muhammad Ushmuni,Q27655542,Q54273
"Kalāʼī, Muḥammad ibn Sharaf, d. 1375",author,,,,,,,,,,
"Bulqīnī, ʻUmar ibn Raslān, 1324-1403",author,,human,Siraj al-Din al-Bulqini,Q6798541,DSNAME8818,Q103661,,,,
"Ibn al-Shiḥnah, Muḥibb al-Dīn Muḥammad ibn Muḥammad, 1402-1485",author,,human,Muhibb al-Din Muhammad ibn Muhammad Ibn al-Shihnah,Q31313776,DSNAME8819,Q103662,,,,
"Anqirāwī, Shujāʻ ibn Nūr Allāh, active 16th century",author,,human,Shujāʻ ibn Nūr Allāh Anqirāwī,Q135441877,DSNAME8820,Q103663,,,,
"Jāwushzādah, Ibrāhīm ibn Muḥammad, d. 1640 or 1",author,,,,,,,,,,
"Ibn al-Najjār, Taqī al-Dīn Muḥammad ibn Aḥmad, 1492 or 1493-1564 or 1565",author,http://id.loc.gov/authorities/names/n83066149,,,,,,human,Taqī al-Dīn Muḥammad ibn Aḥmad Ibn al-Najjār,Q25451844,Q3792
"Ghazzālī, 1058-1111",author,http://id.loc.gov/authorities/names/n82097778,,,,,,human,Al-Ghazali,Q9546,Q12305
"Sīwāsī, Aḥmad ibn ʻAbd Allāh, -1397 or 1398",author,,human,Aḥmad ibn ʻAbd Allāh Sīwāsī,Q135441878,DSNAME8821,Q103664,,,,
"Binnīs, Muḥammad ibn Aḥmad, approximately 1747-1798 or 1799",author,,human,Muḥammad ibn Aḥmad Binnīs,Q135441879,DSNAME8822,Q103665,,,,
"Ḥakīm Shāh, Muḥammad ibn Mubārak Shāh, active 16th century",author,,human,Muḥammad ibn Mubārak Shāh Ḥakīm Shāh,Q135441880,DSNAME8823,Q103666,,,,
"ʻAbd al-Karīm ibn Yūsuf, d. 1688 or 9",author,,,,,,,,,,
"Ṭāʼifī, ḥusayn ibn ʻAlī, d. 1791",author,,,,,,,,,,
"Qirīmī, ʻAbd Allāh ibn Amīn, d. 1796 or 7",author,,,,,,,,,,
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,http://id.loc.gov/authorities/names/n82165741,,,,,,human,Ibn Hajar al-Haytami,Q3147445,Q12334
"Qalīnī, Jalāl ibn Muḥammad",author,,,,,,,,,,
"Ibn Amīr Ḥājj, Muḥammad ibn Muḥammad, 1421 or 1422-1474 or 1475",author,,human,Ibn Amir Hajj,Q57794232,DSNAME8824,Q103667,,,,
"Karmī, Marʻī ibn Yūsuf, -1623 or 1624",author,,,,,,,human,Mar'i al-Karmi,Q25451884,Q12383
"Istanbulī, Aḥmad ibn ʻUmar, d. 1864",author,,human,Aḥmad ibn ʻUmar Istanbulī,Q135441881,DSNAME8825,Q103668,,,,
"Baʻlī, Aḥmad ibn ʻAbd Allāh, 1697-1775",author,,human,Aḥmad ibn ʻAbd Allāh Baʻlī,Q12184530,DSNAME8826,Q103669,,,,
"Ibn Sallūm, Muḥammad ibn ʻAlī, -1830 or 1831",author,,human,Muḥammad ibn ʻAlī Ibn Sallūm,Q135441882,DSNAME8827,Q103670,,,,
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,,,,,,human,Abu al-Layth al-Samarqandi,Q938348,Q12470
"Nasafī, ʻUmar ibn Muḥammad, 1068?-1142",author,,,,,,,human,Abu Hafs Omar al-Nasafi,Q5701959,Q12466
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,http://id.loc.gov/authorities/names/n82144374,,,,,,human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449,Q12308
"Sharqāwī, ʻAbd Allāh ibn Ḥijāzī, 1737 or 1738-1812 or 1813",author,,human,Abd Allah ibn Hijazi al-Sharqawi,Q4664541,DSNAME8828,Q103671,,,,
"Lālah, Muḥammad ibn ʻAbd al-Salīm",author,,,,,,,,,,
"Ibn al-ḥusayn, ʻAbd Allāh ibn ʻAbd Allāh",author,,,,,,,,,,
"Nahāwandī, ʻAlī ibn Fatḥ Allāh, -1904",author,,human,ʻAlī ibn Fatḥ Allāh Nahāwandī,Q135441883,DSNAME8829,Q103672,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Shahīd al-Awwal, Muḥammad ibn Makkī, 1333 or 1334-1380",author,,,,,,,human,Muhammad Jamaluddin al-Makki al-Amili,Q4117198,Q41655
"ʻĀmilī, Muḥammad ibn ʻAlī, 1539 or 1540-1600",author,,,,,,,human,Muḥammad ibn ʻAlī ʻĀmilī,Q124566993,Q41915
"Ibn al-Wardī, Zayn al-Dīn ʻUmar ibn al-Muẓaffar, -1349",author,,,,,,,human,Ibn al-Wardi,Q5984319,Q54311
"ʻUthmānī, Muḥammad ibn ʻAbd al-Raḥmān, active 1378",author,,,,,,,human,Muḥammad ibn ʻAbd al-Raḥmān ʻUthmānī,Q131398915,Q68387
"Bukhārī, ʻAbd al-ʻAzīz ibn Aḥmad, -1329 or 1330",author,,,,,,,human,ʻAbd al-ʻAzīz ibn Aḥmad Bukhārī,Q123397322,Q64027
"Isnawī, ʻAbd al-Raḥīm ibn al-Ḥasan, 1305-1370",author,,human,ʻAbd al-Raḥīm ibn al-Ḥasan Isnawī,Q25453579,DSNAME8767,Q103610,,,,
"Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, -1605 or 1606",author,http://id.loc.gov/authorities/names/n82091823,,,,,,human,Ali al-Qari,Q2836379,Q12385
"Suyūṭī, 1445-1505",author,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
"Ibn ʻAbd al-Hādī, Aḥmad ibn Ḥasan, 1452-1490",author,,,,,,,,,,
"Mayyārah, Muḥammad ibn Aḥmad, 1590 or 1591-1661 or 1662",author,,human,Muhammad Mayyarah,Q6732986,DSNAME8812,Q103655,,,,
"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān, active 10th century",author,http://id.loc.gov/authorities/names/n82235929,,,,,,human,Ibn Abi Zayd al-Qayrawani,Q5984167,Q27888
"Mawwāq, Muḥammad ibn Yūsuf, -1491 or 1492",author,,,,,,,human,Almwaaāq,Q125099407,Q101417
"Qalaṣādī, ʻAlī ibn Muḥammad, 1412 or 1413-1486 or 1487",author,,,,,,,human,Abū al-Ḥasan ibn ʿAlī al-Qalaṣādī,Q2462319,Q12410
"ʻAmrīṭī, Yaḥyá ibn Mūsá, active 1581",author,,human,Yaḥyá ibn Mūsá al-ʻAmrīṭī,Q20402284,DSNAME8830,Q103673,,,,
"Ibn Abī Zayd al-Qayrawānī, ʻAbd Allāh ibn ʻAbd al-Raḥmān, active 10th century",author,http://id.loc.gov/authorities/names/n82235929,,,,,,human,Ibn Abi Zayd al-Qayrawani,Q5984167,Q27888
"Ibn al-Mulaqqin, ʻUmar ibn ʻAlī, 1323-1401",author,http://id.loc.gov/authorities/names/nr89012364,,,,,,human,Ibn al-Mulaqqin,Q6534585,Q12489
"Tilimsānī, Ibrāhīm ibn Yaḥyá, -1264 or 1265",author,,human,Ibrāhīm ibn Yaḥyá Tilimsānī,Q135441884,DSNAME8831,Q103674,,,,
"Khalwatī, Muḥammad ibn Aḥmad, -1677 or 1678",author,,,,,,,human,al-Khalwatī,Q105359219,Q54205
"Najdī, ʻUthmān Aḥmad, -1686",author,,,,,,,human,ʻUthmān Aḥmad Najdī,Q105359548,Q68525
"Suyūṭī, Muṣtafá ibn Saʻd, d. 1827",author,,human,Muṣtafá ibn Saʻd Suyūṭī,Q135441885,DSNAME8832,Q103675,,,,
"Maqdisī, Aḥmad ibn Aḥmad, 18th cent",author,,,,,,,,,,
"Ibn Balabān, Muḥammad ibn Badr al-Dīn, 1597 or 1598-1672 or 1673",author,,human,Ibn Balban al-Hanbali,Q21099034,DSNAME8833,Q103676,,,,
"Baʻlī, Muḥammad ibn ʻAbd Allāh, d. 1775",author,,,,,,,,,,
"Jarāʻī, Taqī al-Dīn Abū Bakr ibn Zayd, 1422-1478",author,,human,Abū Bakr ibn Zayd Jirāʻī,Q16117864,DSNAME8834,Q103677,,,,
"Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?",author,,human,Shaykh Tusi,Q4116347,DSNAME7510,Q67796,,,,
"Shahīd al-Thānī, Zayn al-Dīn ibn ʻAlī, 1506-1559",author,,,,,,,human,Zayn al-Din al-Juba'i al'Amili,Q4120058,Q40353
"Ṭabāṭabāʾī, ʻAlī Naqī",former owner,,,,,,,human,ʻAlī Naqī Ṭabāṭabāʾī,Q129453262,Q49119
"Baḥr al-ʻUlūm, Muḥammad Mahdī ibn Murtaḍá, 1742 or 1743-1797 or 1798",former owner,,human,Muḥammad Mahdī ibn Murtaḍá ibn Muḥammad Baḥr al-ʻUlūm,Q5944459,DSNAME8771,Q103614,,,,
"Ḥillī, Yaḥyá ibn Saʻīd, 1204 or 1205-1291",author,,human,Ibn Sa‛īd al- Ḥillī,Q106143924,DSNAME8835,Q103678,,,,
"Sabzawārī, Muḥammad Bāqir ibn Muḥammad Muʼmin, -1679 or 1680",author,,human,Muḥammad Bāqir ibn Muḥammad Muʼmin Sabzawārī,Q135441886,DSNAME8836,Q103679,,,,
"Fayḍ al-Kāshī, Muḥammad ibn Murtaḍá, 1598 or 1599-1680 or 1681",author,,,,,,,human,Mohsen Fayz Kashani,Q4119490,Q49153
"Ibn Miftāḥ, ʻAbd Allāh ibn Abī al-Qāsim, -1472",author,,human,ʻAbd Allāh ibn Abī al-Qāsim Ibn Miftāḥ,Q135441887,DSNAME8837,Q103680,,,,
"Baṣrī, ʻAbd al-ḥamīd ibn ʻAbd al-ʻAzīz, d. 905",author,,,,,,,,,,
"Wannī, al-Ḥusayn ibn Muḥammad, -1058",author,,human,al-Ḥusayn ibn Muḥammad Wannī,Q135441888,DSNAME8838,Q103681,,,,
"Shinshawrī, ʻAbd Allāh ibn Muḥammad, 1528 or 1529-1590 or 1591",author,,human,ʻAbd Allāh ibn Muḥammad Shinshawrī,Q16119068,DSNAME8839,Q103682,,,,
"Sarmīnī, ʻAbd Allāh ibn ḥasan",author,,,,,,,,,,
"Ibn Hindī, ʻAlī ibn Aḥmad",author,,,,,,,,,,
"Ibn al-Shahīd al-Thānī, al-Ḥasan, 1551 or 1552-1602 or 1603",author,,,,,,,human,al-Ḥasan Ibn al-Shahīd al-Thānī,Q6407249,Q49183
"Māzandarānī, Muḥammad Ṣāliḥ ibn Aḥmad, -1675 or 1676",author,,,,,,,human,Mulla Salih Mazandarani,Q5802395,Q67773
"Shīrwānī, Muḥammad ibn al-Ḥasan, -1687",author,,,,,,,human,Muḥammad ibn al-Ḥasan Shīrwānī,Q129453306,Q49147
"Shīrwānī, Muḥammad ibn al-Ḥasan, -1687",author,,,,,,,human,Muḥammad ibn al-Ḥasan Shīrwānī,Q129453306,Q49147
"Sulṭān al-ʻUlamāʼ, Ḥusayn ibn Rafīʻ, -1654?",author,,,,,,,,,,
"ʻĀmilī, Muḥammad ibn ʻAlī, 1539 or 1540-1600",author,,,,,,,human,Muḥammad ibn ʻAlī ʻĀmilī,Q124566993,Q41915
"Bahbahānī, Muḥammad Bāqir ibn Muḥammad Akmal, 1706 or 1707-1791 or 1792",author,,,,,,,human,Muhammad Baqir Behbahani,Q4115420,Q67821
