title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
De regimine principum,,,,,,De regimine principum,Q39992
Mariale; De laudibus beatae mariae virginis,,,,Mariale;De laudibus beatae Mariae Virginis,Q39600;Q44086,,
"Canon medicinae, liber V",,,,Canon of Medicine,Q2826,,
Commentarius in librum II sententiarum petri lombardi,,,,Commentary on Sentences,Q7516,,
"Epistolae ad familiares; Rime, Trionfi, etc.",,,,Epistolae ad familiares;Rime;Triumphs,Q19958;Q6037;Q19996,,
Constitutiones clementinae,,,,Clementine Constitutions,Q20002,,
Jewel roll of Edward I for the years 1300-1,,,,Inventory,Q5073,,
De evangelica praeparatione,,,,Praeparatio evangelica,Q12782,,
"Epistolae; Vita s. martini, etc.",,,,Epistolae;Life of Saint Martin,Q7234;Q1443,,
Homeliae decem super extremam partem ezechielis,,,,Homilies on Ezekiel,Q1351,,
Homeliae in johannis evangelium,,,,Homeliae in johannis evangelium,Q68741,,
Journal de sainct voyage pour visiter le sainct sepulcre,,,,Journal de sainct voyage pour visiter le sainct sepulcre,Q68742,,
Antidotarium,,,,Antidotarium,Q68743,,
Historiae adversus paganos,,,,Histories Against the Pagans,Q68744,,
"Treatise on the gods, commentary on Virgil's Aeneid",,,,Commentary on Virgil,Q68745,,
"Vita s. martini, etc.",,,,Life of Saint Martin,Q1443,,
"Canticum canticorum, with glossa ordinaria",,,,Song of Solomon,Q38389,,
"Castle Hours #2, Use of Rouen",,,,Book of hours;Castle Hours,Q795;Q68739,,
"Castle hours #3, use uncertain",,,,Book of hours;Castle Hours,Q795;Q68739,,
"Castle Hours # 5, Use of Paris",,,,Book of hours;Castle Hours,Q795;Q68739,,
"Book of Hours, Use of Le Mans (""Leighton Hours"")",,,,Book of hours;Leighton Hours,Q795;Q68746,,
"Lawrence hours, use of Cambrai",,,,Book of hours;Lawrence Hours,Q795;Q68747,,
"Book of Hours, Use of Rome (""Marquand Hours"")",,,,Book of hours;Marquand Hours,Q795;Q68748,,
"Book of Hours, Use of Rome (""Mongan Hours"")",,,,Book of hours;Mongan Hours,Q795;Q68749,,
"Book of Hours, Use of Sarum (""Streeter-Piccard Hours"")",,,,Book of hours;Streeter-Piccard Hours,Q795;Q68750,,
Chew psalter,,,,Psalter;Chew Psalter,Q660;Q68751,,
"Chew Breviary, Use of Poitiers",,,,Breviary;Chew Breviary,Q657;Q68752,,
"Havens hours, use uncertain",,,,Book of hours;Havens Hours,Q795;Q68753,,
"Havens Breviary, Franciscan Use",,,,Breviary;Havens Breviary,Q657;Q68754,,
"Radnor Hours, Use of Rome",,,,Book of hours;Radnor Hours,Q795;Q68740,,
"Radnor hours #2, use uncertain",,,,Book of hours;Radnor Hours,Q795;Q68740,,
Radnor Missal,,,,Missal;Radnor Missal,Q662;Q68756,,
De miseria conditionis humanae,,,,De miseria condicionis humane,Q1451,,
Castle Liturgical Psalter,,,,Psalter;Castle Psalter,Q660;Q68757,,
De fide ad gratianum augustum libri quinque,,,,De fide ad gratianum augustum libri quinque,Q68758,,
"Oratio in laudem rei publicae venetorum; Vita caroli magni, etc.",,,,Oratio in laudem rei publicae venetorum;Life of Charlemagne,Q68759;Q39868,,
"Orationes ad nicolaum V, etc.",,,,Orations,Q38343,,
"Commentarius rerum suo tempore gestarum, oratio heliogabali ad meretrices",,,,Rerum suo tempore gestarum commentarius,Q68760,,
"De bello italico adversus gothos, etc.",,,,De bello italico adversus Gothos,Q39539,,
Epistolae familiares,,,,Epistolae familiares,Q20458,,
"De temporibus pauli II, liber V",,,,,,,
"De nobilitate, etc.",,,,,,,
"Epistulae; De Clementia; Sermo de corpore Christi; Meditationes; Epistula de morte S. Hireronymi; De quatuor virtutibus; Epistula ad Cyrillum; Epistula ad Augustinum, etc.",,,,Epistulae,Q38387,,
"Liturgical Miscellany with Prayers, Office of St. Catherine, Mass of the Virgin, and Biblical Readings, etc.",,,,Liturgical texts,Q6055,,
Processional (Use of the Dominican nuns of Poissy),,,,Processional,Q1336,,
Traite de la vanite des choses mondaines,,,,Traite de la vanite des choses mondaines,Q68761,,
Libro de optimo imperatore,,,,Libro de optimo imperatore,Q68762,,
Sequentiary (Prosar) for Dominican Use,,,,Sequentiary,Q1390,,
Epistulae; Adversus Vigilantium; and De Perpetua virginitate beatae mariae adversus Helvidium,,,,Epistulae,Q38387,,
Middle Dutch Prayer Book,,,,Prayer book,Q1486,,
"Antonius de Vercellis, Tractatus de virtutibus",,,,Tractatus de virtutibus,Q68763,,
al-Mazāmīr al-muqaddasah.,المزامير المقدسة,,,Psalms,Q5972,,
Devotional book.,,,,,,Devotional book,Q3720
Subḥat al-abrār.,سبحت الابرار,,,,,,
Gulistān.,گلستان,,,,,Gulistan,Q3702
Khamsah.,خمسه,,,,,Khamsa,Q18558
al-Qurʼān.,[القرآن],,,,,Qurʼan,Q3697
Hādhā kitāb sharḥ Mashāriq.,هذا كتاب شرح مشارق,,,Commentary on Mashāriq al-anwār,Q55176,,
Vaṣiyyet.,وصيت,,,Vasiyetname,Q7538,,
Notebook of magical formulae.,,,,Magical texts,Q38350,,
Sīrat al-Nabī Muḥammad.,سيرة النبي محمد,,,Life of Muhammad,Q55105,,
Calligraphic album.,,,,Calligraphy,Q39902,,
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.,[دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار],,,,,Dala'il al-Khayrat,Q18568
Shāhnāmah.,شاهنامه,,,,,Shahnameh,Q18627
Syriac-English dictionary.,,,,Syriac-English dictionary,Q68764,,
al-Ḥawḍ.,[الحوض],,,Islamic texts,Q27729,,
Muṣḥaf jalīl fīhi ....,مصحف جليل فيه,,,Religious texts,Q5037,,
Tables for the risings and settings of the moon and planets.,,,,Astronomical text,Q38381,,
