File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
names-chicago.csv,"Jacopone, da Todi, 1230-1306",author,,,,,,,,human,Jacopone da Todi,Q317267,Q16690
names-chicago.csv,"Uwayanagi, Yoshihiro, 1711-1790",author,"上柳美啓, 1711-1790",,human,Yoshihiro Uwayanagi,Q131856735,DSNAME7994,Q68604,,,,
names-chicago.csv,"Raymond, of Peñafort, Saint, 1175?-1275",author,,http://id.loc.gov/authorities/names/n81074464,,,,,,human,Raymond of Penyafort,Q318980,Q460
names-chicago.csv,"Herolt, Johann",author,,http://id.loc.gov/authorities/names/nr93005279,,,,,,human,Johann Herolt,Q1697670,Q40873
names-chicago.csv,"Bartolomeo, di ser Bartolomeo, active 1493",author,,,human,Bartolomeo di ser Bartolomeo,Q131856736,DSNAME7995,Q68605,,,,
names-chicago.csv,Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,,,,,,human,Horace,Q6197,Q1599
names-chicago.csv,"Linlithgow, John Adrian Louis Hope, Marquess of, 1860-1908",former owner,,,,,,,,human,"John Hope, 1st Marquess of Linlithgow",Q335178,Q884
names-chicago.csv,"Frank, Mortimer, 1874-1919",former owner,,,human,Mortimer Frank,Q96194150,DSNAME7996,Q68606,,,,
names-chicago.csv,"Bartoli, Cosimo, 1503-1572",author,,,human,Cosimo Bartoli,Q1136048,DSNAME7997,Q68607,,,,
names-chicago.csv,"Bracciolini, Poggio, 1380-1459",author,,,,,,,,human,Poggio Bracciolini,Q318254,Q40332
names-chicago.csv,"Peter Lombard, Bishop of Paris, approximately 1100-1160",author,,,,,,,,human,Peter Lombard,Q315347,Q1124
names-chicago.csv,"Varaggio, Giacomo de, 1230-1298",author,,,human,Jacobus de Voragine,Q313460,DSNAME3083,Q7339,,,,
names-chicago.csv,Orthodox Eastern Church,author,,http://id.loc.gov/authorities/names/n50000556,,,,,,organization,Eastern Orthodox Church,Q35032,Q4406
names-chicago.csv,"Barbaro, Antonio, active 1573",author,,,human,Antonio Barbaro,Q131856737,DSNAME7998,Q68608,,,,
names-chicago.csv,"Joannes Francis Binus, approximately 1490-1556",author,,,human,Joannes Francis Binus,Q131856738,DSNAME7999,Q68609,,,,
names-chicago.csv,"Usuard, -876 or 877",author,,,,,,,,human,Usuard,Q3552715,Q16477
names-chicago.csv,"Herd, John, 1512-1588",author,,,human,John Herd,Q18546578,DSNAME8000,Q68610,,,,
names-chicago.csv,"Dante Alighieri, 1265-1321",author,,,,,,,,human,Dante Alighieri,Q1067,Q40500
names-chicago.csv,R.R. Donnelley and Sons Company,former owner,,,organization,RR Donnelley,Q2124539,DSNAME8057,Q68667,,,,
names-chicago.csv,"Lopez family (Toledo, Spain)",author,,,,,,,,,,,
names-chicago.csv,"Charles VIII, King of France, 1470-1498",author,,http://id.loc.gov/authorities/names/n82158482,,,,,,human,Charles VIII of France,Q134452,Q8214
names-chicago.csv,"Barozzi, Pietro, 1441-1507",author,,,human,Pietro Barozzi,Q3903680,DSNAME8001,Q68611,,,,
names-chicago.csv,"Grosseteste, Robert, 1175?-1253",author,,,,,,,,human,Robert Grosseteste,Q256541,Q6143
names-chicago.csv,"Wheeler, Charles V. 1866-1941",former owner,,,human,Charles V. Wheeler,Q120898728,DSNAME5666,Q42139,,,,
names-chicago.csv,"Fisher, Otto Orren",former owner,,,,,,,,human,Otto Orren Fisher,Q116326593,Q8429
names-chicago.csv,"Guido, de Monte Rocherii, active 14th century",author,,http://id.loc.gov/authorities/names/n90667250.html,,,,,,human,Guido de Monte Rochen,Q5615652,Q20151
names-chicago.csv,"Collegio dei gesuiti a San Bartolomeo (Modena, Italy)",former owner,,,organization,Jesuit College of San Bartolomeo,Q131822037,DSNAME8058,Q68668,,,,
names-chicago.csv,Villa de Lucena (Spain),author,,,,,,,,,,,
names-chicago.csv,"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,,,,,,human,Sydney Cockerell,Q966843,Q1609
names-chicago.csv,"Ruiz de Alarcon, Jorge",author,,,,,,,,,,,
names-chicago.csv,"Justinian I, Emperor of the East, 483?-565",author,,http://viaf.org/viaf/88881722,,,,,,human,Justinian I,Q41866,Q1641
names-chicago.csv,"Vergerio, Pietro Paolo, 1370-1444",author,,,human,Pier Paolo Vergerio the Elder,Q737756,DSNAME8002,Q68612,,,,
names-chicago.csv,"Augustus Frederick, Prince, Duke of Sussex, 1773-1843",former owner,,,,,,,,human,"Prince Augustus Frederick, Duke of Sussex",Q375467,Q1637
names-chicago.csv,"Tenison, Thomas, 1636-1715",former owner,,,human,Thomas Tenison,Q680725,DSNAME8003,Q68613,,,,
names-chicago.csv,"Coene, Jean, IV, active 1490-1520",illuminator,,,human,Jean Coene,Q124572992,DSNAME8004,Q68614,,,,
names-chicago.csv,"Cabrera, Andres de",author,,,human,Andrés Cabrera,Q5675621,DSNAME8005,Q68615,,,,
names-chicago.csv,"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
names-chicago.csv,"Multani, Muhammad Mas'ud bin Muhammad",author,,,human,Muhammad Mas'ud bin Muhammad Multani,Q131856739,DSNAME8006,Q68616,,,,
names-chicago.csv,"Basil, Saint, Bishop of Caesarea, approximately 329-379",author,,,,,,,,human,Basil of Caesarea,Q44258,Q20081
names-chicago.csv,"Julianus, Saint, Bishop of Toledo, -690",author,,,,,,,,human,Julian of Toledo,Q722563,Q67632
names-chicago.csv,"Leontius, Bishop of Neapolis, active 7th century",author,,,human,Leontios of Neapolis,Q3298419,DSNAME4680,Q41125,,,,
names-chicago.csv,"Remi, d'Auxerre, approximately 841-908",author,,,,,,,,human,Remigius of Auxerre,Q1383306,Q41566
names-chicago.csv,"Pius VI, Pope, 1717-1799",former owner,,http://id.loc.gov/authorities/names/n82256873,,,,,,human,Pius VI,Q128019,Q441
names-chicago.csv,"Geoffrey, of Vinsauf, active 1200",author,,,,,,,,human,Geoffrey of Vinsauf,Q1491994,Q40725
names-chicago.csv,"Chasseigne (Family : 1498- : Nivernais, France)",former owner,,,organization,Chasseigne family,Q131822038,DSNAME8059,Q68669,,,,
names-chicago.csv,"Bement, Clarence S. 1843-1923",former owner,,,,,,,,human,Clarence S. Bement,Q29204072,Q18633
names-chicago.csv,"Guilelmus Peraldus, approximately 1190-1271",author,,,,,,,,human,William Perault,Q8016774,Q5152
names-chicago.csv,"Śrī Rāmakṛṣṇa, Kavikṛtaṃ",author,,,,,,,,,,,
names-chicago.csv,"Pelacani da Parma, Biagio, approximately 1347-1416",author,,,human,Blasius of Parma,Q855257,DSNAME3842,Q40287,,,,
names-chicago.csv,"Valla, Lorenzo, 1407-1457",author,,,,,,,,human,Lorenzo Valla,Q214115,Q41149
names-chicago.csv,"Bruni, Leonardo, 1369-1444",author,,,,,,,,human,Leonardo Bruni,Q314488,Q1924
names-chicago.csv,"Savorgnan, Ascanio, active 1529-1562",author,,,human,Ascanio Savorgnano,Q116577948,DSNAME1389,Q7329,,,,
names-chicago.csv,Inquisition Sicily),author,,,,,,,,,,,
names-chicago.csv,"De Grey, Thomas Philip De Grey, Earl, 1781-1859",former owner,,,,,,,,human,"Thomas de Grey, 2nd Earl de Grey",Q337676,Q40514
names-chicago.csv,"Buonincontro, Lorenzo, 1411-1501",author,,,human,Lorenzo Bonincontri,Q11933911,DSNAME8007,Q68617,,,,
names-chicago.csv,"George, of Trebizond, 1396-1486",author,,,,,,,,human,George of Trebizond,Q533514,Q40729
names-chicago.csv,"Antonio de Raho, active 1482",author,,,human,Antonio de Raho,Q131856740,DSNAME8008,Q68618,,,,
names-chicago.csv,"Gregory I, Pope, approximately 540-604",author,,,,,,,,human,Gregory I,Q42827,Q889
