title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Pansiya panas jātakapota,,,,Buddhist text,Q68680,,
Speculum humanae salvationis,,,,Speculum humanae salvationis,Q39802,,
Vocabularium triplex,,,,Dictionary,Q7823,,
Letter to Johannes a Lasco,,,,Letter,Q1454,,
Greek Gospels,,Bible,,Bible;Gospels,Q661;Q6034,,
Hordenancas de la muy noble ciudad,,,,Ordinances,Q12786,,
"Relatione del clarissimo messere Giralamo Lippomani ritornato da Napoli ambasciatore al serenissimo Don Giovanni d'Austria, l'ann 1575",,,,Report,Q7243,,
Lib[er] ep[is]t[ol]ar[um] /,,,,Letters,Q5068,,
Gospels,,Bible,,,,Gospels,Q6034
Favorite prescriptions for the cure of various diseases,,,,Medical text,Q20372,,
Leaf from Lectionary of Constantine the Reader,,,,Lectionary,Q663,,
Joachimsthaler Chronica,,,,Chronicle,Q1475,,
Antiphonarium for Matins,,,,Antiphonary,Q654,,
Yu té hu,,,,Historical romance,Q68138,,
Casa ... Calle de los Relatores,,,,Privileges,Q4353,,
Cortes que celebro el Rey D. Pedro en Valladolid el año 1351,,,,Petitions,Q55156,,
Gospels of the Fluting Shepherd,,Bible,,Bible;Gospels;Gospels of the Fluting Shepherd,Q661;Q6034;Q68125,,
Larissa Gospels,,Bible,,Bible;Gospels;Larissa Gospels,Q661;Q6034;Q68126,,
"Principii di canti, sentenze, similitudini, descrizioni ed altri passi /",,Works,,Works,Q5989,,
Book of hours /,,,,Book of hours,Q795,,
Lectiones in 2o anim[ae] libro,,De anima,,De anima,Q7015,,
"Tripitaka, puskola pota",,,,Tripitaka,Q12750,,
De saeculo et religione /,,,,De saeculo et religione,Q39322,,
Sermones de sanctis et de tempore,,,,Sermones de tempore et de sanctis,Q39771,,
Commonplace books,,,,Commonplace book,Q7822,,
Lord's prayer and other religious texts in Ge'ez,,,,Lord's Prayer,Q68127,,
Batak divination book for purposes of aggressive magic,,,,Pustaha,Q67348,,
Psalter with additional Pentateuchal hymns and hymns to Mary,,,,Psalter;Hymns,Q660;Q3715,,
Libro nombrado memorial de martires de Hespaña,,,,Sonnets,Q39799,,
"Zhitīē i zhiznʹ prēpo[do]bnago ōt[t︠s︡]a nashēgo i ispově[d]nika Ḟēō[do]ra, īgumēna ch[ēs]tnȳę ōbitēli studīiskīę","Житіе и жизнь преподобнаго ѡтца нашего и исповѣдника Ѳеѡдора, ігѹмена честныѧ ѡбители стѹдіискіѧ",,,,,,
Matthew Synaxarion fragment,,Bible,,Bible;Synaxarion,Q661;Q68128,,
Small Batak pustaha fragment,,,,Pustaha,Q67348,,
Malk'a Māryām ; Malk'a Iyasus,,,,Prayers,Q798,,
The Archaic Mark,,Bible,,Bible;Gospel of Mark;Archaic Mark,Q661;Q1347;Q68129,,
L'Office de la Sainte et immaculée conception de la glorieuse Vierge Marie,,Book of hours,,Book of hours,Q795,,
Fuller Oriya manuscript,,Puranas,,Puranas,Q27588,,
Canterbury tales,,,,Canterbury Tales,Q12793,,
Moral and religious anthology,,,,Religious texts,Q5037,,
ʼPhags pa bskal pa bzang po pa zhes bya ba theg pa chen poʼi mdo,,Tripiṭaka,,Tripitaka,Q12750,,
Khouban Gospels,,Bible,,Bible;Gospels;Khouban Gospels,Q661;Q6034;Q68130,,
Tratado de la consolacion; Tratado sobre un verso del salterio,,,,Bible commentary,Q1433,,
Privilege documents for Spanish monasteries,,,,Privileges,Q4353,,
Evangeliorum Quattuor Harmonia,,Bible,,Bible;Gospels,Q661;Q6034,,
Notorial document,,,,Notarial document,Q5065,,
Syriac New Testament Fragments,,Bible,,Bible;New Testament,Q661;Q655,,
Rongo kōgi,論語口義,,,Commentary on Analects,Q68124,,
Kinsen suitōchō,金銭出納帳,,,Ledger,Q5484,,
Conclave ... Gregorius XIV,,,,Papal conclave text,Q39733,,
al-Qurʼān. Sūrah 29:46-31:21,القرآن. سورة 29:46-31:21,Qurʼan,,Qurʼan,Q3697,,
Contra Iudaeos,,De fide Catholica contra Iudaeos,,De fide catholica contra Iudaeos,Q67263,,
Compendium morale,,,,Compendium morale,Q68681,,
Historia scholastica,,Historia scholastica,,Historia scholastica,Q1372,,
Gospel of John and commentary,,Bible,,Bible;Gospel of John;Bible commentary,Q661;Q665;Q1433,,
Elementa theologica,,Elements of theology,,Elements of Theology,Q68131,,
Vitae sanctorum,,,,,,Lives of the Saints,Q1483
Account book on the management of a landed estate,,,,Account book,Q1387,,
De vita et moribus philosophorum,,"Lives, teachings, and sayings of famous philosophers",,De vita et moribus philosophorum,Q39336,,
Georgius Gospels,,Bible,,Bible;Gospels;Georgius Gospels,Q661;Q6034;Q68132,,
Commentary on Peter Lombard's Sentences; books 3 and 4,,,,Commentary on Sentences,Q7516,,
Fragments from a legal register,,,,Register,Q67326,,
Batak pustaha,,,,Pustaha,Q67348,,
Puskola pota,,,,Buddhist text,Q68680,,
Opuscula varia,,,,,,Opuscula,Q5087
Relatione del Clarissimo messere Bernardo Navagiero tornato ambasciator di Roma da Paolo 4 l'anno 1558,,,,Report,Q7243,,
"Bekanttnus oder Symbolum S. Athanasij; von der heÿligen drÿfelttigkeit, wider die Arrianer",,Athanasian Creed,,Athanasian Creed,Q68133,,
Achilleid,,Achilleis,,Achilleis,Q68134,,
"Batak religious manuscript containing mantras, invocations, and protective magic",,,,Pustaha,Q67348,,
Notabilia dicta,,,,Notabilia dicta,Q68135,,
Acts and Epistles of the Apostles,,Bible,,Bible;Acts of the Apostles;Epistles,Q661;Q6009;Q1466,,
Eclesiasticus fragment,,Bible,,Ecclesiastical text,Q8055,,
Von den Tigurineren & der Statt Zürich Sachen,,,,Von den Tigurineren und der Statt Zürich Sachen,Q68682,,
Commonplace book,,,,,,Commonplace book,Q7822
Armenian Praxapostolos,,,,Praxapostolos,Q54353,,
Descriptio seu declaratio terr[a]e s[anc]te [et] civitatum vicinaru[m] [et] regno[rum] q[ua]si totius orbis,,,,Text on the Holy Land,Q68683,,
Nakayama ki; zen,中山記,,,,,,
Number fifteen gospels,,Bible,,Bible;Gospels,Q661;Q6034,,
Haskell lectionary,,Bible,,Lectionary;Haskell Lectionary,Q663;Q68136,,
Fasti,,,,Fasti,Q68684,,
Rubricae super quartum et quintum decretalium,,,,Commentary on Decretals of Gregory IX,Q42436,,
Chronica,,Chronicle,,Chronicle,Q1475,,
Brut chronicle to 1445,,Chronicles of England,,Brut Chronicle,Q39915,,
Debat du Chretien ete du Sarrazin,,,,Polemics,Q18422,,
"Explanationes in Ysayam, excerpta",,,,Bible commentary,Q1433,,
Elfleda Bond Goodspeed manuscript,,Bible,,Bible,Q661,,
Consilia de iure,,,,Legal text,Q8041,,
Flores extracti s[u]b co[m]pendio exsententiis s[ae]c[ul]o[rum] patrum,,,,Sermons,Q1400,,
Carta de privilegios,,,,Carta de privilegios,Q68685,,
Relatione di Spagnia /,,,,Diplomatic text,Q48527,,
Binding fragments,,,,Binding fragment,Q10843,,
Privileges and confirmation,,,,Privileges;Confirmation,Q4353;Q5990,,
Ira Maurice Price Praxapostolos,,Bible,,Bible;Praxapostolos;Ira Maurice Price Praxapostolos,Q661;Q54353;Q68137,,
Ducatus comitatusque Palatini Lancastrensis illustratio,,,,Register,Q67326,,
Statutem Carpi,,,,Statutes,Q1320,,
De homine,,,,De homine,Q68686,,
Gebetbuch,,,,Prayer book,Q1486,,
Satirae,,,,Satires,Q1364,,
Gospel of John and magic prayers,,Bible,,Bible;Gospel of John;Prayers,Q661;Q665;Q798,,
Prayerbook,,,,,,Prayer book,Q1486
Administrative documents,,,,Documents,Q5023,,
Correspondence and documents,,,,Correspondence;Documents,Q38385;Q5023,,
Roman de la rose,,,,Roman de la rose,Q7852,,
Intenta jugiter,,,,Papal bull,Q1362,,
Menology for September,,,,Hagiography,Q6022,,
The life of Our Lady,,,,Life of the Virgin Mary,Q7218,,
Magical prayer roll,,,,Prayer roll,Q39691,,
Anglican Schism,,,,Anglican Schism,Q68687,,
Historical romance,,,,Historical romance,Q68138,,
Book of hours,,,,,,Book of hours,Q795
Pharsalia,,Pharsalia,,Pharsalia,Q39930,,
The Lord Handing the Tablets of the Law to Moses,,,,Miniature,Q19998,,
Antiphonary,,,,,,Antiphonary,Q654
Distinctiones ... [etc.,,,,Distinctiones,Q1472,,
Serpent lectionary,,Bible,,Lectionary;Serpent Lectionary,Q663;Q68139,,
Sermones,,,,,,Sermons,Q1400
Summa de casibus conscientiae,,,,,,Summa de casibus conscientiae,Q813
"Livre de Lancelot del Lac, Le [Prose romance",,,,Roman de Lancelot,Q39153,,
De consideratione,,,,,,De consideratione,Q10840
Torah scroll fragment,,Bible,,Torah,Q42434,,
Isaac Gospels,,Bible,,Bible;Gospels;Isaac Gospels,Q661;Q6034;Q68140,,
Ferial psalter,,Psalter (Ms. University of Chicago Library. Ms1487),,Ferial psalter;Psalter,Q39276;Q660,,
Kurdistan fragments,,Bible,,Bible,Q661,,
