title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Ecclesiastical manuscript /,,,,Ecclesiastical text,Q8055,,
Libro degli ammaestramenti antichi,,,,Ammaestramenti degli antichi,Q68732,,
Vita di Dante /,,,,Life of Dante,Q55080,,
Grant of mining rights,,,,Grant,Q5982,,
Disciplina degli Spirituali,,,,Disciplina degli spirituali,Q68733,,
Gradual,,,,,,Gradual,Q1121
Missal,,,,,,Missal,Q662
Commentary on the Inferno] /,,,,Commentary on Dante,Q68184,,
I trionfi,,Trionfi,,Triumphs,Q19996,,
Kuliyat,,,,Kulliyat,Q18598,,
"Leaf from Bible, I Maccabees 13:14 ""misit""-13:51 ""palmarum""",,Bible,,Bible;Book of Maccabees,Q661;Q39138,,
Canzoniere; I trionfi,,Rime,,Canzoniere;Triumphs,Q5956;Q19996,,
In librum II Sententiarum /,,Commentarius in libros Sententiarum,,Commentary on Sentences,Q7516,,
"Antiphonal and hymnal, Franciscan use",,,,,,Antiphonary;Hymnal,Q654;Q666
Trionfi,,,,Triumphs,Q19996,,
Book of Hours,,,,,,Book of hours,Q795
Psalter,,,,,,Psalter,Q660
Le Imprese Reali,,,,Le imprese reali,Q68734,,
Confirmation of possessions and privileges of the Monastery of St. Boniface and St. Alexius in Rome,,,,Confirmation,Q5990,,
"Book of Hours, use of Utrecht",,,,,,Book of hours,Q795
De montibus,,,,De montibus,Q68735,,
Compilation of Greek liturgical texts,,,,,,Greek texts;Liturgical texts,Q11984;Q6055
I trionfi,,,,,,Triumphs,Q19996
"Book of Hours, Use of Rouen",,,,,,Book of hours,Q795
Carta de hidalguia,,,,,,Carta ejecutoria,Q3718
"Lectionary, for Augustinian use",,,,,,Lectionary,Q663
Regulations for the establishment of the Confadria de Santa Maria de la ho[pital] de Recomador,,,,,,Regulations,Q3135
Letters patent,,,,Letters patent,Q39988,,
"Leaf from the Llangattock breviary; Feast of St. Jerome (Sept. 30), Matins ; Feast of the Translation of Relics for St. Remigius (Oct. 1) ; Feast of St. Francis (Oct. 4)",,,,Breviary;Llangattock Breviary,Q657;Q44092,,
Compilation of Greek texts,,,,,,Greek texts,Q11984
Ḥilyat al-rijāl,حلية الرجال,,,,,Ḥilyat al-rijāl,Q54679
"Book of Hours, Use of Rome",,,,,,Book of hours,Q795
"Psalter, Breviary",,,,,,Psalter;Breviary,Q660;Q657
Interpretationes Vergilianae,,,,,,Interpretationes Vergilianae,Q54681
De laudibus Beatae Mariae,,,,,,De laudibus beatae Mariae Virginis,Q44086
Antiphonal,,,,,,Antiphonary,Q654
Filostrato,,Filostrato,,Il Filostrato,Q1414,,
"Leaf from Bible, II Chronicles 29:10 ""et avertat""-31:4",,Bible,,,,Bible;Second Book of Chronicles,Q661;Q54682
"Vita di Maria regina di Scozia =; Life of Mary, Queen of Scots",,,,"Life of Mary, Queen of Scots",Q68185,,
Del ben parlare / Bono Giamboni]. Per che non toglieva moglie / [Silvio]. I Trionfi / [Francesco Petrarca,,,,Del ben parlare;Per che non toglieva moglie;Triumphs,Q68736;Q68737;Q19996,,
Divina commedia /,,Divina commedia,,Divine Comedy,Q17595,,
"Amorosa visione; and, Caccia di Diana /",,,,Amorosa visione,Q68738,,
Divina commedia,,Paradiso,,Divine Comedy,Q17595,,
Dialogus Microtirum et Theogenium =; Theogenius sive de republica /,,,,,,,
Heroides /,,Heroides,,Heroides,Q39961,,
Vita di Dante /,,Vita di Dante,,Life of Dante,Q55080,,
Ameto overo comedia de Nymphe fiorentine,,,,Comedies,Q7275,,
Quattro reami,,,,,,,
"Book of Hours, use of Rome",,,,,,Book of hours,Q795
"Arabic manuscript about a waqf, from the Mamluk Sultanate, Cairo, Egypt",,,,,,Arabic text,Q38349
"Leaf from Bible, Matthew 15-16",,Bible,,,,Bible;Gospel of Matthew,Q661;Q1389
Paradiso,,,,,,Paradiso,Q39575
De vita solitaria /,,,,,,De vita solitaria,Q54680
Libro del Monte Comune Fiorentino,,,,Ledger,Q5484,,
Meditation tres devote sure le Pseaulme 51 /,,Expositio super psalmo 'Miserere mei Deus',,Meditations on Psalms,Q39607,,
Accounts,,,,Accounts,Q7851,,
"Passione, Resurrezione, Vendetta, e Giudizio di Cristo /",,,,Passion of Jesus Christ;Resurrection of Jesus Christ,Q48609;Q39443,,
Epistolae ad Lucilium /,,Epistulae morales ad Lucilium,,Epistulae morales ad Lucilium,Q6025,,
Rituale,,,,,,Ritual,Q17539
Manuale,,,,Manual,Q7272,,
"Book of hours, use of Nantes",,,,Book of hours,Q795,,
Last will and testament,,,,Will,Q1422,,
"Leaf from Bible, Isaiah 31:19 ""ignis""-36:20",,Bible,,Bible;Book of Isaiah,Q661;Q20433,,
Oficio de morti =; Office of the Dead,,,,Office of the Dead,Q17604,,
De preclaris mulieribus /,,De mulieribus claris,,De mulieribus claris,Q39308,,
"Graduale romanum, Temporale",,,,Gradual,Q1121,,
"Gradual, for Louis XII (r. 1498-1515) and Anne de Bretagne",,,,Gradual,Q1121,,
Lectionary,,,,,,Lectionary,Q663
The pricke of conscience and others,,Prick of conscience,,Prick of Conscience,Q40018,,
Bible,,,,,,Bible,Q661
Thesaurus pontificum sive sacerdotum,,,,Thesaurus pontificum sive sacerdotum,Q68186,,
